q,qid,did,time
0,1,"['21456232', '19855358', '31715818', '6219790', '4346436', '17388232', '13172737', '3531388', '40212412', '26104554']",597.3400281689828
1,3,"['14717500', '23389795', '4414547', '2739854', '28712203', '1153655', '1388704', '5448119', '13914198', '667451']",511.7540520988404
2,5,"['13734012', '18617259', '11349166', '28617573', '21550246', '1583041', '17333231', '33339202', '695938', '11880289']",658.0810541601386
3,13,"['1263446', '26611834', '8529693', '49429882', '6323196', '11748341', '7662395', '17450673', '56893404', '23557241']",496.99333433993166
4,36,"['42441846', '3215494', '12130200', '5152028', '37424881', '16252863', '11705328', '21636085', '38811597', '22995164']",485.35512537008617
5,42,"['18174210', '40913091', '39851630', '45218443', '6415816', '42373943', '5782614', '4449524', '24144677', '10326242']",492.96323715790635
6,48,"['45276789', '13734012', '3078080', '11349166', '23203102', '18617259', '22815457', '27063470', '30919024', '29125354']",756.3830054280115
7,49,"['5953485', '23913146', '7029990', '5702790', '5409325', '22362025', '1333643', '18654430', '1354567', '2613813']",485.586575557827
8,50,"['12580014', '25738896', '18488986', '39559521', '15405204', '3952288', '301838', '13989491', '8354687', '4561402']",501.99099163315265
9,51,"['45638119', '7821634', '7583725', '24249915', '8963413', '19358586', '22482820', '24834968', '16691520', '34066665']",489.468164158985
10,53,"['45638119', '7583725', '4889228', '24205118', '21439640', '19358586', '16734530', '37204802', '34066665', '24349992']",486.4055942178238
11,54,"['49556906', '3973445', '24721866', '3504761', '32408470', '9752604', '38533515', '23974474', '3419709', '1590744']",657.068283807952
12,56,"['4709641', '35777860', '19970015', '11659421', '4303075', '10786948', '4405194', '10273147', '9675944', '6054657']",489.87604003201704
13,57,"['4709641', '36637129', '20937018', '13814480', '11659421', '35777860', '22116439', '4632921', '37205759', '18852643']",498.3146064947359
14,70,"['5956380', '4414547', '37204802', '7225911', '5254463', '27240699', '21307488', '42489926', '28107602', '9169645']",655.5482817839365
15,72,"['6076903', '1031534', '6625693', '1275505', '14492964', '778436', '14405193', '12640810', '15491404', '38300781']",521.1082218480296
16,75,"['4387784', '36233757', '37768883', '13965483', '29214508', '2837758', '38805486', '25657127', '26488879', '8654183']",654.5821546431398
17,94,"['1215116', '1946610', '13966946', '3929361', '16787954', '15237660', '1805641', '6503185', '30741007']",608.0411829740042
18,99,"['18810195', '8446259', '11256632', '9875570', '9889151', '41024260', '2754534', '8331432', '16826810', '23208167']",552.1604976861272
19,100,"['4381486', '14550841', '30714190', '13116880', '18909530', '10015292', '10165258', '14205246', '16108876', '37249641']",495.0413502040319
20,113,"['6157837', '1759213', '25816994', '43417006', '3825750', '44030361', '14584755', '14121786', '8318922', '26199970']",495.34745664393995
21,115,"['33872649', '25677651', '14834714', '15482274', '7548577', '39985001', '1234098', '9814332', '28025754', '27438378']",602.0993000408635
22,118,"['6372244', '4465735', '32454714', '52805891', '4695107', '20148808', '31460499', '4303939', '34603465']",653.1765174791217
23,124,"['4883040', '7111021', '31363207', '32012666', '13899137', '13901073', '14319754', '374902', '57121667', '28806780']",485.95090759405866
24,127,"['21598000', '35231675', '7549811', '18126445', '20054396', '11048759', '8411251', '22029384', '293661', '29788648']",689.2057677329285
