q,qid,did,time
0,1,"['21456232', '16532419', '17388232', '31715818', '8185080', '9730755', '17231273', '10991183', '12370881', '31882215']",890.9797203940107
1,3,"['14717500', '23389795', '2739854', '4414547', '1583041', '25623469', '17934603', '25813706', '9748934', '380526']",1136.5685623849276
2,5,"['13734012', '18617259', '11349166', '1583041', '32850528', '4380287', '26710772', '27873158', '2359152', '46764350']",1060.9590671269107
3,13,"['1263446', '2425364', '33740844', '26067999', '26611834', '8529693', '35714909', '7662395', '33257464', '30786800']",1318.6155127189704
4,36,"['42441846', '18557974', '12130200', '3215494', '23649163', '8190282', '34439544', '16252863', '21150010', '16322674']",799.7845431689057
5,42,"['31019903', '18174210', '2832403', '45218443', '11721676', '4363526', '23160444', '32777637', '30437264', '18488986']",1173.6993958809765
6,48,"['2014909', '45875990', '84884645', '24335068', '31166180', '25748308', '12149169', '32353339', '26231129', '3140772']",1218.8336688560084
7,49,"['5953485', '5691302', '3471191', '10984005', '1333643', '34873974', '9967265', '12438901', '9394119', '13770184']",616.6331997510279
8,50,"['12580014', '18488986', '25738896', '39559521', '10162553', '3952288', '21063817', '301838', '8354687', '13989491']",1160.1360822280403
9,51,"['45638119', '43385013', '1171121', '11615422', '7583725', '8963413', '7821634', '13770184', '5114940', '9967265']",622.1197992210509
10,53,"['45638119', '4455466', '11615422', '7583725', '7795952', '581832', '26067999', '6670101', '22401720', '4889228']",617.6680079990183
11,54,"['49556906', '3973445', '24721866', '3504761', '3761017', '32408470', '9752604', '38533515', '5108807', '80109277']",646.2917565539829
12,56,"['4709641', '35777860', '12258338', '21884449', '11344428', '29090823', '9547722', '20937018', '6710713', '10374686']",842.5270805479959
13,57,"['4709641', '4459491', '20937018', '30351165', '11659421', '4200695', '35777860', '202259', '5448119', '14337960']",1026.4642017629812
14,70,"['5956380', '4414547', '7506409', '37204802', '21307488', '7225911', '4389394', '2582169', '11903247', '5254463']",560.4211177481338
15,72,"['6076903', '25915873', '10666475', '1031534', '12631697', '9185195', '3085264', '24721866', '14296612', '6923795']",1221.2130427840166
16,75,"['4387784', '37768883', '13965483', '36233757', '29214508', '2837758', '38805486', '3690068', '15135001', '29367554']",837.2392984608887
17,94,"['30844602', '18852643', '24795767', '40584205', '10423989', '4442799', '20422174', '7655029', '18997216', '2319305']",991.3145548409666
18,99,"['18810195', '27768226', '35531883', '8446259', '38300781', '20620012', '13083189', '3613041', '17648235', '43629704']",883.9338353030616
19,100,"['4381486', '2701077', '14550841', '18374364', '4398832', '6472746', '4421787', '30714190', '1944452', '13116880']",565.5232118650456
20,113,"['6157837', '1759213', '44030361', '5548081', '12258338', '13071728', '5850219', '14121786', '37248570', '13770184']",720.0016212750343
21,115,"['33872649', '25677651', '9244474', '22942787', '13515165', '16495649', '25643818', '23686039', '22236223', '45548062']",871.5373839730164
22,118,"['6372244', '4465735', '32454714', '2604063', '4695107', '25098790', '25028913', '25670099', '7852582', '24323695']",648.3758429240552
23,124,"['4883040', '7111021', '21479231', '32012666', '31363207', '13901073', '13899137', '14319754', '1986482', '39984099']",538.4181005239952
24,127,"['21598000', '35231675', '7549811', '37727521', '21943141', '13921783', '14252892', '1371440', '11603066', '17433284']",1301.844808630005
