q,qid,did,time
0,1,"['2593298', '17388232', '306311', '16057926', '25435456', '4346436', '45199834', '1065627', '18575183', '23868856']",1065.0840947780234
1,3,"['4414547', '14717500', '4632921', '32181055', '1388704', '3672261', '4378885', '23389795', '17088791', '2107238']",681.515040726983
2,5,"['520579', '42240424', '33339202', '5922085', '13030852', '39481265', '5835149', '34189936', '23208167', '695938']",1035.5644440209726
3,13,"['12991445', '8529693', '18537148', '38735355', '24998764', '23369842', '4432763', '11748341', '9588931', '17124832']",637.9233857090294
4,36,"['6525844', '15615957', '7011850', '43483151', '4886637', '25028913', '4442799', '37424881', '12130200', '18557974']",724.2090951730206
5,42,"['28931537', '3215494', '39903312', '5289038', '5107861', '24088502', '9254550', '18174210', '40913091', '27162821']",864.3525574330124
6,48,"['20459964', '24555878', '24241932', '6250701', '9291668', '3475317', '24510595', '21186109', '3435889', '39368721']",1005.9278987490106
7,49,"['20054396', '4162857', '9091863', '236204', '21373240', '4411760', '6264468', '9680193', '14205246', '18207615']",637.6636421678995
8,50,"['3376731', '15405204', '8702697', '3952288', '29785642', '39559521', '13989491', '952111', '17844478', '24249915']",792.7154647809803
9,51,"['22482820', '19358586', '7583725', '31311495', '2931832', '43385013', '12762485', '21307488', '24834968', '21439640']",618.2425869340077
10,53,"['24349992', '19358586', '16734530', '20333864', '15600979', '4889228', '45638119', '22482820', '7583725', '7795952']",680.6373248020827
11,54,"['32408470', '20128547', '49556906', '3419709', '11535539', '3684342', '23974474', '11884867', '3973445', '9899292']",638.0600768650183
12,56,"['8185080', '13814480', '3773719', '3583084', '36637129', '6544701', '1605196', '4709641', '22116439', '9675944']",712.0356800600712
13,57,"['9675944', '13814480', '11674288', '19970015', '11659421', '6477740', '4459491', '4709641', '14434123', '36637129']",698.7901229950658
14,70,"['17223891', '6807122', '9483851', '39637840', '42489926', '18489989', '28107602', '7225911', '2582169', '994800']",661.3333563180058
15,72,"['25251625', '22500262', '28712203', '8698857', '9185195', '40500438', '207972', '10491220', '6625693', '24554740']",1015.7981528879899
16,75,"['36089763', '24928817', '41900731', '5966635', '12909503', '799586', '7465900', '9680193', '13965483', '4387784']",887.4205159950652
17,94,"['24634621', '23912923', '14566771', '1805641', '4418878', '18025240', '4429118', '9291668', '11420613', '140098548']",742.3693359839963
18,99,"['2151983', '31166180', '20649327', '27615329', '11419230', '3155374', '14205246', '8087082', '38300781', '23208167']",909.5558745840098
19,100,"['12871002', '21170174', '13906892', '8148122', '1944452', '25550665', '92499', '6472746', '27910499', '30658796']",648.1344544369786
20,113,"['8318922', '6157837', '3825750', '14584755', '4678846', '24998764', '45447613', '26025370', '44030361', '25816994']",680.5872238330194
21,115,"['14584755', '6421792', '10703001', '5487448', '32454714', '695938', '3462075', '6250701', '37207226', '8856690']",1055.3545143280353
22,118,"['20148808', '4695107', '34603465', '11921405', '31460499', '3272084', '46602807', '4465735', '6372244', '15578265']",596.1527509410807
23,124,"['17768946', '7111021', '3493623', '22174015', '21878751', '374902', '20471181', '31562330', '26731863', '5137019']",765.1270319310715
24,127,"['20054396', '14205246', '10189634', '17805221', '7549811', '21598000', '6472746', '16736883', '20368353', '16090672']",893.4299238079402
