qid,Recall@10,NDCG@10,time
1,0.0,0.0,1532.5051084971055
3,0.0,0.0,1443.953179130098
5,0.0,0.0,1257.131652176147
13,0.0,0.0,1222.7933985618874
36,0.0,0.0,1300.8487531819846
42,0.0,0.0,1357.258087601047
48,0.0,0.0,1205.7794269439764
49,0.0,0.0,1178.961125405971
50,0.0,0.0,1201.745655657025
51,0.0,0.0,1214.1745179740246
53,0.0,0.0,1203.54609382106
54,0.0,0.0,1227.5979854830075
56,0.0,0.0,1325.1282868850976
57,0.0,0.0,1412.5340373828076
70,0.0,0.0,1306.8530235351063
72,0.0,0.0,1597.5606070701033
75,0.0,0.0,1219.9112875191497
94,0.0,0.0,1081.186766791856
99,0.0,0.0,1101.948555591982
100,0.0,0.0,1375.590082027018
113,0.0,0.0,1098.3361917079892
115,0.0,0.0,1078.5556280091405
118,0.0,0.0,1337.6791170989163
124,0.0,0.0,1273.0199610781856
127,0.0,0.0,1207.3014262598008
