qid,Recall@10,NDCG@10,time
1,0.0,0.0,507.9039910188876
3,0.0,0.0,715.7971351400483
5,0.0,0.0,639.1234111271333
13,0.0,0.0,681.7290747240186
36,0.0,0.0,646.986237892881
42,0.0,0.0,652.5991601939313
48,0.0,0.0,565.6185103410389
49,0.0,0.0,602.3709510709159
50,0.0,0.0,611.0310320979916
51,0.0,0.0,624.8568957960233
53,0.0,0.0,643.4567298549227
54,0.0,0.0,617.9744002379011
56,0.0,0.0,742.5215446839575
57,0.0,0.0,730.5582559560426
70,0.0,0.0,611.1637962921523
72,0.0,0.0,769.0430573499762
75,0.0,0.0,692.455351427896
94,0.0,0.0,587.8536402890459
99,0.0,0.0,615.946858284995
100,0.0,0.0,659.933962879004
113,0.0,0.0,574.9373919370119
115,0.0,0.0,548.143296534894
118,0.0,0.0,680.2582386138383
124,0.0,0.0,724.2083039770368
127,0.0,0.0,620.4391117519699
