q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['169264', '21456232', '15657779', '4346436', '121581019', '95764370', '30884033', '4325137', '26899920', '8150638']",1189,1421.6094076901209,"[0, 0, 0, 1, 8, 10]","[5183, 5183, 1898, 48, 5, 0]","[0.0, 4.56350389868021e-05, 1026.8976420660038, 1406.905832333956, 1420.542704949854, 1421.609369251877]","[0, 0, 864, 1180, 1188, 1189]","[[], [], [], ['21456232'], ['169264', '21456232', '121581019', '95764370', '30884033', '4325137', '26899920', '8150638'], ['169264', '21456232', '15657779', '4346436', '121581019', '95764370', '30884033', '4325137', '26899920', '8150638']]"
1,3,"['23389795', '1388704', '4414547', '25571386', '14717500', '4632921', '2739854', '13940200', '18199839', '3672261']",893,1064.6403324988205,"[0, 0, 0, 0, 10]","[5183, 5183, 164, 19, 0]","[0.0, 1.0803109034895897e-05, 1021.3443967921194, 1060.060823024949, 1064.6403037300333]","[0, 0, 864, 892, 893]","[[], [], [], [], ['23389795', '1388704', '4414547', '25571386', '14717500', '4632921', '2739854', '13940200', '18199839', '3672261']]"
2,5,"['1583041', '13734012', '695938', '21550246', '23124332', '15879544', '11349166', '17333231', '18617259', '42240424']",865,1027.1958022981416,"[0, 0, 8, 10]","[5183, 5183, 16, 0]","[0.0, 8.597970008850098e-06, 1023.2550989359152, 1027.1957711190917]","[0, 0, 864, 865]","[[], [], ['1583041', '13734012', '695938', '21550246', '23124332', '11349166', '17333231', '18617259'], ['1583041', '13734012', '695938', '21550246', '23124332', '15879544', '11349166', '17333231', '18617259', '42240424']]"
3,13,"['26611834', '37480103', '22236223', '6718824', '8529693', '56893404', '23557241', '17450673', '11748341', '6323196']",865,1015.6019277048763,"[0, 0, 2, 10]","[5183, 5183, 10, 0]","[0.0, 6.292946636676788e-06, 1015.5327398311347, 1015.6019062330015]","[0, 0, 864, 865]","[[], [], ['11748341', '26611834'], ['26611834', '37480103', '22236223', '6718824', '8529693', '56893404', '23557241', '17450673', '11748341', '6323196']]"
4,36,"['37424881', '5152028', '18557974', '33409100', '16252863', '42441846', '12130200', '21636085', '11705328', '3215494']",869,1029.8809840548784,"[0, 0, 0, 4, 10]","[5183, 5183, 23, 7, 0]","[0.0, 6.116926670074463e-06, 1016.2341952179559, 1027.825543517014, 1029.8809506788384]","[0, 0, 864, 868, 869]","[[], [], [], ['42441846', '37424881', '12130200', '3215494'], ['37424881', '5152028', '18557974', '33409100', '16252863', '42441846', '12130200', '21636085', '11705328', '3215494']]"
5,42,"['10128893', '4449524', '45218443', '26064662', '8385277', '6315132', '25420421', '8083310', '40913091', '18174210']",868,1030.8307846859097,"[0, 0, 0, 10]","[5183, 5183, 27, 0]","[0.0, 8.012168109416962e-06, 1017.6741197630763, 1030.8307544940617]","[0, 0, 864, 868]","[[], [], [], ['10128893', '4449524', '45218443', '26064662', '8385277', '6315132', '25420421', '8083310', '40913091', '18174210']]"
6,48,"['27063470', '15879544', '13734012', '1583041', '695938', '23203102', '34074902', '11349166', '3078080', '18617259']",1040,1241.5137194958515,"[0, 0, 7, 7, 7, 10]","[5183, 5183, 938, 96, 25, 0]","[0.0, 8.854083716869354e-06, 1015.2910669830162, 1206.3116783830337, 1229.2029809770174, 1241.5136817730963]","[0, 0, 864, 1020, 1036, 1040]","[[], [], ['27063470', '15879544', '13734012', '18617259', '23203102', '11349166', '3078080'], ['27063470', '15879544', '13734012', '18617259', '23203102', '11349166', '3078080'], ['27063470', '15879544', '13734012', '18617259', '23203102', '11349166', '3078080'], ['27063470', '15879544', '13734012', '1583041', '695938', '23203102', '34074902', '11349166', '3078080', '18617259']]"
7,49,"['23913146', '5953485', '5702790', '1333643', '6913227', '22362025', '18654430', '1354567', '7029990', '14362780']",865,1019.0826735589653,"[0, 0, 6, 10]","[5183, 5183, 6, 0]","[0.0, 8.390983566641808e-06, 1017.5853048469871, 1019.0826411759481]","[0, 0, 864, 865]","[[], [], ['5953485', '5702790', '1333643', '22362025', '7029990', '14362780'], ['23913146', '5953485', '5702790', '1333643', '6913227', '22362025', '18654430', '1354567', '7029990', '14362780']]"
8,50,"['8354687', '12580014', '18488986', '301838', '39559521', '15405204', '3952288', '13989491', '2734421', '25738896']",892,1069.1039411919191,"[0, 0, 2, 3, 10]","[5183, 5183, 131, 39, 0]","[0.0, 7.1721151471138e-06, 1023.348253461998, 1055.592171000084, 1069.1038975510746]","[0, 0, 864, 886, 892]","[[], [], ['12580014', '18488986'], ['25738896', '12580014', '18488986'], ['8354687', '12580014', '18488986', '301838', '39559521', '15405204', '3952288', '13989491', '2734421', '25738896']]"
9,51,"['24249915', '45638119', '7583725', '34066665', '24349992', '7821634', '29366489', '12762485', '8963413', '21487212']",871,1036.927605106961,"[0, 0, 0, 0, 10]","[5183, 5183, 34, 11, 0]","[0.0, 8.791917935013771e-06, 1020.2768477690406, 1033.8128454249818, 1036.927574353991]","[0, 0, 864, 870, 871]","[[], [], [], [], ['24249915', '45638119', '7583725', '34066665', '24349992', '7821634', '29366489', '12762485', '8963413', '21487212']]"
10,53,"['7795952', '16734530', '7583725', '24349992', '19358586', '35443524', '7821634', '313403', '21439640', '45638119']",865,1025.3131179898046,"[0, 0, 5, 10]","[5183, 5183, 19, 0]","[0.0, 6.696907803416252e-06, 1020.7705226549879, 1025.3130824880209]","[0, 0, 864, 865]","[[], [], ['35443524', '7583725', '16734530', '45638119', '24349992'], ['7795952', '16734530', '7583725', '24349992', '19358586', '35443524', '7821634', '313403', '21439640', '45638119']]"
11,54,"['9752604', '24721866', '49556906', '3973445', '22036571', '14874811', '3504761', '38533515', '1590744', '23974474']",868,1033.844674624037,"[0, 0, 8, 10]","[5183, 5183, 23, 0]","[0.0, 7.16792419552803e-06, 1022.1780270838644, 1033.8446248269174]","[0, 0, 864, 868]","[[], [], ['9752604', '24721866', '49556906', '3973445', '22036571', '14874811', '38533515', '23974474'], ['9752604', '24721866', '49556906', '3973445', '22036571', '14874811', '3504761', '38533515', '1590744', '23974474']]"
12,56,"['11659421', '6054657', '27588420', '4709641', '6544701', '13814480', '37722384', '30351165', '18852643', '36637129']",865,1027.6244845150504,"[0, 0, 0, 10]","[5183, 5183, 19, 0]","[0.0, 7.705995813012123e-06, 1023.0800773920491, 1027.6244475261774]","[0, 0, 864, 865]","[[], [], [], ['11659421', '6054657', '27588420', '4709641', '6544701', '13814480', '37722384', '30351165', '18852643', '36637129']]"
13,57,"['11659421', '4709641', '22116439', '13814480', '20937018', '18446525', '26244918', '28530299', '18852643', '36637129']",878,1044.5977633940056,"[0, 0, 0, 10]","[5183, 5183, 84, 0]","[0.0, 8.637085556983948e-06, 1021.6699016219936, 1044.5977292770986]","[0, 0, 864, 878]","[[], [], [], ['11659421', '4709641', '22116439', '13814480', '20937018', '18446525', '26244918', '28530299', '18852643', '36637129']]"
14,70,"['28107602', '37204802', '4414547', '21307488', '5254463', '7225911', '42489926', '5956380', '24737389', '4389394']",864,1017.4684935510159,"[0, 0, 10]","[5183, 5183, 0]","[0.0, 6.593996658921242e-06, 1017.4684552631807]","[0, 0, 864]","[[], [], ['28107602', '37204802', '4414547', '21307488', '5254463', '7225911', '42489926', '5956380', '24737389', '4389394']]"
15,72,"['26710772', '6157371', '1031534', '8997410', '38380061', '6076903', '25365522', '39763465', '14492964', '35008773']",879,1045.434621017892,"[0, 0, 6, 6, 10]","[5183, 5183, 84, 11, 0]","[0.0, 6.695976480841637e-06, 1019.7209211839363, 1042.795570564922, 1045.434593074955]","[0, 0, 864, 878, 879]","[[], [], ['26710772', '14492964', '1031534', '35008773', '38380061', '6076903'], ['26710772', '14492964', '1031534', '35008773', '38380061', '6076903'], ['26710772', '6157371', '1031534', '8997410', '38380061', '6076903', '25365522', '39763465', '14492964', '35008773']]"
16,75,"['2837758', '13965483', '2052720', '37768883', '26488879', '22703082', '36233757', '29214508', '4387784', '38805486']",864,1016.6459360730369,"[0, 0, 10]","[5183, 5183, 0]","[0.0, 8.589820936322212e-06, 1016.6458947609644]","[0, 0, 864]","[[], [], ['2837758', '13965483', '2052720', '37768883', '26488879', '22703082', '36233757', '29214508', '4387784', '38805486']]"
17,94,"['8428837', '9460704', '1215116', '1946610', '46926352', '35256900', '13948920', '18025240', '17876040', '17482507']",943,1121.5543939499184,"[0, 0, 0, 0, 3, 10]","[5183, 5183, 438, 26, 8, 0]","[0.0, 6.573973223567009e-06, 1017.9464538299944, 1106.732756842859, 1119.5577219149563, 1121.5543623198755]","[0, 0, 864, 938, 942, 943]","[[], [], [], [], ['17482507', '1215116', '8428837'], ['8428837', '9460704', '1215116', '1946610', '46926352', '35256900', '13948920', '18025240', '17876040', '17482507']]"
18,99,"['13578199', '8446259', '2423940', '4740447', '36180468', '39389082', '18810195', '2033917', '36816310', '17695748']",1045,1250.0718407949898,"[0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 795, 220, 66, 17, 0]","[0.0, 1.0059913620352745e-05, 1018.0094769909047, 1181.1823088459205, 1232.2229547279421, 1245.9068258430343, 1250.0718052240554]","[0, 0, 864, 996, 1032, 1044, 1045]","[[], [], [], [], [], [], ['13578199', '8446259', '2423940', '4740447', '36180468', '39389082', '18810195', '2033917', '36816310', '17695748']]"
19,100,"['8724666', '10015292', '12871002', '4381486', '13116880', '24555417', '18909530', '14550841', '30714190', '33677323']",877,1041.69776323298,"[0, 0, 2, 2, 10]","[5183, 5183, 76, 10, 0]","[0.0, 9.945128113031387e-06, 1018.7135961770546, 1041.6192421680316, 1041.6977293940727]","[0, 0, 864, 876, 877]","[[], [], ['4381486', '30714190'], ['4381486', '30714190'], ['8724666', '10015292', '12871002', '4381486', '13116880', '24555417', '18909530', '14550841', '30714190', '33677323']]"
20,113,"['14584755', '43417006', '14121786', '1759213', '3825750', '25816994', '6157837', '8318922', '26199970', '31890716']",881,1039.137964389054,"[0, 0, 0, 5, 10]","[5183, 5183, 90, 6, 0]","[0.0, 8.424045518040657e-06, 1014.5986159851309, 1037.5524967340752, 1039.1379319960251]","[0, 0, 864, 880, 881]","[[], [], [], ['14584755', '14121786', '25816994', '6157837', '1759213'], ['14584755', '43417006', '14121786', '1759213', '3825750', '25816994', '6157837', '8318922', '26199970', '31890716']]"
21,115,"['26297042', '33872649', '16532419', '32922179', '4942718', '28651643', '30919024', '25677651', '12100963', '4999387']",945,1132.2859797230922,"[0, 0, 0, 0, 0, 10]","[5183, 5183, 432, 41, 12, 0]","[0.0, 7.797963917255402e-06, 1026.4172786299605, 1115.317807262065, 1129.012346663978, 1132.2859514490701]","[0, 0, 864, 936, 944, 945]","[[], [], [], [], [], ['26297042', '33872649', '16532419', '32922179', '4942718', '28651643', '30919024', '25677651', '12100963', '4999387']]"
22,118,"['26702468', '11837657', '5922085', '7869794', '4465735', '32454714', '4695107', '6372244', '15578265', '41120293']",864,1019.1961004219484,"[0, 0, 10]","[5183, 5183, 0]","[0.0, 6.554881110787392e-06, 1019.1960728829727]","[0, 0, 864]","[[], [], ['26702468', '11837657', '5922085', '7869794', '4465735', '32454714', '4695107', '6372244', '15578265', '41120293']]"
23,124,"['7111021', '13071728', '32012666', '374902', '21479231', '31363207', '13899137', '35087728', '1986482', '4883040']",865,1022.0008192081004,"[0, 0, 7, 10]","[5183, 5183, 6, 0]","[0.0, 7.409136742353439e-06, 1020.2423536961433, 1022.0007920609787]","[0, 0, 864, 865]","[[], [], ['13899137', '7111021', '32012666', '1986482', '4883040', '21479231', '31363207'], ['7111021', '13071728', '32012666', '374902', '21479231', '31363207', '13899137', '35087728', '1986482', '4883040']]"
24,127,"['38528892', '9638032', '2991954', '7549811', '11200685', '20054396', '16686383', '21598000', '33911859', '35231675']",897,3056.484330359148,"[0, 0, 3, 3, 10]","[5183, 5183, 189, 15, 0]","[0.0, 7.987022399902344e-06, 3010.9661202419084, 3052.6720886989497, 3056.4842891199514]","[0, 0, 864, 896, 897]","[[], [], ['21598000', '7549811', '35231675'], ['21598000', '7549811', '35231675'], ['38528892', '9638032', '2991954', '7549811', '11200685', '20054396', '16686383', '21598000', '33911859', '35231675']]"
