q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['17388232', '21456232', '33030946', '4422868', '41982985', '94109411', '1922901', '11041152', '12641252', '38587347']",1772,2094.6249151399825,"[0, 0, 0, 0, 1, 10]","[5183, 5183, 2214, 809, 148, 0]","[0.0, 5.513802170753479e-05, 1297.0267258549575, 1848.107997028972, 2055.902462671045, 2094.6248706110055]","[0, 0, 1094, 1564, 1738, 1772]","[[], [], [], [], ['21456232'], ['17388232', '21456232', '33030946', '4422868', '41982985', '94109411', '1922901', '11041152', '12641252', '38587347']]"
1,3,"['6290112', '23389795', '32181055', '3672261', '4414547', '14717500', '4378885', '2485101', '2739854', '5304891']",1217,1451.3015226570424,"[0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 455, 45, 25, 12, 0]","[0.0, 8.678063750267029e-06, 1292.6073717940599, 1406.941669421969, 1426.9766319970367, 1447.174208209035, 1451.3014185460052]","[0, 0, 1094, 1192, 1206, 1216, 1217]","[[], [], [], [], [], [], ['6290112', '23389795', '32181055', '3672261', '4414547', '14717500', '4378885', '2485101', '2739854', '5304891']]"
2,5,"['1379127', '1292369', '11349166', '18617259', '7736860', '38899659', '8533245', '6961811', '1583041', '17333231']",1697,2030.3587001069682,"[0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2760, 33, 23, 15, 0]","[0.0, 1.0879011824727058e-05, 1290.2154092270648, 1985.9852773110615, 2006.2300625430653, 2026.5229584060144, 2030.3586642820155]","[0, 0, 1094, 1680, 1690, 1696, 1697]","[[], [], [], [], [], [], ['1379127', '1292369', '11349166', '18617259', '7736860', '38899659', '8533245', '6961811', '1583041', '17333231']]"
3,13,"['11748341', '7662395', '1958440', '32776084', '34544514', '6323196', '1263446', '21050357', '56893404', '8529693']",1121,1333.0845403160201,"[0, 0, 0, 0, 10]","[5183, 5183, 110, 17, 0]","[0.0, 8.100992999970913e-06, 1289.8493435049895, 1328.910565982922, 1333.0845096990233]","[0, 0, 1094, 1120, 1121]","[[], [], [], [], ['11748341', '7662395', '1958440', '32776084', '34544514', '6323196', '1263446', '21050357', '56893404', '8529693']]"
4,36,"['37424881', '5152028', '12810152', '33409100', '16252863', '42441846', '4442799', '11705328', '21636085', '3215494']",1095,1296.016227582004,"[0, 0, 0, 10]","[5183, 5183, 18, 0]","[0.0, 7.12997280061245e-06, 1291.6801120770397, 1296.0161979299737]","[0, 0, 1094, 1095]","[[], [], [], ['37424881', '5152028', '12810152', '33409100', '16252863', '42441846', '4442799', '11705328', '21636085', '3215494']]"
5,42,"['10559501', '4911006', '24795767', '4449524', '5107861', '6315132', '18174210', '8083310', '45218443', '40913091']",1447,1707.8717961190268,"[0, 0, 0, 0, 8, 10]","[5183, 5183, 1595, 56, 7, 0]","[0.0, 7.897033356130123e-06, 1289.6828407719731, 1685.846476475941, 1706.0561622820096, 1707.8717642169213]","[0, 0, 1094, 1432, 1446, 1447]","[[], [], [], [], ['10559501', '4449524', '5107861', '6315132', '18174210', '8083310', '45218443', '40913091'], ['10559501', '4911006', '24795767', '4449524', '5107861', '6315132', '18174210', '8083310', '45218443', '40913091']]"
6,48,"['3588621', '13734012', '11349166', '18617259', '1834762', '7224723', '9113824', '27063470', '16364639', '38040186']",1095,1293.0730617539957,"[0, 0, 0, 10]","[5183, 5183, 15, 0]","[0.0, 8.762930519878864e-06, 1289.3029582569143, 1293.07302605093]","[0, 0, 1094, 1095]","[[], [], [], ['3588621', '13734012', '11349166', '18617259', '1834762', '7224723', '9113824', '27063470', '16364639', '38040186']]"
7,49,"['5702790', '2251426', '2619579', '22362025', '23913146', '8006440', '1333643', '15590539', '5953485', '18654430']",1101,1310.6707800149452,"[0, 0, 3, 9, 10]","[5183, 5183, 23, 4, 0]","[0.0, 8.246046490967274e-06, 1289.748363011051, 1309.7133914639708, 1310.6707451679977]","[0, 0, 1094, 1100, 1101]","[[], [], ['5702790', '22362025', '5953485'], ['5702790', '2251426', '2619579', '22362025', '8006440', '1333643', '15590539', '5953485', '18654430'], ['5702790', '2251426', '2619579', '22362025', '23913146', '8006440', '1333643', '15590539', '5953485', '18654430']]"
8,50,"['12580014', '39559521', '8354687', '301838', '25738896', '4561402', '3952288', '15405204', '18488986', '13989491']",1179,1402.290111304028,"[0, 0, 3, 3, 3, 10]","[5183, 5183, 319, 60, 9, 0]","[0.0, 9.558047167956829e-06, 1290.8446795840282, 1380.1536647600587, 1400.2551969930064, 1402.2900744240033]","[0, 0, 1094, 1164, 1178, 1179]","[[], [], ['12580014', '25738896', '18488986'], ['12580014', '25738896', '18488986'], ['12580014', '25738896', '18488986'], ['12580014', '39559521', '8354687', '301838', '25738896', '4561402', '3952288', '15405204', '18488986', '13989491']]"
9,51,"['16691520', '16734530', '24249915', '19358586', '12762485', '7583725', '4429932', '8963413', '29366489', '45638119']",1095,1293.652987936046,"[0, 0, 0, 10]","[5183, 5183, 11, 0]","[0.0, 9.211013093590736e-06, 1289.7194068779936, 1293.6529546780512]","[0, 0, 1094, 1095]","[[], [], [], ['16691520', '16734530', '24249915', '19358586', '12762485', '7583725', '4429932', '8963413', '29366489', '45638119']]"
10,53,"['22401720', '16691520', '16734530', '4889228', '7821634', '19358586', '43385013', '7583725', '8963413', '45638119']",1095,1294.0901594009483,"[0, 0, 0, 10]","[5183, 5183, 12, 0]","[0.0, 6.344984285533428e-06, 1290.7286107440013, 1294.0901282679988]","[0, 0, 1094, 1095]","[[], [], [], ['22401720', '16691520', '16734530', '4889228', '7821634', '19358586', '43385013', '7583725', '8963413', '45638119']]"
11,54,"['19313533', '14874811', '3973445', '7005276', '24721866', '49556906', '22036571', '38533515', '3419709', '26025820']",1101,1313.909302541986,"[0, 0, 0, 0, 10]","[5183, 5183, 21, 16, 0]","[0.0, 6.9249654188752174e-06, 1291.2829830100527, 1309.8991853860207, 1313.9092561829602]","[0, 0, 1094, 1100, 1101]","[[], [], [], [], ['19313533', '14874811', '3973445', '7005276', '24721866', '49556906', '22036571', '38533515', '3419709', '26025820']]"
12,56,"['30351165', '1122198', '11659421', '37205759', '12443371', '18852643', '36637129', '10273147', '35777860', '4709641']",1121,1335.1733536809916,"[0, 0, 0, 0, 10]","[5183, 5183, 106, 13, 0]","[0.0, 6.305985152721405e-06, 1292.8835831739707, 1331.7495239609852, 1335.1733168039937]","[0, 0, 1094, 1120, 1121]","[[], [], [], [], ['30351165', '1122198', '11659421', '37205759', '12443371', '18852643', '36637129', '10273147', '35777860', '4709641']]"
