q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['169264', '19855358', '20101846', '21456232', '121581019', '94109411', '9634465', '15337254', '4346436', '59453688']",498,595.9206227809773,"[0, 0, 0, 0, 2, 2, 7, 10]","[5183, 5183, 1795, 525, 201, 69, 15, 0]","[0.0, 4.797399742528796e-05, 391.52376893599285, 525.3948697689921, 567.8004046889837, 585.3662498379708, 592.1143456390128, 595.9205825849785]","[0, 0, 326, 440, 475, 490, 497, 498]","[[], [], [], [], ['21456232', '20101846'], ['21456232', '20101846'], ['121581019', '169264', '94109411', '20101846', '21456232', '4346436', '59453688'], ['169264', '19855358', '20101846', '21456232', '121581019', '94109411', '9634465', '15337254', '4346436', '59453688']]"
1,3,"['3672261', '23389795', '19058822', '4378885', '15153602', '4414547', '14717500', '32181055', '4632921', '2739854']",338,407.72006950504147,"[0, 0, 0, 0, 10]","[5183, 5183, 148, 16, 0]","[0.0, 1.3034965377300978e-05, 388.34769846196286, 403.6701386370114, 407.72003641095944]","[0, 0, 326, 337, 338]","[[], [], [], [], ['3672261', '23389795', '19058822', '4378885', '15153602', '4414547', '14717500', '32181055', '4632921', '2739854']]"
2,5,"['393001', '11349166', '21550246', '1292369', '18617259', '2604063', '3669694', '25623469', '17333231', '42240424']",477,567.9417044380098,"[0, 0, 0, 0, 10]","[5183, 5183, 2362, 12, 0]","[0.0, 1.0263989679515362e-05, 386.9835285419831, 564.7496449079481, 567.9416678809794]","[0, 0, 326, 476, 477]","[[], [], [], [], ['393001', '11349166', '21550246', '1292369', '18617259', '2604063', '3669694', '25623469', '17333231', '42240424']]"
3,13,"['23557241', '11748341', '6718824', '32776084', '8529693', '17450673', '5487448', '27123743', '7662395', '16322674']",331,395.56001073203515,"[0, 0, 0, 0, 10]","[5183, 5183, 30, 16, 0]","[0.0, 6.329966709017754e-06, 385.7480103939888, 391.62382702197647, 395.5599731129478]","[0, 0, 326, 330, 331]","[[], [], [], [], ['23557241', '11748341', '6718824', '32776084', '8529693', '17450673', '5487448', '27123743', '7662395', '16322674']]"
4,36,"['37424881', '11705328', '16252863', '42441846', '12130200', '18557974', '3215494', '21636085', '12810152', '33409100']",327,391.827422382019,"[0, 0, 0, 10]","[5183, 5183, 17, 0]","[0.0, 7.363036274909973e-06, 387.69697962899227, 391.8273909839918]","[0, 0, 326, 327]","[[], [], [], ['37424881', '11705328', '16252863', '42441846', '12130200', '18557974', '3215494', '21636085', '12810152', '33409100']]"
5,42,"['18174210', '4449524', '10526279', '12240507', '27162821', '6315132', '45218443', '8083310', '5836', '40913091']",384,457.82060745795025,"[0, 0, 0, 0, 0, 10]","[5183, 5183, 798, 43, 11, 0]","[0.0, 6.830028723925352e-06, 384.71801882301224, 447.55133002199, 454.77079481398687, 457.82057589199394]","[0, 0, 326, 378, 383, 384]","[[], [], [], [], [], ['18174210', '4449524', '10526279', '12240507', '27162821', '6315132', '45218443', '8083310', '5836', '40913091']]"
6,48,"['16056514', '13515165', '11349166', '16737163', '5114940', '464511', '18617259', '5114282', '27063470', '21439640']",327,388.3813589820056,"[0, 0, 0, 10]","[5183, 5183, 12, 0]","[0.0, 1.0602991096675396e-05, 385.2353024710319, 388.381322086032]","[0, 0, 326, 327]","[[], [], [], ['16056514', '13515165', '11349166', '16737163', '5114940', '464511', '18617259', '5114282', '27063470', '21439640']]"
7,49,"['5702790', '15590539', '23913146', '22623275', '2619579', '22362025', '18654430', '7029990', '1354567', '5953485']",327,386.6337044269894,"[0, 0, 6, 10]","[5183, 5183, 6, 0]","[0.0, 5.820009391754866e-06, 385.188286737015, 386.6336718859966]","[0, 0, 326, 327]","[[], [], ['5702790', '15590539', '22362025', '7029990', '23913146', '5953485'], ['5702790', '15590539', '23913146', '22623275', '2619579', '22362025', '18654430', '7029990', '1354567', '5953485']]"
8,50,"['25738896', '15405204', '12580014', '13989491', '3952288', '10162553', '18488986', '4561402', '17844478', '8354687']",350,420.99611478997394,"[0, 0, 3, 3, 3, 8, 10]","[5183, 5183, 144, 76, 42, 13, 0]","[0.0, 7.890979759395123e-06, 387.55019410699606, 402.00757211400196, 411.2854764609947, 417.0719036060036, 420.99607816600474]","[0, 0, 326, 337, 344, 349, 350]","[[], [], ['12580014', '18488986', '25738896'], ['12580014', '18488986', '25738896'], ['12580014', '18488986', '25738896'], ['25738896', '15405204', '12580014', '13989491', '3952288', '10162553', '18488986', '17844478'], ['25738896', '15405204', '12580014', '13989491', '3952288', '10162553', '18488986', '4561402', '17844478', '8354687']]"
9,51,"['16691520', '15113221', '12762485', '24249915', '45638119', '29366489', '34066665', '19358586', '4889228', '7583725']",327,390.25409652502276,"[0, 0, 0, 10]","[5183, 5183, 19, 0]","[0.0, 9.15903365239501e-06, 385.7435184789938, 390.2540535570006]","[0, 0, 326, 327]","[[], [], [], ['16691520', '15113221', '12762485', '24249915', '45638119', '29366489', '34066665', '19358586', '4889228', '7583725']]"
