q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['1156322', '43990286', '42787108', '9122283', '4346436', '6219790', '20675284', '17934082', '92499', '21456232']",215,990.006851587008,"[0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2374, 1411, 570, 163, 12, 0]","[0.0, 3.9466001908294857e-05, 521.1441376030125, 761.922376336006, 910.5202371380001, 967.6373539730121, 986.3094729980075, 990.0068163250107]","[0, 0, 112, 164, 195, 209, 214, 215]","[[], [], [], [], [], [], [], ['1156322', '43990286', '42787108', '9122283', '4346436', '6219790', '20675284', '17934082', '92499', '21456232']]"
1,3,"['2739854', '2485101', '23389795', '17088791', '14717500', '13940200', '4414547', '4378885', '3672261', '4632921']",121,570.5189402429969,"[0, 0, 0, 0, 10]","[5183, 5183, 284, 39, 0]","[0.0, 9.814000804908574e-06, 519.430090075999, 556.5728232610127, 570.5189080440032]","[0, 0, 112, 120, 121]","[[], [], [], [], ['2739854', '2485101', '23389795', '17088791', '14717500', '13940200', '4414547', '4378885', '3672261', '4632921']]"
2,5,"['18617259', '8994465', '1583041', '695938', '17333231', '13734012', '27063470', '1292369', '21550246', '15879544']",273,1261.9651494660066,"[0, 0, 0, 7, 7, 7, 7, 10]","[5183, 5183, 2918, 2911, 995, 386, 12, 0]","[0.0, 8.269009413197637e-06, 518.4418228930008, 814.5177579309966, 1110.666610166998, 1221.6113172100013, 1258.8002527200006, 1261.9651097099995]","[0, 0, 112, 176, 239, 262, 272, 273]","[[], [], [], ['17333231', '27063470', '18617259', '21550246', '15879544', '1583041', '695938'], ['17333231', '27063470', '18617259', '21550246', '15879544', '1583041', '695938'], ['17333231', '27063470', '18617259', '21550246', '15879544', '1583041', '695938'], ['17333231', '27063470', '18617259', '21550246', '15879544', '1583041', '695938'], ['18617259', '8994465', '1583041', '695938', '17333231', '13734012', '27063470', '1292369', '21550246', '15879544']]"
3,13,"['11748341', '23557241', '11360768', '26611834', '7662395', '27123743', '8529693', '17450673', '1958440', '16322674']",250,1151.9872788899957,"[0, 0, 3, 3, 3, 10]","[5183, 5183, 5180, 1089, 16, 0]","[0.0, 1.4531004126183689e-05, 518.0926726630132, 1036.9575426130032, 1148.0305272140104, 1151.987247092009]","[0, 0, 112, 224, 249, 250]","[[], [], ['17450673', '8529693', '26611834'], ['17450673', '8529693', '26611834'], ['17450673', '8529693', '26611834'], ['11748341', '23557241', '11360768', '26611834', '7662395', '27123743', '8529693', '17450673', '1958440', '16322674']]"
4,36,"['21636085', '42441846', '12810152', '37424881', '11705328', '9813098', '3215494', '16252863', '5152028', '33409100']",113,523.8736612520006,"[0, 0, 0, 10]","[5183, 5183, 19, 0]","[0.0, 8.82899621501565e-06, 519.3380427289958, 523.8736330160027]","[0, 0, 112, 113]","[[], [], [], ['21636085', '42441846', '12810152', '37424881', '11705328', '9813098', '3215494', '16252863', '5152028', '33409100']]"
5,42,"['8083310', '27162821', '8925851', '22482024', '40913091', '45218443', '6315132', '18174210', '18344910', '6417632']",166,779.0266464820015,"[0, 0, 0, 0, 0, 10]","[5183, 5183, 1763, 573, 43, 0]","[0.0, 7.144990377128124e-06, 518.5237678049889, 703.6316411069856, 761.5827907809871, 779.0266187209927]","[0, 0, 112, 151, 165, 166]","[[], [], [], [], [], ['8083310', '27162821', '8925851', '22482024', '40913091', '45218443', '6315132', '18174210', '18344910', '6417632']]"
6,48,"['19661996', '13496853', '11349166', '18617259', '1583041', '27063470', '24863571', '35004872', '28069701', '7447120']",156,740.613870688001,"[0, 0, 0, 0, 10]","[5183, 5183, 1969, 44, 0]","[0.0, 7.275011739693582e-06, 518.7870236580056, 722.970600258006, 740.6138417360053]","[0, 0, 112, 155, 156]","[[], [], [], [], ['19661996', '13496853', '11349166', '18617259', '1583041', '27063470', '24863571', '35004872', '28069701', '7447120']]"
7,49,"['7029990', '1333643', '22362025', '18654430', '5702790', '23913146', '1006165', '5409325', '5953485', '8006440']",225,1042.2630810700066,"[0, 0, 6, 6, 10]","[5183, 5183, 5177, 18, 0]","[0.0, 1.0215997463092208e-05, 518.5344685239979, 1037.922013613992, 1042.2630522310064]","[0, 0, 112, 224, 225]","[[], [], ['7029990', '1333643', '22362025', '5702790', '5953485', '23913146'], ['7029990', '1333643', '22362025', '5702790', '5953485', '23913146'], ['7029990', '1333643', '22362025', '18654430', '5702790', '23913146', '1006165', '5409325', '5953485', '8006440']]"
8,50,"['13989491', '3952288', '15707049', '39559521', '25738896', '301838', '15405204', '10162553', '18488986', '12580014']",348,1631.48650429002,"[0, 0, 2, 4, 4, 4, 4, 4, 10]","[5183, 5183, 5181, 5179, 115, 97, 60, 43, 0]","[0.0, 1.255297684110701e-05, 518.9078918529849, 1037.7030370369903, 1556.5270054369757, 1575.224803464982, 1593.8926824909868, 1612.3902503489808, 1631.4864608479838]","[0, 0, 112, 224, 336, 340, 344, 347, 348]","[[], [], ['18488986', '12580014'], ['18488986', '39559521', '12580014', '25738896'], ['18488986', '39559521', '12580014', '25738896'], ['18488986', '39559521', '12580014', '25738896'], ['18488986', '39559521', '12580014', '25738896'], ['18488986', '39559521', '12580014', '25738896'], ['13989491', '3952288', '15707049', '39559521', '25738896', '301838', '15405204', '10162553', '18488986', '12580014']]"
9,51,"['45638119', '15721252', '8963413', '27240667', '4889228', '22482820', '19358586', '7821634', '24249915', '7583725']",112,518.6289847600274,"[0, 0, 10]","[5183, 5183, 0]","[0.0, 1.5175988664850593e-05, 518.6289503409935]","[0, 0, 112]","[[], [], ['45638119', '15721252', '8963413', '27240667', '4889228', '22482820', '19358586', '7821634', '24249915', '7583725']]"
