q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['31715818', '4346436', '19855358', '17388232', '3531388', '21456232', '13172737', '40212412', '6219790', '26104554']",478,584.7230848260224,"[0, 0, 0, 2, 2, 8, 10]","[5183, 2593, 1130, 51, 31, 7, 0]","[0.0, 309.4244935531169, 485.73082029097714, 566.0129721269477, 574.8326756521128, 583.0434463680722, 584.7211445560679]","[0, 260, 406, 470, 474, 477, 478]","[[], [], [], ['17388232', '21456232'], ['17388232', '21456232'], ['31715818', '4346436', '19855358', '17388232', '3531388', '21456232', '40212412', '6219790'], ['31715818', '4346436', '19855358', '17388232', '3531388', '21456232', '13172737', '40212412', '6219790', '26104554']]"
1,3,"['5448119', '2739854', '13914198', '667451', '23389795', '1388704', '4414547', '28712203', '1153655', '14717500']",423,506.62361406488344,"[0, 0, 0, 0, 10]","[5183, 2593, 261, 15, 0]","[0.0, 303.8021184350364, 479.5575663379859, 502.7432110889349, 506.62202348397113]","[0, 260, 406, 422, 423]","[[], [], [], [], ['5448119', '2739854', '13914198', '667451', '23389795', '1388704', '4414547', '28712203', '1153655', '14717500']]"
2,5,"['21550246', '13734012', '28617573', '11880289', '695938', '11349166', '18617259', '17333231', '1583041', '33339202']",551,651.6379282451235,"[0, 0, 2, 10]","[5183, 2593, 18, 0]","[0.0, 303.62166693084873, 647.2882545348257, 651.6371645918116]","[0, 260, 550, 551]","[[], [], ['21550246', '1583041'], ['21550246', '13734012', '28617573', '11880289', '695938', '11349166', '18617259', '17333231', '1583041', '33339202']]"
3,13,"['56893404', '6323196', '11748341', '23557241', '49429882', '17450673', '26611834', '8529693', '1263446', '7662395']",411,490.22375146788545,"[0, 0, 1, 8, 10]","[5183, 2593, 26, 4, 0]","[0.0, 303.61073963786475, 478.7216837038286, 489.03445193497464, 490.22189523885027]","[0, 260, 406, 410, 411]","[[], [], ['26611834'], ['56893404', '6323196', '11748341', '23557241', '49429882', '17450673', '26611834', '8529693'], ['56893404', '6323196', '11748341', '23557241', '49429882', '17450673', '26611834', '8529693', '1263446', '7662395']]"
4,36,"['22995164', '21636085', '12130200', '38811597', '16252863', '5152028', '3215494', '42441846', '37424881', '11705328']",406,478.88482210203074,"[0, 0, 10]","[5183, 2593, 0]","[0.0, 303.40714603615925, 478.88413940696046]","[0, 260, 406]","[[], [], ['22995164', '21636085', '12130200', '38811597', '16252863', '5152028', '3215494', '42441846', '37424881', '11705328']]"
5,42,"['45218443', '39851630', '40913091', '5782614', '6415816', '4449524', '10326242', '24144677', '18174210', '42373943']",410,487.23482743487693,"[0, 0, 0, 10]","[5183, 2593, 35, 0]","[0.0, 303.26418939908035, 478.42583204992115, 487.23347708093934]","[0, 260, 406, 410]","[[], [], [], ['45218443', '39851630', '40913091', '5782614', '6415816', '4449524', '10326242', '24144677', '18174210', '42373943']]"
6,48,"['29125354', '27063470', '13734012', '23203102', '45276789', '30919024', '18617259', '3078080', '11349166', '22815457']",626,750.4847659200896,"[0, 0, 6, 6, 6, 6, 6, 10]","[5183, 2593, 713, 333, 158, 51, 8, 0]","[0.0, 303.3454222229775, 646.0599961041007, 697.6142373639159, 725.415547688026, 739.0183273279108, 747.9036855320446, 750.4827983099967]","[0, 260, 550, 591, 611, 621, 625, 626]","[[], [], ['18617259', '27063470', '3078080', '11349166', '13734012', '23203102'], ['18617259', '27063470', '3078080', '11349166', '13734012', '23203102'], ['18617259', '27063470', '3078080', '11349166', '13734012', '23203102'], ['18617259', '27063470', '3078080', '11349166', '13734012', '23203102'], ['18617259', '27063470', '3078080', '11349166', '13734012', '23203102'], ['29125354', '27063470', '13734012', '23203102', '45276789', '30919024', '18617259', '3078080', '11349166', '22815457']]"
7,49,"['2613813', '5702790', '1354567', '23913146', '7029990', '5409325', '1333643', '18654430', '22362025', '5953485']",407,479.93484174786136,"[0, 0, 5, 10]","[5183, 2593, 7, 0]","[0.0, 303.18630379787646, 478.1405651890673, 479.9341199300252]","[0, 260, 406, 407]","[[], [], ['5953485', '1333643', '7029990', '22362025', '5702790'], ['2613813', '5702790', '1354567', '23913146', '7029990', '5409325', '1333643', '18654430', '22362025', '5953485']]"
8,50,"['15405204', '13989491', '39559521', '8354687', '25738896', '3952288', '4561402', '301838', '18488986', '12580014']",415,496.31349689513445,"[0, 0, 3, 8, 10]","[5183, 2593, 121, 18, 0]","[0.0, 303.2182942640502, 478.35435281088576, 491.9496689939406, 496.31168338889256]","[0, 260, 406, 414, 415]","[[], [], ['25738896', '18488986', '12580014'], ['15405204', '13989491', '39559521', '8354687', '25738896', '3952288', '18488986', '12580014'], ['15405204', '13989491', '39559521', '8354687', '25738896', '3952288', '4561402', '301838', '18488986', '12580014']]"
9,51,"['22482820', '7821634', '24834968', '34066665', '7583725', '19358586', '24249915', '16691520', '45638119', '8963413']",407,482.49726864905097,"[0, 0, 0, 10]","[5183, 2593, 18, 0]","[0.0, 303.31769832316786, 478.16591229802, 482.4964547350537]","[0, 260, 406, 407]","[[], [], [], ['22482820', '7821634', '24834968', '34066665', '7583725', '19358586', '24249915', '16691520', '45638119', '8963413']]"
