q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['17695748', '14550841', '8185080', '19855358', '21456232', '121581019', '19651306', '17338543', '3874000', '51952430']",301,366.46159268400515,"[0, 0, 1, 1, 1, 10]","[5183, 520, 93, 21, 10, 0]","[0.0, 311.4361618080002, 349.41010554401146, 359.9055857100029, 366.4017507670069, 366.4610715970048]","[0, 260, 290, 297, 300, 301]","[[], [], ['21456232'], ['21456232'], ['21456232'], ['17695748', '14550841', '8185080', '19855358', '21456232', '121581019', '19651306', '17338543', '3874000', '51952430']]"
1,3,"['4414547', '15153602', '23389795', '11532028', '4378885', '2739854', '13914198', '14717500', '4632921', '19058822']",293,348.64389239299635,"[0, 0, 0, 10]","[5183, 520, 25, 0]","[0.0, 304.0561859940062, 341.78246798300825, 348.6433847560111]","[0, 260, 290, 293]","[[], [], [], ['4414547', '15153602', '23389795', '11532028', '4378885', '2739854', '13914198', '14717500', '4632921', '19058822']]"
2,5,"['1583041', '28149602', '9272598', '86326468', '24521894', '25738896', '17333231', '18617259', '19854744', '3883485']",291,345.16827767700306,"[0, 0, 0, 10]","[5183, 520, 12, 0]","[0.0, 304.00756729999557, 341.37532885900873, 345.1679235729971]","[0, 260, 290, 291]","[[], [], [], ['1583041', '28149602', '9272598', '86326468', '24521894', '25738896', '17333231', '18617259', '19854744', '3883485']]"
3,13,"['8529693', '32776084', '23557241', '11748341', '7662395', '6323196', '24594624', '26611834', '17450673', '33257464']",291,345.2278145199962,"[0, 0, 4, 10]","[5183, 520, 15, 0]","[0.0, 304.1275374190009, 341.48683584600803, 345.2274216670048]","[0, 260, 290, 291]","[[], [], ['8529693', '7662395', '26611834', '33257464'], ['8529693', '32776084', '23557241', '11748341', '7662395', '6323196', '24594624', '26611834', '17450673', '33257464']]"
4,36,"['12130200', '37424881', '16252863', '21636085', '42441846', '18557974', '5152028', '18256197', '3215494', '11705328']",290,341.46613810700364,"[0, 0, 10]","[5183, 520, 0]","[0.0, 304.05984977199114, 341.4657864309993]","[0, 260, 290]","[[], [], ['12130200', '37424881', '16252863', '21636085', '42441846', '18557974', '5152028', '18256197', '3215494', '11705328']]"
5,42,"['40913091', '45218443', '32170702', '27889071', '5107861', '14407673', '6315132', '39506601', '18174210', '27162821']",291,344.4821018020011,"[0, 0, 0, 10]","[5183, 520, 12, 0]","[0.0, 303.8970476520044, 341.2665454560047, 344.4816569579998]","[0, 260, 290, 291]","[[], [], [], ['40913091', '45218443', '32170702', '27889071', '5107861', '14407673', '6315132', '39506601', '18174210', '27162821']]"
6,48,"['1583041', '11349166', '15879544', '3078080', '27063470', '23531592', '18617259', '24512064', '13734012', '23203102']",301,362.4327212779899,"[0, 0, 0, 5, 9, 10]","[5183, 520, 104, 26, 3, 0]","[0.0, 303.87493173200346, 341.2817135439982, 354.3966219809954, 361.57243353700323, 362.43216591799865]","[0, 260, 290, 297, 300, 301]","[[], [], [], ['23203102', '11349166', '18617259', '13734012', '27063470'], ['1583041', '11349166', '15879544', '27063470', '23531592', '18617259', '24512064', '13734012', '23203102'], ['1583041', '11349166', '15879544', '3078080', '27063470', '23531592', '18617259', '24512064', '13734012', '23203102']]"
7,49,"['7029990', '18654430', '23913146', '22871664', '5702790', '22362025', '5953485', '1333643', '5409325', '236204']",290,341.15550437400816,"[0, 0, 10]","[5183, 520, 0]","[0.0, 303.7918709719961, 341.1551317489939]","[0, 260, 290]","[[], [], ['7029990', '18654430', '23913146', '22871664', '5702790', '22362025', '5953485', '1333643', '5409325', '236204']]"
8,50,"['3952288', '13989491', '25738896', '301838', '18488986', '8354687', '2734421', '15405204', '39559521', '12580014']",299,356.10108284100716,"[0, 0, 3, 6, 10]","[5183, 520, 123, 6, 0]","[0.0, 303.76425520601333, 341.21890455600806, 354.8354194320127, 356.100454230007]","[0, 260, 290, 298, 299]","[[], [], ['25738896', '18488986', '12580014'], ['3952288', '13989491', '25738896', '12580014', '39559521', '18488986'], ['3952288', '13989491', '25738896', '301838', '18488986', '8354687', '2734421', '15405204', '39559521', '12580014']]"
9,51,"['7583725', '8963413', '7821634', '24249915', '16734530', '38485364', '19358586', '9600826', '1379127', '45638119']",308,364.0733967059932,"[0, 0, 0, 10]","[5183, 520, 143, 0]","[0.0, 303.7719831840077, 341.10383732301125, 364.07281347800745]","[0, 260, 290, 308]","[[], [], [], ['7583725', '8963413', '7821634', '24249915', '16734530', '38485364', '19358586', '9600826', '1379127', '45638119']]"
