q,qid,time,did
0,1,507.9039910188876,"['13621186', '4857085', '21479231', '21550246', '21547032', '21535641', '21395936', '21498497', '21495419', '21487212']"
1,3,715.7971351400483,"['22705234', '45770026', '37677954', '36464673', '8665891', '8748720', '2211868', '23331269', '23513818', '23513718']"
2,5,639.1234111271333,"['44947611', '27373088', '94109411', '86217760', '23262027', '23420615', '23418635', '23305547', '23400191', '23397658']"
3,13,681.7290747240186,"['118215171', '120385993', '121001457', '121581019', '126549848', '129199129', '140098548', '140907540', '99829811', '104143831']"
4,36,646.986237892881,"['84784389', '42484543', '40760684', '36450001', '35660758', '32556431', '20375264', '18236313', '16712164', '15478227']"
5,42,652.5991601939313,"['15617300', '23369842', '23420807', '23420615', '23418635', '23305547', '23400191', '23397658', '23393712', '23389795']"
6,48,565.6185103410389,"['40760684', '14376683', '18695970', '17055665', '24863571', '25488034', '32556431', '31851367', '4828984', '86217760']"
7,49,602.3709510709159,"['40760684', '40900242', '39304380', '32720933', '31304956', '30101891', '28338268', '21602220', '21692235', '8989616']"
8,50,611.0310320979916,"['23203102', '23267371', '23262027', '23260700', '23253955', '23245050', '23244529', '23237995', '23208167', '23206239']"
9,51,624.8568957960233,"['118215171', '120385993', '121001457', '121581019', '126549848', '129199129', '140098548', '140907540', '99829811', '104143831']"
10,53,643.4567298549227,"['118215171', '120385993', '121001457', '121581019', '126549848', '129199129', '140098548', '140907540', '99829811', '104143831']"
11,54,617.9744002379011,"['21602220', '86217760', '73136607', '22800314', '22889972', '22874817', '22871664', '23203102', '22852120', '22843838']"
12,56,742.5215446839575,"['23389795', '23440856', '23439808', '23423230', '23420807', '23420615', '23418635', '23403754', '23400191', '23397658']"
13,57,730.5582559560426,"['23420807', '23513818', '23513718', '23509593', '23509113', '23495058', '23471400', '23460562', '23440856', '23439808']"
14,70,611.1637962921523,"['40447899', '40900242', '21602220', '22820637', '22896384', '22890091', '22889972', '22874817', '22871664', '23203102']"
15,72,769.0430573499762,"['55040297', '46193478', '42240424', '38300781', '32181055', '31543713', '28928964', '28193026', '24721347', '26117607']"
16,75,692.455351427896,"['52176296', '43752562', '42484543', '38794814', '38037690', '38076716', '38143689', '36450001', '34846352', '35321950']"
17,94,587.8536402890459,"['8858602', '11336632', '11411060', '10326242', '9993008', '10086360', '9650982', '9737083', '9505402', '9304312']"
18,99,615.946858284995,"['44947611', '43752562', '40987633', '40900242', '35660758', '31107919', '29107180', '27647593', '25742205', '23148978']"
19,100,659.933962879004,"['86217760', '23304931', '23369842', '23356816', '23351136', '23349986', '23342845', '23342686', '23331269', '23326722']"
20,113,574.9373919370119,"['18236313', '17587795', '13702924', '6820680', '1641873', '2056197', '86217760', '95764370', '92499', '97884']"
21,115,548.143296534894,"['11774598', '11475379', '11484808', '11498670', '11565780', '12324049', '12428814', '11983390', '12014458', '12030680']"
22,118,680.2582386138383,"['29107180', '12691537', '11498670', '23013317', '23208167', '23100220', '23078022', '23195674', '23195302', '23190392']"
23,124,724.2083039770368,"['20375264', '2056197', '86217760', '23267371', '23420807', '23420615', '23305884', '23305547', '23400191', '23397658']"
24,127,620.4391117519699,"['43752562', '40900242', '37677954', '28928964', '25062868', '25488034', '23716150', '21626639', '14923462', '18361917']"
