q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['43990286', '21456232', '4346436', '10991183', '94109411', '19855358', '4928057', '24881307', '4303075', '17388232']",456,548.4083058360266,"[0, 0, 0, 0, 2, 2, 6, 10]","[5183, 5183, 1967, 770, 34, 26, 20, 0]","[0.0, 5.1062030252069235e-05, 346.67715808301, 480.21663810202153, 533.0471271999995, 538.3906490450026, 543.6852337060263, 548.4082665960304]","[0, 0, 290, 402, 447, 451, 455, 456]","[[], [], [], [], ['94109411', '21456232'], ['94109411', '21456232'], ['94109411', '21456232', '4346436', '4928057', '24881307', '10991183'], ['43990286', '21456232', '4346436', '10991183', '94109411', '19855358', '4928057', '24881307', '4303075', '17388232']]"
1,3,"['32181055', '41782935', '9650982', '11532028', '4414547', '14717500', '1388704', '23389795', '2739854', '4632921']",308,368.6162217470119,"[0, 0, 0, 0, 10]","[5183, 5183, 270, 20, 0]","[0.0, 1.1403986718505621e-05, 344.2237085609813, 363.8487491349806, 368.6161923800246]","[0, 0, 290, 307, 308]","[[], [], [], [], ['32181055', '41782935', '9650982', '11532028', '4414547', '14717500', '1388704', '23389795', '2739854', '4632921']]"
2,5,"['21550246', '1583041', '21216726', '15879544', '17333231', '18617259', '695938', '11349166', '27063470', '42240424']",615,727.8515706480248,"[0, 0, 0, 8, 8, 8, 8, 10]","[5183, 5183, 2945, 1781, 702, 180, 56, 0]","[0.0, 8.360017091035843e-06, 343.2117626229883, 539.3456729809986, 658.9239595260005, 707.2292954599834, 722.4657945330255, 727.8515323150204]","[0, 0, 290, 456, 557, 598, 610, 615]","[[], [], [], ['21550246', '1583041', '21216726', '17333231', '18617259', '11349166', '27063470', '42240424'], ['21550246', '1583041', '21216726', '17333231', '18617259', '11349166', '27063470', '42240424'], ['21550246', '1583041', '21216726', '17333231', '18617259', '11349166', '27063470', '42240424'], ['21550246', '1583041', '21216726', '17333231', '18617259', '11349166', '27063470', '42240424'], ['21550246', '1583041', '21216726', '15879544', '17333231', '18617259', '695938', '11349166', '27063470', '42240424']]"
3,13,"['11748341', '2958458', '4791384', '6323196', '33257464', '23557241', '26611834', '24594624', '1263446', '8529693']",290,343.28444137005135,"[0, 0, 10]","[5183, 5183, 0]","[0.0, 1.2489035725593567e-05, 343.2844107520068]","[0, 0, 290]","[[], [], ['11748341', '2958458', '4791384', '6323196', '33257464', '23557241', '26611834', '24594624', '1263446', '8529693']]"
4,36,"['5152028', '16252863', '12130200', '42441846', '12810152', '21636085', '18557974', '3215494', '11705328', '37424881']",291,347.6651931560482,"[0, 0, 0, 10]","[5183, 5183, 16, 0]","[0.0, 5.431997124105692e-06, 343.7250159709947, 347.66516698600026]","[0, 0, 290, 291]","[[], [], [], ['5152028', '16252863', '12130200', '42441846', '12810152', '21636085', '18557974', '3215494', '11705328', '37424881']]"
5,42,"['6315132', '27889071', '8083310', '20280410', '18174210', '8385277', '18676539', '41650417', '40913091', '45218443']",349,415.71464674099116,"[0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 828, 68, 24, 18, 0]","[0.0, 6.221001967787743e-06, 342.91396807297133, 400.55481660400983, 406.00253671896644, 411.3716979990131, 415.714610460971]","[0, 0, 290, 338, 344, 348, 349]","[[], [], [], [], [], [], ['6315132', '27889071', '8083310', '20280410', '18174210', '8385277', '18676539', '41650417', '40913091', '45218443']]"
6,48,"['3078080', '1292369', '18617259', '23124332', '11349166', '3672261', '13734012', '28738741', '23203102', '27063470']",525,618.8187590430025,"[0, 0, 0, 9, 9, 9, 9, 10]","[5183, 5183, 1732, 1723, 404, 111, 32, 0]","[0.0, 6.187008693814278e-06, 342.8806258069817, 458.8981352620176, 573.7727819610154, 603.0483658799785, 613.4277838090202, 618.818723984994]","[0, 0, 290, 389, 487, 512, 521, 525]","[[], [], [], ['3078080', '1292369', '18617259', '23124332', '11349166', '13734012', '28738741', '23203102', '27063470'], ['3078080', '1292369', '18617259', '23124332', '11349166', '13734012', '28738741', '23203102', '27063470'], ['3078080', '1292369', '18617259', '23124332', '11349166', '13734012', '28738741', '23203102', '27063470'], ['3078080', '1292369', '18617259', '23124332', '11349166', '13734012', '28738741', '23203102', '27063470'], ['3078080', '1292369', '18617259', '23124332', '11349166', '3672261', '13734012', '28738741', '23203102', '27063470']]"
7,49,"['1333643', '22623275', '22362025', '15590539', '5702790', '5953485', '12871002', '14797520', '23913146', '7029990']",291,344.6563824269688,"[0, 0, 4, 10]","[5183, 5183, 8, 0]","[0.0, 1.598900416865945e-05, 342.54815484397113, 344.65634293697076]","[0, 0, 290, 291]","[[], [], ['5702790', '5953485', '7029990', '22362025'], ['1333643', '22623275', '22362025', '15590539', '5702790', '5953485', '12871002', '14797520', '23913146', '7029990']]"
8,50,"['3952288', '2734421', '301838', '4561402', '10162553', '13989491', '25738896', '18488986', '12580014', '39559521']",306,360.0335689379717,"[0, 0, 4, 4, 4, 10]","[5183, 5183, 137, 47, 8, 0]","[0.0, 8.655013516545296e-06, 342.77283635601634, 352.8801555180107, 358.2223881179816, 360.0335315070115]","[0, 0, 290, 300, 305, 306]","[[], [], ['18488986', '12580014', '39559521', '25738896'], ['18488986', '12580014', '39559521', '25738896'], ['18488986', '12580014', '39559521', '25738896'], ['3952288', '2734421', '301838', '4561402', '10162553', '13989491', '25738896', '18488986', '12580014', '39559521']]"
9,51,"['24349992', '24249915', '7583725', '7821634', '45638119', '22482820', '19358586', '12762485', '8963413', '4889228']",291,346.01080252905376,"[0, 0, 0, 10]","[5183, 5183, 14, 0]","[0.0, 6.762042175978422e-06, 342.4916166700423, 346.0107693360187]","[0, 0, 290, 291]","[[], [], [], ['24349992', '24249915', '7583725', '7821634', '45638119', '22482820', '19358586', '12762485', '8963413', '4889228']]"
