q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['38830961', '29851836', '46602807', '13108582', '4423220', '3056682', '13768432', '14848619', '11718220', '10555591']",602,838.1128587670391,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2773, 1358, 682, 388, 169, 60, 12, 0]","[0.0, 4.0571088902652264e-05, 392.9961461360799, 606.1573409290286, 712.5200806460343, 770.7304635420442, 806.1363027360057, 824.4816533300327, 834.4175758580677, 838.1128028610256]","[0, 0, 290, 446, 523, 562, 585, 596, 601, 602]","[[], [], [], [], [], [], [], [], [], ['38830961', '29851836', '46602807', '13108582', '4423220', '3056682', '13768432', '14848619', '11718220', '10555591']]"
1,3,"['29845974', '9110810', '12489688', '13072112', '12871002', '7734150', '4547102', '23704559', '169264', '94365950']",557,770.8485758370953,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2470, 1213, 544, 232, 109, 49, 18, 0]","[0.0, 1.0808929800987244e-05, 389.57801433990244, 577.4722198639065, 672.9318078180077, 720.1952771919314, 740.8106806429569, 755.9923300009686, 766.006571420934, 770.8485393419396]","[0, 0, 290, 429, 498, 530, 544, 552, 556, 557]","[[], [], [], [], [], [], [], [], [], ['29845974', '9110810', '12489688', '13072112', '12871002', '7734150', '4547102', '23704559', '169264', '94365950']]"
2,5,"['22674621', '20148808', '680949', '2272614', '24512064', '10984005', '33733520', '10854174', '7986878', '30675656']",580,800.6394070509123,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10]","[5183, 5183, 2518, 1333, 598, 301, 171, 54, 26, 6, 0]","[0.0, 1.1355034075677395e-05, 388.9306305020582, 580.88532953104, 686.6360766050639, 735.8952865410829, 761.9330923320958, 781.3176741930656, 791.2729754720349, 799.1520118790213, 800.6393754580058]","[0, 0, 290, 431, 507, 542, 560, 571, 576, 579, 580]","[[], [], [], [], [], [], [], [], [], ['10854174', '10984005', '20148808', '33733520', '2272614', '30675656'], ['22674621', '20148808', '680949', '2272614', '24512064', '10984005', '33733520', '10854174', '7986878', '30675656']]"
3,13,"['13036442', '4037034', '6784372', '46248894', '33554389', '3099497', '41811327', '46353045', '12691537', '33397197']",580,798.4782220360357,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2691, 1236, 585, 309, 124, 67, 32, 0]","[0.0, 1.0685995221138e-05, 388.10017627000343, 594.0008345799288, 689.1631910939468, 736.228599631926, 763.7224946949864, 778.9238335569389, 789.0213399860077, 798.4781854050234]","[0, 0, 290, 441, 511, 545, 564, 572, 577, 580]","[[], [], [], [], [], [], [], [], [], ['13036442', '4037034', '6784372', '46248894', '33554389', '3099497', '41811327', '46353045', '12691537', '33397197']]"
4,36,"['26016929', '40584205', '30500829', '25052749', '10279084', '4740447', '3441524', '40769868', '95102458', '1127562']",565,781.0053028949769,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2493, 1288, 539, 291, 105, 48, 12, 0]","[0.0, 1.0984949767589569e-05, 387.72573162498884, 578.4956790560391, 678.8409581630258, 726.0898821250303, 752.0226542080054, 766.9589163929923, 776.8883133319905, 781.0052707530558]","[0, 0, 290, 430, 503, 535, 553, 560, 564, 565]","[[], [], [], [], [], [], [], [], [], ['26016929', '40584205', '30500829', '25052749', '10279084', '4740447', '3441524', '40769868', '95102458', '1127562']]"
5,42,"['17327939', '34582256', '70633421', '6123924', '2130391', '20554003', '17967608', '23420807', '41329906', '15335331']",588,810.7444191459799,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10]","[5183, 5183, 2640, 1298, 632, 317, 140, 75, 25, 4, 0]","[0.0, 1.1241994798183441e-05, 388.2120144159999, 589.516794272, 689.9936788909836, 742.4579353589797, 772.5674112010747, 787.8351330730366, 797.7507776269922, 809.6821494139731, 810.7443750309758]","[0, 0, 290, 438, 512, 549, 568, 577, 583, 587, 588]","[[], [], [], [], [], [], [], [], [], ['17327939', '70633421', '6123924', '2130391', '20554003', '17967608', '23420807', '41329906', '15335331'], ['17327939', '34582256', '70633421', '6123924', '2130391', '20554003', '17967608', '23420807', '41329906', '15335331']]"
6,48,"['11109043', '29015485', '31514338', '8122346', '6455142', '39545358', '21931005', '14311986', '34369306', '5107861']",590,810.7225619530072,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2579, 1279, 635, 370, 201, 103, 23, 0]","[0.0, 1.3420009054243565e-05, 388.58390233898535, 584.2324563410366, 684.4869734990643, 736.87347270397, 768.0699965530075, 788.6993835100438, 803.2483442469966, 810.7225214639911]","[0, 0, 290, 435, 508, 545, 567, 580, 587, 590]","[[], [], [], [], [], [], [], [], [], ['11109043', '29015485', '31514338', '8122346', '6455142', '39545358', '21931005', '14311986', '34369306', '5107861']]"
7,49,"['45244537', '154050141', '32170702', '1203035', '42520882', '11738716', '5508750', '32985041', '79336156', '12892137']",576,799.901057281997,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2609, 1270, 544, 263, 125, 76, 32, 15, 0]","[0.0, 9.840005077421665e-06, 388.6945790119935, 586.1545138360234, 687.0120843620971, 734.5965457240818, 760.5139374700375, 775.7784133930691, 785.7257378610084, 795.1999549140455, 799.901026488049]","[0, 0, 290, 437, 509, 541, 557, 566, 572, 575, 576]","[[], [], [], [], [], [], [], [], [], [], ['45244537', '154050141', '32170702', '1203035', '42520882', '11738716', '5508750', '32985041', '79336156', '12892137']]"
8,50,"['19419439', '26199970', '13771184', '1070920', '750781', '5123516', '4373445', '1127562']",580,800.4957594049629,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8]","[5183, 5183, 2592, 1227, 598, 300, 153, 80, 33, 15, 0]","[0.0, 1.0090996511280537e-05, 388.8906769929454, 585.9265676230425, 681.2052283650264, 730.4080865189899, 756.3450048950035, 771.5571517989738, 781.5154401799664, 796.3173319339985, 800.4957223440288]","[0, 0, 290, 436, 506, 541, 559, 569, 575, 579, 580]","[[], [], [], [], [], [], [], [], [], ['19419439', '26199970', '13771184', '1070920', '750781', '5123516', '4373445', '1127562'], ['19419439', '26199970', '13771184', '1070920', '750781', '5123516', '4373445', '1127562']]"
9,51,"['15946643', '20672596', '104130', '20372201', '26068103', '19571273', '20602517', '19052713', '9973014', '22159299']",589,812.7175332409097,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2646, 1339, 666, 263, 121, 74, 40, 13, 0]","[0.0, 1.1199037544429302e-05, 387.4608086840017, 588.9625220149755, 694.7546101619955, 748.1847815889632, 773.996476334054, 789.167513470049, 799.0975155619672, 808.9532288940391, 812.7175007469486]","[0, 0, 290, 439, 515, 554, 570, 578, 584, 588, 589]","[[], [], [], [], [], [], [], [], [], [], ['15946643', '20672596', '104130', '20372201', '26068103', '19571273', '20602517', '19052713', '9973014', '22159299']]"
10,53,"['22134353', '20931483', '13936152', '5548081', '6061927', '42373943', '32777637', '13953762', '41620295', '12440953']",585,808.6418302130187,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2551, 1315, 645, 347, 156, 66, 32, 13, 0]","[0.0, 1.449498813599348e-05, 388.1488933459623, 583.5304033990251, 685.2209557179594, 738.0674785509473, 769.4132000609534, 784.7305876630126, 794.6026520340238, 804.1335063569713, 808.6417809829582]","[0, 0, 290, 433, 508, 545, 566, 576, 581, 584, 585]","[[], [], [], [], [], [], [], [], [], [], ['22134353', '20931483', '13936152', '5548081', '6061927', '42373943', '32777637', '13953762', '41620295', '12440953']]"
11,54,"['32263707', '2659805', '5406411', '18042803', '4468861', '8856690', '18678095', '21719289', '34760396', '32611468']",590,807.9717796389014,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10]","[5183, 5183, 2740, 1315, 572, 288, 155, 68, 26, 3, 0]","[0.0, 1.316494308412075e-05, 387.92036059801467, 595.0357213269453, 696.9546513180248, 744.1024229769828, 770.242365791928, 785.5123401120072, 795.453150872956, 807.2005298669683, 807.9717471309705]","[0, 0, 290, 444, 519, 552, 570, 580, 585, 589, 590]","[[], [], [], [], [], [], [], [], [], ['32263707', '5406411', '18042803', '4468861', '8856690', '18678095', '21719289', '34760396', '32611468'], ['32263707', '2659805', '5406411', '18042803', '4468861', '8856690', '18678095', '21719289', '34760396', '32611468']]"
12,56,"['30101891', '17945638', '13135544', '25985964', '10697096', '3285322', '7852582', '9822397', '17591478', '24557631']",578,795.767260594992,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2537, 1256, 696, 294, 132, 73, 16, 0]","[0.0, 1.5581026673316956e-05, 389.1458457780536, 581.9154708030401, 682.1094734140206, 739.975993392989, 766.097896812018, 781.3898843310308, 791.3550656789448, 795.7672209750162]","[0, 0, 290, 433, 504, 544, 562, 571, 577, 578]","[[], [], [], [], [], [], [], [], [], ['30101891', '17945638', '13135544', '25985964', '10697096', '3285322', '7852582', '9822397', '17591478', '24557631']]"
13,57,"['24346598', '9875570', '44030361', '4500832', '29634262', '27260630', '7560876', '23777820', '6766459', '24721347']",568,788.1140135379974,"[0, 0, 0, 0, 0, 0, 0, 0, 8, 10]","[5183, 5183, 2559, 1257, 586, 267, 102, 54, 15, 0]","[0.0, 7.63696152716875e-06, 389.72449181601405, 586.0597558680456, 686.36987851304, 733.6297484850511, 759.7387382519664, 774.0599821689539, 783.9207608399447, 788.11398147]","[0, 0, 290, 434, 505, 539, 555, 562, 567, 568]","[[], [], [], [], [], [], [], [], ['24346598', '9875570', '4500832', '29634262', '27260630', '7560876', '23777820', '6766459'], ['24346598', '9875570', '44030361', '4500832', '29634262', '27260630', '7560876', '23777820', '6766459', '24721347']]"
14,70,"['11862753', '23389795', '10450300', '29504413', '21914176', '36642096', '33934971', '8551160', '3419802', '13031967']",583,801.996676266077,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10]","[5183, 5183, 2481, 1240, 665, 352, 208, 95, 32, 6, 0]","[0.0, 8.971081115305424e-06, 387.8815212950576, 578.4752483480843, 673.5932868960081, 726.799551966018, 758.1099724080414, 778.757592962007, 791.1528342430247, 800.6181741260225, 801.9966442090226]","[0, 0, 290, 429, 499, 538, 559, 572, 579, 582, 583]","[[], [], [], [], [], [], [], [], [], ['33934971', '8551160', '21914176', '10450300', '29504413', '36642096'], ['11862753', '23389795', '10450300', '29504413', '21914176', '36642096', '33934971', '8551160', '3419802', '13031967']]"
15,72,"['27150276', '28264919', '22467585', '4515975', '8122346', '13445579', '26124606', '38844612', '24552097', '4678846']",580,808.7226878480287,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2713, 1338, 547, 229, 112, 48, 24, 0]","[0.0, 1.0263989679515362e-05, 389.952301114914, 597.7039632119704, 703.718607163988, 751.1544121179031, 771.9309179499978, 787.1925458359765, 797.174878430902, 808.7226405129768]","[0, 0, 290, 442, 518, 550, 564, 572, 576, 580]","[[], [], [], [], [], [], [], [], [], ['27150276', '28264919', '22467585', '4515975', '8122346', '13445579', '26124606', '38844612', '24552097', '4678846']]"
16,75,"['30580263', '17416520', '30101891', '2474731', '6993046', '2547636', '8509018', '52176296', '11868606']",590,819.6036738089751,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9]","[5183, 5183, 2608, 1326, 617, 317, 151, 75, 39, 21, 0]","[0.0, 9.240000508725643e-06, 388.6620152189862, 585.611169874901, 690.4694344699383, 742.9562382259173, 772.9979628199944, 788.3658259209478, 798.4379180809483, 808.3603377239779, 819.6036298159743]","[0, 0, 290, 436, 511, 547, 566, 576, 582, 586, 590]","[[], [], [], [], [], [], [], [], [], [], ['30580263', '17416520', '30101891', '2474731', '6993046', '2547636', '8509018', '52176296', '11868606']]"
17,94,"['10576136', '42373087', '71625969', '29518440', '24872571', '22522432', '22980205', '26104554', '29557235', '31363207']",591,821.8249672970269,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2591, 1329, 680, 357, 181, 59, 28, 0]","[0.0, 4.191696643829346e-05, 390.6360661869403, 587.1262848149054, 693.081130963983, 750.6085592239397, 782.2872367328964, 802.9235444669612, 812.8383669389877, 821.8249113019556]","[0, 0, 290, 436, 511, 550, 571, 583, 588, 591]","[[], [], [], [], [], [], [], [], [], ['10576136', '42373087', '71625969', '29518440', '24872571', '22522432', '22980205', '26104554', '29557235', '31363207']]"
18,99,"['82971616', '32324430', '24163770', '15795880', '32533299', '24249915', '7915836', '31107919', '19205437', '997143']",609,844.7205484820297,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10]","[5183, 5183, 2698, 1334, 798, 380, 193, 100, 25, 6, 0]","[0.0, 9.533017873764038e-06, 389.0492985469755, 596.8633623810019, 703.4659843610134, 767.3352430619998, 800.0367108799983, 820.7241420999635, 834.7210212170612, 843.398146577063, 844.7205121499719]","[0, 0, 290, 441, 517, 563, 586, 598, 605, 608, 609]","[[], [], [], [], [], [], [], [], [], ['24163770', '32533299', '997143', '7915836', '31107919', '19205437'], ['82971616', '32324430', '24163770', '15795880', '32533299', '24249915', '7915836', '31107919', '19205437', '997143']]"
19,100,"['14405193', '34436231', '5094468', '21323587', '3835423', '15968271', '21884059', '4465735', '40666943', '28707489']",602,834.0635531289736,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2625, 1303, 647, 402, 224, 130, 58, 17, 0]","[0.0, 2.5721034035086632e-05, 388.9914195809979, 591.3165681170067, 693.0270860990277, 746.7370997170219, 783.378413506085, 804.1839839700842, 819.4977530620527, 829.4157768500736, 834.0635193570051]","[0, 0, 290, 437, 511, 549, 573, 587, 596, 601, 602]","[[], [], [], [], [], [], [], [], [], [], ['14405193', '34436231', '5094468', '21323587', '3835423', '15968271', '21884059', '4465735', '40666943', '28707489']]"
20,113,"['21003930', '29495185', '30353437', '21746539', '8502193', '41182002', '15830352', '45408403', '14337960', '8548635']",565,781.0294085579226,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2505, 1179, 648, 247, 111, 56, 19, 0]","[0.0, 1.0700896382331848e-05, 388.0703278039582, 579.7611101529328, 672.9561509889318, 725.3726139719365, 750.6724605229683, 765.9222200989025, 775.8735314148944, 781.0293632779503]","[0, 0, 290, 431, 498, 536, 551, 559, 564, 565]","[[], [], [], [], [], [], [], [], [], ['21003930', '29495185', '30353437', '21746539', '8502193', '41182002', '15830352', '45408403', '14337960', '8548635']]"
21,115,"['6386930', '20459964', '23783727', '10029891', '4423559', '36310858', '71628189', '86211914', '36003142', '7735859']",572,790.0276924099308,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2497, 1263, 669, 283, 131, 42, 20, 0]","[0.0, 1.3297074474394321e-05, 388.1736854170449, 579.0933400969952, 679.6488138730638, 733.922167829005, 759.731544455979, 774.8494155440712, 784.7184757790528, 790.027647444047]","[0, 0, 290, 430, 502, 541, 558, 567, 571, 572]","[[], [], [], [], [], [], [], [], [], ['6386930', '20459964', '23783727', '10029891', '4423559', '36310858', '71628189', '86211914', '36003142', '7735859']]"
22,118,"['8038329', '19140422', '11117498', '8925851', '22442133', '23305547', '12411274', '11822354', '26688294', '46135768']",594,815.0346089199884,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2574, 1357, 714, 361, 161, 67, 30, 0]","[0.0, 1.2789969332516193e-05, 388.2092157480074, 585.3428151689004, 691.1851150029106, 748.9953630469972, 780.1684870219324, 796.1357802299317, 806.0142164169811, 815.0345652649412]","[0, 0, 290, 435, 512, 553, 575, 586, 591, 594]","[[], [], [], [], [], [], [], [], [], ['8038329', '19140422', '11117498', '8925851', '22442133', '23305547', '12411274', '11822354', '26688294', '46135768']]"
