q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['18041692', '12130690', '70633421', '11569583', '38747567', '33063763', '22871664', '37437064', '39571812', '21009874']",585,724.2327541341074,"[0, 0, 0, 0, 0, 0, 0, 0, 8, 10]","[5183, 5183, 2700, 1284, 650, 273, 116, 40, 7, 0]","[0.0, 4.304898902773857e-05, 350.2652079479303, 535.0783675030107, 625.041815057979, 672.0786964279832, 695.2306344870012, 708.8721494219499, 722.4094402289484, 724.2327120979317]","[0, 0, 290, 442, 515, 553, 570, 578, 584, 585]","[[], [], [], [], [], [], [], [], ['18041692', '12130690', '70633421', '38747567', '33063763', '22871664', '39571812', '21009874'], ['18041692', '12130690', '70633421', '11569583', '38747567', '33063763', '22871664', '37437064', '39571812', '21009874']]"
1,3,"['13312471', '25373397', '1781626', '12411274', '32012666', '15657779', '5415832', '21622715', '39970500', '30861948']",589,723.5882935799891,"[0, 0, 0, 0, 0, 0, 0, 0, 9, 10]","[5183, 5183, 2657, 1307, 689, 371, 132, 46, 13, 0]","[0.0, 6.823916919529438e-06, 347.8644776759902, 528.1908945979085, 618.2027706420049, 669.8053968369495, 697.7882747949334, 711.417825480923, 720.2182010589167, 723.588260483928]","[0, 0, 290, 439, 513, 553, 575, 584, 588, 589]","[[], [], [], [], [], [], [], [], ['25373397', '1781626', '12411274', '32012666', '15657779', '5415832', '21622715', '39970500', '30861948'], ['13312471', '25373397', '1781626', '12411274', '32012666', '15657779', '5415832', '21622715', '39970500', '30861948']]"
2,5,"['52824661', '24524403', '17021845', '4430962', '11884867', '19572798', '10846815', '15462523', '11921405', '410286']",556,679.1234439739492,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2394, 1169, 588, 241, 109, 71, 11, 0]","[0.0, 1.1580996215343475e-05, 347.9293238999089, 509.78126032999717, 590.4803180769086, 632.609467006987, 654.0352346909931, 667.6196031139698, 676.4426162709715, 679.1234049790073]","[0, 0, 290, 425, 492, 526, 541, 549, 555, 556]","[[], [], [], [], [], [], [], [], [], ['52824661', '24524403', '17021845', '4430962', '11884867', '19572798', '10846815', '15462523', '11921405', '410286']]"
3,13,"['26104554', '25747721', '39465575', '18691097', '38369817', '15928989', '14240343', '83308790', '17625068', '33458992']",588,722.0566672020359,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10]","[5183, 5183, 2504, 1346, 647, 306, 161, 75, 37, 9, 0]","[0.0, 1.1068070307374e-05, 346.4456445360556, 517.180634733988, 611.847001302056, 658.7141773160547, 682.7427143420791, 696.9390584970824, 705.8116994430311, 719.3537973540369, 722.0566333039897]","[0, 0, 290, 431, 507, 545, 564, 575, 581, 587, 588]","[[], [], [], [], [], [], [], [], [], ['26104554', '14240343', '83308790', '38369817', '15928989', '17625068', '33458992'], ['26104554', '25747721', '39465575', '18691097', '38369817', '15928989', '14240343', '83308790', '17625068', '33458992']]"
4,36,"['11026600', '12662435', '4381486', '7165938', '18734652', '30813140', '24721347', '22116439', '1917068', '27063470']",581,718.9190354130697,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2557, 1227, 612, 286, 150, 74, 43, 22, 0]","[0.0, 1.2413947843015194e-05, 347.2267078849254, 522.3057470719796, 607.3306299389806, 654.3475728689227, 677.5671164368978, 691.2987228468992, 700.153167841956, 709.012520381948, 718.9189945519902]","[0, 0, 290, 434, 504, 540, 557, 567, 573, 577, 581]","[[], [], [], [], [], [], [], [], [], [], ['11026600', '12662435', '4381486', '7165938', '18734652', '30813140', '24721347', '22116439', '1917068', '27063470']]"
5,42,"['10766688', '23403754', '4462419', '25124117', '23865182', '34103335', '11172205', '9831859', '22446093', '13814480']",568,699.0818019479048,"[0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2566, 1275, 570, 269, 113, 38, 0]","[0.0, 1.591397449374199e-05, 346.6819596289424, 521.84577485302, 611.402338830987, 653.6016280850163, 676.6904914699262, 690.2543437459972, 699.081753995968]","[0, 0, 290, 434, 506, 539, 556, 564, 568]","[[], [], [], [], [], [], [], [], ['10766688', '23403754', '4462419', '25124117', '23865182', '34103335', '11172205', '9831859', '22446093', '13814480']]"
6,48,"['14315749', '25062868', '27712433', '16745747', '25259746', '14376683', '44586415', '9056874', '17631671']",579,715.8042981050676,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9]","[5183, 5183, 2558, 1323, 612, 237, 133, 58, 28, 10, 0]","[0.0, 1.477799378335476e-05, 346.5100162359886, 522.2266364960233, 615.3030455859844, 662.0501305450452, 682.0269542200258, 695.6148152169771, 704.4338916710112, 715.7451207019622, 715.8042557620211]","[0, 0, 290, 434, 509, 545, 560, 569, 574, 578, 579]","[[], [], [], [], [], [], [], [], [], ['14315749', '27712433', '16745747', '25259746', '14376683', '44586415', '9056874', '17631671'], ['14315749', '25062868', '27712433', '16745747', '25259746', '14376683', '44586415', '9056874', '17631671']]"
7,49,"['18218379', '39668245', '24725136', '493346', '36708463', '14338915', '7211056', '2883827', '86694016', '4425507']",576,704.7769695000025,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10]","[5183, 5183, 2399, 1205, 637, 354, 199, 75, 21, 2, 0]","[0.0, 1.76579924300313e-05, 346.5459500399884, 509.7867321220692, 594.984186436981, 641.8779870020226, 669.9751002390403, 688.4350246320246, 697.3928681480465, 704.2929693340557, 704.7769328700379]","[0, 0, 290, 425, 494, 531, 552, 565, 571, 575, 576]","[[], [], [], [], [], [], [], [], [], ['18218379', '39668245', '24725136', '36708463', '14338915', '7211056', '2883827', '86694016', '4425507'], ['18218379', '39668245', '24725136', '493346', '36708463', '14338915', '7211056', '2883827', '86694016', '4425507']]"
8,50,"['7386360', '8520041', '15041758', '13007205', '2225918', '43855756', '17973630', '6710713', '11624482', '3174305']",592,727.9556383399758,"[0, 0, 0, 0, 0, 0, 0, 0, 5, 10]","[5183, 5183, 2644, 1439, 712, 299, 111, 46, 18, 0]","[0.0, 1.5453086234629154e-05, 346.64251944306307, 527.1784952440066, 626.4185762309935, 678.128710197052, 701.2466737360228, 714.8173711260315, 723.6231356040807, 727.9556033969857]","[0, 0, 290, 438, 520, 561, 579, 587, 591, 592]","[[], [], [], [], [], [], [], [], ['43855756', '7386360', '15041758', '13007205', '3174305'], ['7386360', '8520041', '15041758', '13007205', '2225918', '43855756', '17973630', '6710713', '11624482', '3174305']]"
9,51,"['11902109', '43390777', '32712381', '2891825', '4515975', '12197393', '1234098', '13798951', '10463997', '70455704']",556,685.5884519099491,"[0, 0, 0, 0, 0, 0, 0, 0, 5, 10]","[5183, 5183, 2515, 1178, 509, 243, 110, 39, 12, 0]","[0.0, 1.6486039385199547e-05, 346.9126406040741, 517.1013043540297, 600.5561854150146, 637.9072970260167, 659.7316572350683, 673.3345838040113, 682.1108143650927, 685.5884072290501]","[0, 0, 290, 431, 498, 528, 543, 551, 555, 556]","[[], [], [], [], [], [], [], [], ['32712381', '10463997', '43390777', '70455704', '2891825'], ['11902109', '43390777', '32712381', '2891825', '4515975', '12197393', '1234098', '13798951', '10463997', '70455704']]"
