q,qid,did,time
0,1,"['11569583', '39571812', '33063763', '22871664', '38747567', '70633421', '37437064', '12130690', '18041692', '21009874']",737.0954314931296
1,3,"['1781626', '30861948', '21622715', '25373397', '5415832', '12411274', '13312471', '32012666', '39970500', '15657779']",729.3270384930074
2,5,"['10846815', '19572798', '17021845', '11921405', '15462523', '4430962', '11884867', '24524403', '52824661', '410286']",684.7188561519142
3,13,"['39465575', '15928989', '25747721', '18691097', '83308790', '33458992', '38369817', '26104554', '14240343', '17625068']",727.8857639400521
4,36,"['7165938', '11026600', '24721347', '30813140', '12662435', '18734652', '27063470', '1917068', '4381486', '22116439']",724.2484376201173
5,42,"['11172205', '25124117', '34103335', '4462419', '9831859', '13814480', '10766688', '22446093', '23865182', '23403754']",705.0954044657992
6,48,"['44586415', '25259746', '14315749', '14376683', '25062868', '17631671', '27712433', '9056874', '16745747']",721.1250509041129
7,49,"['7211056', '36708463', '4425507', '24725136', '493346', '14338915', '86694016', '18218379', '39668245', '2883827']",711.096044867998
8,50,"['15041758', '43855756', '8520041', '3174305', '11624482', '7386360', '13007205', '17973630', '6710713', '2225918']",734.5306587589439
9,51,"['11902109', '2891825', '1234098', '10463997', '13798951', '32712381', '12197393', '4515975', '70455704', '43390777']",690.9585746639641
10,53,"['22874817', '12622860', '32012666', '24552097', '23901235', '41298619', '38830961', '8427306', '40156901', '21754541']",669.619209588971
11,54,"['17821387', '16465895', '9769310', '72180760', '30492966', '39391953', '6077214', '39390206', '2714623', '29691654']",708.32986828906
12,56,"['13071728', '6826100', '32587939', '18758057', '16398827', '41496215', '42009630', '41735503', '5473074', '4492358']",673.6009356289869
13,57,"['601033', '12549585', '52805891', '23273454', '7666498', '1836154', '6157837', '49429882', '28015516', '39281140']",692.0782404210186
14,70,"['21557055', '21246752', '24276304', '22707413', '2526777', '19052713', '5764562', '32084655', '9538708', '21884059']",698.8031537240604
15,72,"['45581752', '16389141', '25028913', '21602220', '4423327', '23601616', '2177022', '16660256', '13312471', '4662264']",697.0825412870618
16,75,"['11624482', '13901073', '22405338', '25510546', '3790895', '7260461', '29214508', '4447055', '39903312', '13458119']",711.3385868159821
17,94,"['7583161', '1605392', '26996935', '34537906', '27158570', '6876224', '16058322', '11201004', '8460275', '42404093']",721.5254068219801
18,99,"['16806763', '1349033', '20649735', '22309946', '471921', '27772649', '12470783', '17544977', '31272411', '37912677']",740.5521461049793
19,100,"['12801438', '27024392', '29785642', '22530842', '108886332', '16693950', '5293024', '19854543', '1958440', '712320']",696.2815663310466
20,113,"['155200372', '8208212', '1684489', '25816994', '4810810', '301838', '11498670', '24082820', '8087082', '25049067']",679.6318336939439
21,115,"['11721676', '25623469', '13256155', '23785605', '15282056', '2405259', '3353748', '44562221', '41496215', '34066665']",704.5280206059106
22,118,"['1727042', '28633594', '32927475', '36606083', '9889151', '7821634', '15322518', '10958594', '24512064', '10284593']",713.2686671620468
23,124,"['1605392', '30468386', '30224907', '43880096', '28390999', '37699461', '18263406', '21884449', '3140772', '11951999']",672.0835083121201
24,127,"['410286', '4462139', '3099497', '17208742', '712078', '37138639', '25014337', '39334724', '11861374', '22150633']",732.783071420039
