q,qid,did,time
0,1,"['15657779', '121581019', '4346436', '17388232', '20279166', '38037690', '327319', '6863070', '16736872', '751192']",350.8878837599914
1,3,"['14717500', '2739854', '23389795', '4414547', '1544804', '17088791', '32181055', '4632921', '4378885', '3672261']",331.9055713299458
2,5,"['13734012', '18617259', '21550246', '1583041', '27063470', '11349166', '23124332', '15879544', '42240424']",354.593102962026
3,13,"['33740844', '26611834', '33257464', '8529693', '6323196', '17450673', '23557241', '41131087', '7662395', '32776084']",337.2930276490806
4,36,"['42441846', '18557974', '3215494', '37424881', '16252863', '11705328', '12130200', '21636085', '5152028', '33409100']",336.4349322820635
5,42,"['18174210', '40913091', '27889071', '45218443', '6315132', '5107861', '27162821', '8925851', '9911547', '2460304']",339.8333626969252
6,48,"['13734012', '11349166', '23203102', '27063470', '18617259', '42291761', '7873737', '1583041', '21550246', '25069745']",332.0117053060385
7,49,"['5953485', '22362025', '7029990', '5702790', '23913146', '1333643', '3154880', '18654430', '2613813', '22871664']",336.97718129602436
8,50,"['12580014', '25738896', '18488986', '10162553', '15405204', '3952288', '301838', '13989491', '15707049', '29785642']",331.99378767001326
9,51,"['45638119', '24249915', '19358586', '8963413', '7583725', '7821634', '15113221', '12762485', '27240667', '34066665']",335.05830646197137
10,53,"['45638119', '7795952', '7583725', '19358586', '24349992', '24249915', '4429932', '23863551', '4702639', '21902400']",341.8806357050489
11,54,"['49556906', '3973445', '24721866', '3504761', '32408470', '14874811', '7005276', '3419709', '9752604', '1686997']",332.7316958200681
12,56,"['4709641', '4459491', '11659421', '13814480', '14192687', '18852643', '30351165', '23887844', '22843616', '15590539']",334.76384998504363
13,57,"['4709641', '4459491', '18852643', '30351165', '22116439', '11659421', '13814480', '23887844', '1605196']",339.3722520900046
14,70,"['5956380', '4414547', '4389394', '37204802', '5254463', '7225911', '28107602', '39637840', '42489926', '21307488']",370.1762876589492
15,72,"['6076903', '1031534', '24721866', '6625693', '14492964', '40500438', '2119889', '36345185', '8133180', '18231257']",350.76111372296873
16,75,"['4387784', '36233757', '37768883', '13965483', '29214508', '2837758', '38805486', '25657127', '26488879', '41900731']",351.76388694495836
17,94,"['1215116', '23918031', '18025240', '6863070', '3896759', '13770184', '39481265', '19052713', '13619127', '20363389']",339.4385566509445
18,99,"['18810195', '8446259', '38300781', '21598000', '15472716', '46816158', '10555591', '82665667', '10991183', '41403996']",341.40530106796365
19,100,"['4381486', '14550841', '4421787', '18374364', '30714190', '6472746', '13116880', '18909530', '10015292']",354.68267226498574
20,113,"['6157837', '1759213', '25816994', '43417006', '44030361', '14584755', '140098548', '4678846', '14121786', '26199970']",354.7957994620374
21,115,"['33872649', '25677651', '1234098', '27138601', '11615242', '37673301', '23513718', '27889071', '21274919', '22281684']",345.23115815600613
22,118,"['6372244', '4465735', '32454714', '52805891', '3272084', '31460499', '2604063', '4695107', '15983982', '15578265']",355.63558509804716
23,124,"['4883040', '7111021', '31363207', '32012666', '13899137', '1986482', '13071728', '374902', '35087728', '44562058']",355.0328181299701
24,127,"['21598000', '35231675', '7549811', '2727303', '30884033', '18126445', '2060137', '7878807', '3720107', '22029384']",335.26146857699496
