q,NDCG@10,MAP@10,Recall@10,P@10
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"[0.0, 0.0, 0.0, 0.43068, 0.43068]","[0.0, 0.0, 0.0, 0.25, 0.25]","[0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.1, 0.1]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]"
3,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
4,"[0.0, 0.0, 0.2372, 0.378]","[0.0, 0.0, 0.1, 0.17361]","[0.0, 0.0, 0.5, 1.0]","[0.0, 0.0, 0.1, 0.2]"
5,"[0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.1, 0.1]"
6,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.38685]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.2]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.1, 0.1]"
7,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 0.1]"
8,"[0.0, 0.0, 0.0, 0.0, 0.38685, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.2, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.1]"
9,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 0.1]"
10,"[0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.1, 0.1]"
11,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 0.1]"
12,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.1]"
13,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.1, 0.1]"
14,"[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.2, 0.2]"
15,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.1, 0.1]"
16,"[0.0, 0.0, 0.38685, 0.38685, 0.38685, 1.0]","[0.0, 0.0, 0.2, 0.2, 0.2, 1.0]","[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.1, 0.1, 0.1, 0.1]"
17,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1]"
18,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1]"
19,"[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.1, 0.1]"
20,"[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.1, 0.1]"
21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22,"[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.1, 0.1]"
23,"[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.1, 0.1]"
24,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]"
