q,qid,time,did,stats
0,1,9661.991284611984,"['17327939', '31715818', '19855358', '15176526', '8182950', '11172205', '13231899', '21456232', '6219790', '13923069']","{'total_tokens': 7694196, 'total_llm_calls': 10349, 'explanations': {}}"
1,3,6702.810148964985,"['2107238', '4414547', '23389795', '10944947', '14717500', '4587978', '32481310', '31347396', '13949015', '2485101']","{'total_tokens': 5336086, 'total_llm_calls': 6347, 'explanations': {}}"
2,5,9343.901287521992,"['13734012', '18617259', '27063470', '23203102', '11349166', '15879544', '695938', '9272598', '42240424', '1292369']","{'total_tokens': 7107233, 'total_llm_calls': 9338, 'explanations': {}}"
3,13,6235.413758018985,"['1263446', '33740844', '49429882', '11748341', '2425364', '26611834', '35714909', '28633594', '56893404', '11441172']","{'total_tokens': 4708766, 'total_llm_calls': 6298, 'explanations': {}}"
4,36,6527.950784781948,"['37424881', '42441846', '33409100', '3215494', '4442799', '16252863', '10557471', '12810152', '15615957', '34603465']","{'total_tokens': 4936656, 'total_llm_calls': 6011, 'explanations': {}}"
5,42,7430.666586808977,"['18174210', '40913091', '27889071', '4449524', '26474812', '39506601', '27162821', '6315132', '8083310', '25068298']","{'total_tokens': 5874215, 'total_llm_calls': 6358, 'explanations': {}}"
6,48,6491.8394640419865,"['13734012', '18617259', '27063470', '11349166', '23203102', '695938', '3078080', '17333231', '21550246', '3672261']","{'total_tokens': 4830468, 'total_llm_calls': 5960, 'explanations': {}}"
7,49,5686.545898472075,"['5953485', '5702790', '86602746', '23913146', '6913227', '1333643', '22362025', '18654430', '15590539', '9091863']","{'total_tokens': 3882551, 'total_llm_calls': 6653, 'explanations': {}}"
8,50,5121.904611130012,"['12580014', '18488986', '25738896', '38485364', '39559521', '14626540', '10162553', '5377642', '17717391', '12489130']","{'total_tokens': 4537618, 'total_llm_calls': 5754, 'explanations': {}}"
9,51,6935.972270577098,"['45638119', '15081770', '43385013', '11615422', '5953485', '8963413', '4455466', '4418878', '24249915', '5386514']","{'total_tokens': 5142696, 'total_llm_calls': 6552, 'explanations': {}}"
10,53,7030.097509035026,"['45638119', '43385013', '11615422', '4418878', '32001951', '1554348', '21181273', '8963413', '4429932', '8891333']","{'total_tokens': 5285145, 'total_llm_calls': 6737, 'explanations': {}}"
11,54,6333.932045656024,"['49556906', '3761017', '24721866', '9752604', '3973445', '3504761', '14874811', '26025820', '3419709', '19313533']","{'total_tokens': 5409117, 'total_llm_calls': 7586, 'explanations': {}}"
12,56,7782.477808417985,"['4709641', '13814480', '20937018', '15347087', '51386222', '18852643', '24530130', '4459491', '12443371', '9194077']","{'total_tokens': 6299256, 'total_llm_calls': 7627, 'explanations': {}}"
13,57,7915.620588095044,"['4709641', '36637129', '13814480', '35777860', '15347087', '4632921', '18852643', '14192687', '19970015', '16375102']","{'total_tokens': 6217459, 'total_llm_calls': 8367, 'explanations': {}}"
14,70,6691.03297909,"['4414547', '5254463', '5956380', '38919140', '28107602', '41710132', '26495128', '36464673', '37204802', '42489926']","{'total_tokens': 4728302, 'total_llm_calls': 7399, 'explanations': {}}"
15,72,9061.293745014002,"['6076903', '39291138', '1031534', '35008773', '39763465', '28071965', '14492964', '14296612', '17119869', '40383969']","{'total_tokens': 7174515, 'total_llm_calls': 9546, 'explanations': {}}"
16,75,7653.131083713961,"['13965483', '4387784', '2837758', '37768883', '25657127', '29367554', '38805486', '22042345', '26488879', '36233757']","{'total_tokens': 6116633, 'total_llm_calls': 6584, 'explanations': {}}"
17,94,6745.601056326064,"['1215116', '18025240', '21425864', '3896759', '20419913', '12801438', '13966946', '4695107', '24044977', '24157077']","{'total_tokens': 5319412, 'total_llm_calls': 5537, 'explanations': {}}"
18,99,6307.202865853906,"['18810195', '16270577', '12428814', '2617858', '12265561', '8721150', '13910150', '4740447', '26607366', '6788835']","{'total_tokens': 4506337, 'total_llm_calls': 6493, 'explanations': {}}"
19,100,7980.077449797071,"['4381486', '4421787', '14550841', '2701077', '18374364', '14205246', '12315072', '11674288', '3173489', '22948960']","{'total_tokens': 6631612, 'total_llm_calls': 8133, 'explanations': {}}"
