q,qid,time,id_len,ids
0,1,59.518043789081275,100,"['21456232', '169264', '4346436', '502797', '1065627', '44640124', '2060137', '31715818', '121581019', '17388232', '15176526', '1922901', '10991183', '9507605', '43990286', '39532074', '87610599', '15337254', '1469751', '9122283', '24512417', '7764903', '13923069', '16532419', '10982689', '11535539', '19485649', '18758057', '41982985', '28436879', '11172205', '1192458', '13481880', '11840194', '8790729', '25985964', '8290953', '28071965', '82665667', '9730755', '9272598', '36233757', '16962732', '14082855', '35008773', '3874000', '39291138', '13779605', '27127885', '17412260', '38844612', '12899612', '8150638', '15856466', '5567223', '29638116', '6219790', '4435369', '25435456', '19855358', '59453688', '38037690', '40212412', '58050905', '13231899', '18691097', '25191216', '34876410', '16826810', '8182950', '36651210', '36398420', '4784069', '3353748', '4311206', '16939583', '25052749', '13878124', '15365719', '19651306', '17209919', '7230315', '7583104', '719812', '40145839', '5764562', '15327601', '20943272', '1346695', '13889430', '26025820', '42080024', '39763465', '9988425', '104130', '33986200', '19138874', '1834762', '6054657', '7317051']"
1,3,53.675930795958266,100,"['4414547', '24144677', '13519661', '4427060', '5448119', '857189', '14019636', '13916484', '18662787', '23389795', '2739854', '14717500', '2485101', '32181055', '3672261', '41782935', '13905670', '17088791', '13940200', '3222187', '2095573', '20399078', '13956305', '13923140', '1649738', '4457160', '14729253', '20280410', '1388704', '13914198', '1544804', '10944947', '4632921', '10145528', '3868322', '2359152', '9394119', '24725136', '4587978', '20886584', '19058822', '1265945', '9650982', '13373629', '15155862', '24237492', '27158570', '25571386', '6078882', '4378885', '15286783', '6290112', '380526', '19497526', '2647374', '35329820', '43334921', '12428137', '5304891', '45200347', '5650232', '14464451', '28069701', '1067605', '52850476', '7020505', '24341590', '15153602', '25536577', '2107238', '3444507', '3662132', '20375264', '8690595', '22067786', '13949015', '503050', '17911973', '31347396', '11117679', '15570962', '39661951', '39571812', '21641088', '25416944', '41599676', '6503534', '30655442', '13450938', '834336', '24521894', '12443371', '13791788', '27408104', '1153655', '83707680', '1583134', '13717103', '13439128', '32481310']"
2,5,52.47763256705366,100,"['18617259', '11349166', '1583041', '17333231', '24144677', '16737163', '36721932', '739734', '12794099', '7547329', '24863571', '13734012', '695938', '21550246', '1292369', '15879544', '27063470', '3078080', '23124332', '42240424', '23203102', '6421734', '21048969', '21216726', '24512064', '2601324', '3413083', '23665162', '23471400', '19497526', '2194320', '9272598', '32922179', '27438378', '15048300', '32481310', '6415816', '8925851', '24825841', '1084345', '28164534', '10698739', '3912660', '1358909', '45027320', '3222187', '19140422', '27446873', '21033230', '27054878', '45015767', '1153655', '14290854', '5850219', '8082528', '841371', '19945096', '44624045', '17821387', '5433667', '17324544', '17415081', '6947286', '21502234', '4828631', '76415938', '5835149', '5735492', '80522346', '1171121', '829646', '38040186', '11271123', '8892905', '6251620', '18340282', '10548391', '368506', '7482674', '33796570', '4449524', '24341590', '15570962', '10145528', '4416964', '15347087', '32671519', '23420615', '2496002', '25263942', '13717103', '23326722', '25261168', '12122482', '19822046', '23304931', '28617573', '16980892', '16201748', '16732790']"
3,13,48.96734085096978,100,"['6323196', '27123743', '17450673', '23557241', '2425364', '1958440', '24594624', '11748341', '1263446', '16204011', '11441172', '439670', '37916361', '9513785', '2605032', '6718824', '13791044', '19824183', '13906581', '7662395', '26611834', '8529693', '32776084', '33257464', '34544514', '9967265', '27099731', '45276789', '25182647', '3435889', '30983338', '25293721', '1449692', '37480103', '16322674', '20645335', '68317730', '73323408', '49429882', '11360768', '4515975', '4791384', '356218', '4432763', '37118634', '33740844', '2958458', '41131087', '56893404', '70455704', '4550036', '76463821', '25641414', '35714909', '28633594', '5487448', '27889071', '2613775', '37731372', '22236223', '22815457', '27129115', '19278208', '2829179', '15512462', '4409524', '3912660', '26710772', '39334724', '8842332', '103007', '2787558', '29387024', '21050357', '30786800', '13179318', '74137632', '8582337', '13770184', '20240998', '1606628', '36124058', '19961177', '15928989', '18104691', '19799455', '22896384', '4983', '35521287', '25691541', '20287253', '23117378', '581832', '17415081', '14823313', '52072815', '22467585', '10854174', '17626822', '20280410']"
4,36,62.11585338204168,100,"['18557974', '12130200', '9813098', '16252863', '37424881', '8595678', '11705328', '42441846', '21636085', '3215494', '12810152', '33409100', '18256197', '36654066', '21623140', '71341302', '30786800', '2787558', '9513785', '5152028', '4442799', '10557471', '20083834', '15615957', '25439264', '41646286', '23245050', '13801259', '24049225', '9555784', '5687200', '44624045', '6176498', '19278208', '36960449', '26230669', '3828508', '31562330', '2829179', '4550036', '4462079', '30720103', '275294', '4500832', '39174007', '25488034', '36025357', '25599283', '4463811', '14803797', '23267371', '42387637', '6171953', '6853699', '6327940', '8856690', '2159648', '13312471', '34603465', '23017040', '33740844', '8529693', '38551172', '13036442', '21553394', '12991445', '23665162', '4841908', '72933407', '39558597', '19460822', '23895668', '21380348', '9291668', '27162821', '4449524', '21932297', '27889071', '16256507', '71625969', '3034412', '31070360', '36124058', '76463821', '31407112', '13338820', '25300664', '6793674', '70704988', '12009265', '11748341', '49429882', '11457219', '1471041', '13770184', '24042919', '3222187', '17163294', '4679264', '12207167']"
5,42,53.96757889306173,100,"['18174210', '4421787', '4254064', '40913091', '45218443', '2460304', '8083310', '8925851', '22482024', '6315132', '39506601', '3391547', '1617327', '10526279', '27162821', '4449524', '25420421', '24042919', '27889071', '10128893', '8385277', '12240507', '10326242', '16745747', '5107861', '25069745', '9254550', '18344910', '40900567', '42373943', '14021596', '3899896', '9285396', '26064662', '4335423', '4366738', '18447487', '13509809', '30714190', '5415832', '14717213', '2452989', '23727313', '8724666', '11289247', '10015292', '32170702', '18374364', '5782614', '14550841', '1145473', '25830701', '13116880', '4380004', '9911547', '10530014', '25985964', '25001628', '4417177', '40234452', '9196472', '2359152', '6415816', '4421742', '9478135', '24466904', '3863543', '4442799', '18557974', '30152134', '35534019', '20761364', '3321943', '33677323', '39851630', '5836', '6000423', '25388309', '7850867', '17168045', '25068298', '10795340', '26474812', '3001685', '2701077', '12130067', '11951999', '42787108', '13980338', '19822046', '32481310', '8756719', '18676539', '11900630', '7224723', '6503185', '13905670', '54561384', '11705328', '21636085']"
6,48,49.38253783318214,100,"['92308', '5398179', '14319754', '12794099', '3716075', '2841164', '18617259', '11349166', '27063470', '13734012', '23203102', '3078080', '21550246', '7447120', '695938', '3698758', '24596228', '28806780', '46353045', '13322804', '3413083', '18574146', '21644993', '12471115', '3672261', '22194407', '29955650', '5735492', '6421734', '45027320', '36558211', '44624045', '14390137', '24943534', '23531592', '8082528', '27866735', '8582337', '13770184', '6319826', '14843502', '13900610', '21932050', '5835149', '27466734', '24088502', '12779444', '3776162', '30844602', '44562058', '15129362', '7485455', '3903084', '5114282', '17821387', '8670178', '8858602', '21700295', '991139', '28738741', '24512064', '21216726', '5548081', '29134911', '49208216', '13959707', '3001685', '12030680', '27243019', '8398627', '14408200', '7111021', '1259359', '30226988', '5372432', '26016929', '25853741', '253672', '5850219', '4828631', '27889071', '841371', '13933299', '17415081', '4505748', '10450300', '14806256', '43587663', '13857083', '20261352', '40323148', '30492966', '17454301', '45820464', '22309946', '24942840', '19327364', '1153655', '581832', '45457778']"
7,49,65.10116337495856,100,"['5633957', '6828370', '663464', '5953485', '7029990', '5702790', '22362025', '23913146', '1333643', '18654430', '1006165', '9091863', '22623275', '3154880', '2613813', '2619579', '86602746', '12652963', '15590539', '2251426', '32324430', '23727313', '6404801', '7281161', '153744', '15790930', '8006440', '5253987', '12787125', '13290521', '5838067', '5409325', '1617327', '13964633', '6820680', '5867846', '12871002', '31148090', '22871664', '15593561', '5271210', '17544977', '2541699', '37438296', '950306', '2000038', '12440953', '9159495', '12582729', '9748934', '3684342', '12337611', '18914652', '41548287', '13763195', '21909315', '6766459', '29107180', '6264468', '435529', '18421962', '40412980', '4343811', '9539248', '22003328', '4467129', '2356950', '16346504', '16882895', '49432306', '19800147', '28704738', '6054657', '1354567', '116075383', '9539753', '16364639', '6913227', '21601459', '14362780', '22049489', '67787658', '33677323', '8247469', '27167110', '19358586', '19828689', '3321943', '42662816', '12643937', '3882374', '30507607', '4729644', '9648896', '27900414', '32556431', '8327914', '14581009', '9433958', '19822046']"
8,50,49.73080544103868,100,"['12580014', '25738896', '18488986', '15405204', '13989491', '18361917', '42279414', '7795952', '1346695', '13916484', '30226988', '39559521', '2734421', '10162553', '301838', '3952288', '32906513', '20155713', '8354687', '4561402', '29785642', '1583134', '15707049', '24828165', '19736671', '4429118', '32742683', '4702639', '11968641', '31902335', '2547636', '10165723', '22963769', '15113221', '12489130', '8538916', '17917408', '1574014', '25523969', '17755060', '29366489', '19541444', '31933981', '4362729', '3849194', '30224907', '4489217', '13106686', '19688024', '4380287', '1900152', '19343151', '21063817', '17844478', '9095394', '31803596', '36950726', '24349992', '1782201', '22972632', '7975937', '40667577', '1791714', '19701340', '3545805', '79696454', '8963413', '15081770', '2061878', '8994465', '42731834', '4418878', '17412260', '10812605', '7046487', '13011249', '25726838', '1921218', '27264454', '6407356', '6650933', '25328476', '9791313', '27949347', '4387484', '14626540', '25853741', '43014661', '11238951', '23985464', '9687772', '6910577', '44420873', '8995263', '52188256', '15907458', '14131683', '12737132', '20279166', '8989616']"
9,51,54.39907312602736,100,"['21033230', '24834968', '4820792', '42106119', '30226988', '45638119', '7583725', '8963413', '7821634', '15721252', '22482820', '34066665', '13069283', '19358586', '15113221', '22401720', '12762485', '21439640', '15946643', '13007205', '4429932', '5270265', '17648235', '4889228', '22509015', '20183360', '825728', '1866911', '16734530', '24249915', '16691520', '195680777', '2931832', '5864770', '8891333', '31311495', '1379127', '4702639', '9600826', '21902400', '43385013', '14241418', '27240667', '2014909', '12438901', '20333864', '16086778', '15832146', '18953920', '8774475', '22975806', '1389264', '6550579', '4418878', '67045088', '7046487', '19541444', '32001951', '1171121', '24341590', '20839751', '19673227', '25488034', '16322674', '11484808', '313403', '4999633', '31851367', '2140497', '13765757', '25973484', '27123743', '38551172', '15559582', '2130391', '164985', '878526', '31616203', '25732836', '16390264', '18340282', '17088791', '13030852', '4828631', '1554348', '5500086', '20127522', '3285322', '5579368', '20454006', '5649538', '10279084', '885056', '4455466', '2576811', '22712546', '2061878', '22267225', '32423829', '52188256']"
10,53,55.85478644701652,100,"['4820792', '15521377', '27647593', '164985', '20127522', '19673227', '21033230', '24144677', '45638119', '7583725', '7795952', '21439640', '313403', '1171121', '19358586', '8963413', '24349992', '7821634', '22482820', '4889228', '16734530', '23863551', '6550579', '15600979', '825728', '31311495', '20183360', '9600826', '4702639', '1866911', '29366489', '1379127', '15113221', '4418878', '19882228', '4583180', '5500086', '12762485', '15559582', '2130391', '4999633', '24834968', '15721252', '24249915', '16691520', '34066665', '20839751', '2931832', '21902400', '4429932', '22401720', '15946643', '5270265', '7875158', '17648235', '16086778', '8774475', '20333864', '43385013', '18953920', '1554348', '22509015', '24341590', '13007205', '15832146', '6969753', '8671456', '195680777', '40127292', '26231129', '29495185', '3329824', '13290521', '32001951', '67045088', '17755060', '2061878', '38623601', '3285322', '27240667', '25973484', '13069283', '5649538', '31616203', '8037453', '10279084', '878526', '2014909', '4455466', '25523969', '25732836', '5864770', '22975806', '2015126', '13030852', '1389264', '219475', '11484808', '20454006', '22267225']"
11,54,57.52671869006008,100,"['5108807', '9752604', '6690087', '3619931', '12370881', '20732789', '3710557', '83308790', '49556906', '3973445', '24721866', '32408470', '3419709', '38533515', '3504761', '14874811', '1590744', '9899292', '11535539', '19313533', '219475', '22621251', '23974474', '22036571', '26025820', '1686997', '1727042', '5172048', '11771811', '3553087', '21366394', '883747', '21395936', '21287352', '4421742', '39481265', '32450297', '25175997', '56486733', '15381976', '22488511', '25725663', '26735905', '3475317', '15707049', '3761017', '14541844', '1800734', '27615329', '10703001', '34445160', '8477699', '2973910', '13108582', '31313782', '21258863', '7281161', '26068103', '696006', '7433668', '35993767', '26008462', '38844612', '712078', '30398773', '13466622', '41781905', '23599024', '3848469', '23509113', '44724517', '18841257', '5573975', '3701541', '8771704', '1192458', '3847200', '5035827', '8702697', '4399311', '17412260', '4303939', '6270720', '3984231', '10284593', '6807122', '39164524', '24640046', '4680262', '24496245', '41325555', '32742683', '35543846', '9648896', '2042250', '17997584', '13778710', '2266471', '1897324', '29657303']"
12,56,63.495719256810844,100,"['35520219', '13757347', '39545358', '41239107', '6947286', '739734', '4407385', '1630949', '4709641', '11659421', '12100854', '3669694', '4459491', '11674288', '2853685', '3583084', '19970015', '9675944', '27588420', '37722384', '18852643', '35777860', '13814480', '10273147', '10641715', '13293033', '4632921', '17702490', '15945975', '10786948', '6477740', '4405194', '21601459', '14434123', '32922179', '8892905', '24652030', '4452318', '7581911', '39465575', '9194077', '36180468', '23076291', '22185730', '33986200', '6054657', '6544701', '16287725', '21271817', '803312', '6157371', '1605196', '30351165', '20937018', '51386222', '6722522', '37450671', '27076725', '12443371', '36637129', '22116439', '15347087', '10795063', '24989194', '5260382', '46565020', '24906548', '14192687', '24512417', '8150638', '26336593', '31347396', '7482674', '665817', '4679264', '15590539', '12932176', '57574395', '26244918', '44408494', '2151983', '3140772', '6079486', '36474', '4345605', '9748934', '22543403', '6826100', '16541762', '8290760', '14308244', '13189693', '29422484', '24530130', '4505748', '4399268', '16939583', '4446814', '6492658', '13921526']"
