q,qid,did,time
0,1,"['21456232', '19855358', '17388232', '6219790', '4346436', '4385779', '4340509', '4346731', '4380287', '17049436']",714.1306900470518
1,3,"['14717500', '2739854', '23389795', '4414547', '4632921', '13914198', '4378885', '4311206', '13940200', '4391817']",701.3269256850472
2,5,"['42240424', '18617259', '27063470', '13734012', '13714201', '13768432', '21550246', '1583041', '23124332', '17333231']",695.452161669964
3,13,"['33740844', '8529693', '7662395', '2958458', '30786800', '32776084', '11360768', '11748341', '1958440', '2425364']",694.8389498940087
4,36,"['42441846', '18557974', '16252863', '21636085', '18256197', '33409100', '12130200', '9813098', '3215494', '37424881']",696.4668797380291
5,42,"['18174210', '18188022', '18489989', '18447487', '18256197', '18344910', '8756719', '27889071', '40913091', '45218443']",695.5548908631317
6,48,"['18617259', '27063470', '23203102', '11349166', '13734012', '23124332', '23195674', '23136735', '27123743', '11083121']",695.0141407920164
7,49,"['5953485', '7029990', '5702790', '5409325', '4411760', '6913227', '15590539', '12652963', '12582729', '8006440']",697.090685146919
8,50,"['12580014', '18488986', '25738896', '39559521', '301838', '3952288', '15405204', '13989491', '8354687', '4561402']",699.0180648111855
9,51,"['45638119', '43385013', '7821634', '7583725', '8963413', '7795952', '313403', '2931832', '24249915', '24349992']",698.1182163259946
10,53,"['45638119', '43385013', '7583725', '7821634', '7795952', '19358586', '42731834', '4889228', '21439640', '22401720']",699.4542207191116
11,54,"['49556906', '3973445', '24721866', '24917562', '3419709', '32408470', '26025820', '1590744', '38533515', '7005276']",698.7928055230295
12,56,"['4709641', '4459491', '11659421', '30351165', '14192687', '13814480', '11674288', '13293033', '10641715', '10485142']",698.55406262615
13,57,"['4709641', '11659421', '4459491', '19970015', '30351165', '18852643', '14434123', '22116439', '22185730', '44408494']",694.1576236810652
14,70,"['5956380', '4414547', '2582169', '37204802', '36464673', '7225911', '35684881', '11903247', '10247314', '5254463']",692.9068401448894
15,72,"['6076903', '1031534', '927561', '21382907', '7005276', '1084062', '23974474', '24721866', '25915873', '27460509']",697.6240725201787
16,75,"['4387784', '36233757', '37768883', '29214508', '13965483', '2837758', '7465900', '20330519', '22703082', '2099400']",697.8079749447643
17,94,"['1215116', '17327939', '30915421', '341324', '1049501', '37118634', '37205685', '437924', '878526', '118568']",693.1952765291207
18,99,"['18810195', '8446259', '38300781', '38477436', '19313533', '8496132', '30379039', '19482914', '19356271', '19384430']",699.2525587968412
19,100,"['4381486', '4398832', '18374364', '14550841', '4421787', '2701077', '1944452', '10015292', '30714190', '18909530']",694.2437253259122
20,113,"['6157837', '1759213', '25816994', '4678846', '14584755', '43417006', '43557480', '14121786', '23377475', '8318922']",697.3907509222045
21,115,"['33872649', '1234098', '25677651', '10993232', '11041152', '24746892', '24770122', '28647122', '28712203', '28783084']",695.98168032791
22,118,"['6372244', '4465735', '52805891', '32454714', '42693833', '12658073', '41165286', '20148808', '33918970', '32159283']",695.1569028411177
23,124,"['4883040', '7111021', '31363207', '32012666', '21479231', '39984099', '13899137', '1986482', '13901073', '374902']",700.6026312230388
24,127,"['21598000', '35231675', '7549811', '2727303', '18126445', '17209919', '5760247', '5700349', '15548965', '19482914']",696.3013047768618
