q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['23100962', '29509926', '19882228', '21456232', '29190724', '9272598', '8150638', '20054396', '6766459', '59453688']",365,444.31290532206185,"[0, 0, 2, 2, 2, 10]","[5183, 1298, 427, 70, 10, 0]","[0.0, 312.03311182092875, 402.66300244187005, 435.2912836698815, 444.2574357218109, 444.3115663549397]","[0, 260, 334, 359, 364, 365]","[[], [], ['21456232', '59453688'], ['21456232', '59453688'], ['21456232', '59453688'], ['23100962', '29509926', '19882228', '21456232', '29190724', '9272598', '8150638', '20054396', '6766459', '59453688']]"
1,3,"['13914198', '23389795', '4632921', '2739854', '36474', '14717500', '4414547', '32181055', '10145528', '1388704']",345,411.35886926110834,"[0, 0, 0, 10]","[5183, 1298, 170, 0]","[0.0, 304.1853170080576, 394.35203011496924, 411.3579366989434]","[0, 260, 334, 345]","[[], [], [], ['13914198', '23389795', '4632921', '2739854', '36474', '14717500', '4414547', '32181055', '10145528', '1388704']]"
2,5,"['17333231', '11349166', '38899659', '15879544', '1583041', '18617259', '42240424', '21550246', '28738741', '45218443']",407,478.7896147221327,"[0, 0, 8, 10]","[5183, 1298, 3, 0]","[0.0, 304.0081277480349, 478.1095839070622, 478.7892185111996]","[0, 260, 406, 407]","[[], [], ['17333231', '11349166', '38899659', '15879544', '1583041', '18617259', '42240424', '21550246'], ['17333231', '11349166', '38899659', '15879544', '1583041', '18617259', '42240424', '21550246', '28738741', '45218443']]"
3,13,"['7662395', '1263446', '24594624', '23557241', '17450673', '56893404', '26611834', '6323196', '8529693', '11748341']",335,397.4140529851429,"[0, 0, 2, 10]","[5183, 1298, 14, 0]","[0.0, 304.23368881386705, 393.87675204197876, 397.41356879496016]","[0, 260, 334, 335]","[[], [], ['26611834', '8529693'], ['7662395', '1263446', '24594624', '23557241', '17450673', '56893404', '26611834', '6323196', '8529693', '11748341']]"
4,36,"['5152028', '16252863', '12130200', '11705328', '42441846', '37424881', '3215494', '24049225', '18557974', '21636085']",335,396.7247930611484,"[0, 0, 0, 10]","[5183, 1298, 13, 0]","[0.0, 303.62069542100653, 393.3828369118273, 396.72436421201564]","[0, 260, 334, 335]","[[], [], [], ['5152028', '16252863', '12130200', '11705328', '42441846', '37424881', '3215494', '24049225', '18557974', '21636085']]"
5,42,"['6315132', '16745747', '39506601', '40913091', '27162821', '18174210', '21287352', '8083310', '14672919', '45218443']",335,397.22083845408633,"[0, 0, 0, 10]","[5183, 1298, 16, 0]","[0.0, 303.6415671459399, 393.26876090699807, 397.2203921258915]","[0, 260, 334, 335]","[[], [], [], ['6315132', '16745747', '39506601', '40913091', '27162821', '18174210', '21287352', '8083310', '14672919', '45218443']]"
6,48,"['11349166', '8814634', '15879544', '13734012', '18617259', '9911547', '21550246', '23203102', '3078080', '27063470']",436,520.0369124070276,"[0, 0, 9, 9, 9, 10]","[5183, 1298, 418, 41, 3, 0]","[0.0, 303.79464447684586, 477.7975463299081, 510.3625605548732, 519.1774525858928, 520.0357313419227]","[0, 260, 406, 431, 435, 436]","[[], [], ['11349166', '15879544', '13734012', '18617259', '9911547', '21550246', '23203102', '3078080', '27063470'], ['11349166', '15879544', '13734012', '18617259', '9911547', '21550246', '23203102', '3078080', '27063470'], ['11349166', '15879544', '13734012', '18617259', '9911547', '21550246', '23203102', '3078080', '27063470'], ['11349166', '8814634', '15879544', '13734012', '18617259', '9911547', '21550246', '23203102', '3078080', '27063470']]"
7,49,"['5702790', '2613813', '22362025', '22871664', '1333643', '23913146', '5953485', '18654430', '86602746', '1354567']",335,396.8236351108644,"[0, 0, 0, 10]","[5183, 1298, 14, 0]","[0.0, 303.7250897639897, 393.27951212995686, 396.82311935699545]","[0, 260, 334, 335]","[[], [], [], ['5702790', '2613813', '22362025', '22871664', '1333643', '23913146', '5953485', '18654430', '86602746', '1354567']]"
8,50,"['25738896', '15707049', '39559521', '18488986', '10162553', '3952288', '12580014', '301838', '13989491', '8354687']",349,413.76514167897403,"[0, 0, 3, 3, 10]","[5183, 1298, 218, 9, 0]","[0.0, 303.47948525007814, 393.3124347680714, 411.73482717806473, 413.76417139498517]","[0, 260, 334, 348, 349]","[[], [], ['25738896', '18488986', '12580014'], ['25738896', '18488986', '12580014'], ['25738896', '15707049', '39559521', '18488986', '10162553', '3952288', '12580014', '301838', '13989491', '8354687']]"
9,51,"['4889228', '4702639', '8994465', '8963413', '45638119', '1171121', '7583725', '24249915', '19358586', '4418878']",354,423.5632374009583,"[0, 0, 0, 0, 10]","[5183, 1298, 311, 14, 0]","[0.0, 303.4696172098629, 393.1673720430117, 420.0180935449898, 423.56218952988274]","[0, 260, 334, 353, 354]","[[], [], [], [], ['4889228', '4702639', '8994465', '8963413', '45638119', '1171121', '7583725', '24249915', '19358586', '4418878']]"
