q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['24101431', '31715818', '121581019', '9507605', '21676556', '19855358', '22767022', '21456232', '6219790', '16532419']",590,133.5846504290239,"[0, 0, 0, 0, 0, 0, 0, 9, 10]","[1000, 1000, 452, 194, 57, 34, 13, 4, 0]","[0.0, 1.1673022527247667e-05, 79.66110521298833, 110.33703604200855, 124.13467950100312, 128.73814377601957, 131.62634850101313, 132.678725234, 133.5846213779878]","[0, 0, 334, 486, 552, 572, 584, 589, 590]","[[], [], [], [], [], [], [], ['24101431', '31715818', '121581019', '21676556', '19855358', '22767022', '21456232', '6219790', '16532419'], ['24101431', '31715818', '121581019', '9507605', '21676556', '19855358', '22767022', '21456232', '6219790', '16532419']]"
1,3,"['2739854', '14019636', '4632921', '23389795', '3672261', '4414547', '10944947', '4378885', '1388704', '14717500']",496,108.6632164879702,"[0, 0, 0, 0, 0, 0, 0, 9, 10]","[1000, 1000, 314, 97, 31, 16, 12, 3, 0]","[0.0, 2.0446954295039177e-05, 72.29794629395474, 95.09094180999091, 102.30853892496089, 105.17781020095572, 106.97014004195808, 107.97160451294621, 108.66315134096658]","[0, 0, 334, 440, 473, 484, 490, 495, 496]","[[], [], [], [], [], [], [], ['2739854', '4632921', '23389795', '3672261', '4414547', '10944947', '4378885', '1388704', '14717500'], ['2739854', '14019636', '4632921', '23389795', '3672261', '4414547', '10944947', '4378885', '1388704', '14717500']]"
2,5,"['17333231', '11349166', '1583041', '24512064', '27063470', '4445629', '13734012', '18617259', '24341590', '27768226']",781,187.60261888802052,"[0, 0, 0, 0, 9, 9, 9, 9, 9, 10]","[1000, 1000, 537, 283, 274, 119, 67, 37, 5, 0]","[0.0, 1.3629964087158442e-05, 78.03782627696637, 119.9383686009678, 144.24896202300442, 165.70938226999715, 178.23560246499255, 183.69479914597468, 186.59566005400848, 187.6025826400146]","[0, 0, 334, 514, 609, 701, 742, 765, 778, 781]","[[], [], [], [], ['17333231', '11349166', '1583041', '27063470', '4445629', '13734012', '18617259', '24341590', '27768226'], ['17333231', '11349166', '1583041', '27063470', '4445629', '13734012', '18617259', '24341590', '27768226'], ['17333231', '11349166', '1583041', '27063470', '4445629', '13734012', '18617259', '24341590', '27768226'], ['17333231', '11349166', '1583041', '27063470', '4445629', '13734012', '18617259', '24341590', '27768226'], ['17333231', '11349166', '1583041', '27063470', '4445629', '13734012', '18617259', '24341590', '27768226'], ['17333231', '11349166', '1583041', '24512064', '27063470', '4445629', '13734012', '18617259', '24341590', '27768226']]"
3,13,"['1263446', '8842332', '7662395', '49429882', '2425364', '33740844', '2958458', '9967265', '26611834', '11748341']",669,173.53143997699954,"[0, 0, 6, 6, 10]","[1000, 1000, 994, 7, 0]","[0.0, 1.7174985259771347e-05, 89.56837335298769, 172.1318779749563, 173.53140661900397]","[0, 0, 334, 666, 669]","[[], [], ['1263446', '8842332', '9967265', '26611834', '2425364', '33740844'], ['1263446', '8842332', '9967265', '26611834', '2425364', '33740844'], ['1263446', '8842332', '7662395', '49429882', '2425364', '33740844', '2958458', '9967265', '26611834', '11748341']]"
4,36,"['12130200', '5152028', '18557974', '4442799', '21636085', '42441846', '16252863', '3215494', '18256197', '11705328']",373,87.84079538699007,"[0, 0, 0, 0, 5, 5, 5, 10]","[1000, 1000, 56, 19, 14, 7, 6, 0]","[0.0, 1.1725001968443394e-05, 76.27612624096218, 81.7400840689661, 83.93789678800385, 85.46359618898714, 86.65131565200863, 87.84075694601052]","[0, 0, 334, 354, 361, 367, 370, 373]","[[], [], [], [], ['42441846', '18557974', '12130200', '3215494', '18256197'], ['42441846', '18557974', '12130200', '3215494', '18256197'], ['42441846', '18557974', '12130200', '3215494', '18256197'], ['12130200', '5152028', '18557974', '4442799', '21636085', '42441846', '16252863', '3215494', '18256197', '11705328']]"
5,42,"['27162821', '18174210', '27889071', '10128893', '27260630', '10526279', '17168045', '5107861', '40913091', '45218443']",466,114.94779421499697,"[0, 0, 0, 0, 0, 0, 10]","[1000, 1000, 283, 75, 16, 11, 0]","[0.0, 1.4788005501031876e-05, 82.43530948401894, 104.87859551399015, 111.63151671597734, 113.76306327001657, 114.94775053998455]","[0, 0, 334, 429, 455, 461, 466]","[[], [], [], [], [], [], ['27162821', '18174210', '27889071', '10128893', '27260630', '10526279', '17168045', '5107861', '40913091', '45218443']]"
6,48,"['44624045', '21550246', '708425', '11349166', '21495419', '27063470', '7447120', '13734012', '18617259', '5596332']",512,121.5489549630438,"[0, 0, 0, 0, 0, 0, 0, 9, 9, 9, 10]","[1000, 1000, 290, 104, 45, 29, 20, 11, 5, 3, 0]","[0.0, 1.8068007193505764e-05, 78.1425002370379, 101.52062678302173, 109.87452937703347, 113.91513429098995, 116.73792135104304, 118.62585250701522, 119.72570505802287, 120.8004155170056, 121.54888116300572]","[0, 0, 334, 432, 468, 484, 495, 503, 508, 511, 512]","[[], [], [], [], [], [], [], ['21550246', '708425', '11349166', '21495419', '27063470', '7447120', '13734012', '18617259', '5596332'], ['21550246', '708425', '11349166', '21495419', '27063470', '7447120', '13734012', '18617259', '5596332'], ['21550246', '708425', '11349166', '21495419', '27063470', '7447120', '13734012', '18617259', '5596332'], ['44624045', '21550246', '708425', '11349166', '21495419', '27063470', '7447120', '13734012', '18617259', '5596332']]"
7,49,"['23913146', '22623275', '18654430', '7029990', '22362025', '5702790', '2619579', '1333643', '86602746', '5953485']",710,157.035453288001,"[0, 0, 7, 7, 10]","[1000, 1000, 993, 129, 0]","[0.0, 2.835103077813983e-05, 75.4449524860247, 147.4007500160369, 157.03540029400028]","[0, 0, 334, 666, 710]","[[], [], ['23913146', '86602746', '7029990', '5953485', '2619579', '5702790', '22362025'], ['23913146', '86602746', '7029990', '5953485', '2619579', '5702790', '22362025'], ['23913146', '22623275', '18654430', '7029990', '22362025', '5702790', '2619579', '1333643', '86602746', '5953485']]"
8,50,"['39559521', '301838', '8354687', '15707049', '12580014', '18488986', '3952288', '17844478', '25738896', '15405204']",1091,248.22191752801882,"[0, 0, 2, 3, 3, 3, 3, 3, 3, 6, 6, 6, 10]","[1000, 1000, 998, 997, 63, 53, 38, 29, 21, 18, 12, 9, 0]","[0.0, 1.916801556944847e-05, 76.69852303498192, 151.10141862899764, 225.17168818000937, 231.40006027498748, 235.49871913000243, 239.03528166597243, 242.39602833299432, 244.27791609498672, 246.16162388800876, 247.21546429599402, 248.2218531210092]","[0, 0, 334, 668, 1001, 1023, 1042, 1056, 1067, 1075, 1082, 1087, 1091]","[[], [], ['12580014', '18488986'], ['25738896', '12580014', '18488986'], ['25738896', '12580014', '18488986'], ['25738896', '12580014', '18488986'], ['25738896', '12580014', '18488986'], ['25738896', '12580014', '18488986'], ['25738896', '12580014', '18488986'], ['15707049', '12580014', '18488986', '39559521', '3952288', '25738896'], ['15707049', '12580014', '18488986', '39559521', '3952288', '25738896'], ['15707049', '12580014', '18488986', '39559521', '3952288', '25738896'], ['39559521', '301838', '8354687', '15707049', '12580014', '18488986', '3952288', '17844478', '25738896', '15405204']]"
9,51,"['45638119', '19358586', '43385013', '4889228', '7583725', '4429932', '11615422', '7821634', '24341590', '52180874']",364,87.74113050696906,"[0, 0, 0, 0, 7, 7, 7, 10]","[1000, 1000, 30, 18, 11, 8, 5, 0]","[0.0, 3.499002195894718e-05, 78.46800412598532, 81.8110884699854, 84.0499242169899, 85.16753193602199, 86.67205645301146, 87.74107749800896]","[0, 0, 334, 345, 352, 357, 361, 364]","[[], [], [], [], ['4889228', '7583725', '45638119', '19358586', '11615422', '24341590', '52180874'], ['4889228', '7583725', '45638119', '19358586', '11615422', '24341590', '52180874'], ['4889228', '7583725', '45638119', '19358586', '11615422', '24341590', '52180874'], ['45638119', '19358586', '43385013', '4889228', '7583725', '4429932', '11615422', '7821634', '24341590', '52180874']]"
