q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['121581019', '21456232', '31715818', '17388232', '94109411', '14192687', '19855358', '14893428', '23036207', '106301']",827,95.70445492700674,"[0, 0, 0, 0, 0, 0, 0, 9, 10]","[500, 500, 194, 70, 31, 17, 12, 3, 0]","[0.0, 1.4630029909312725e-05, 60.32300179003505, 80.42737190501066, 87.70554869802436, 91.68500685604522, 93.76045594003517, 95.13421618903521, 95.70441898301942]","[0, 0, 500, 694, 764, 795, 812, 824, 827]","[[], [], [], [], [], [], [], ['121581019', '21456232', '31715818', '17388232', '94109411', '19855358', '14893428', '23036207', '106301'], ['121581019', '21456232', '31715818', '17388232', '94109411', '14192687', '19855358', '14893428', '23036207', '106301']]"
1,3,"['2739854', '39465575', '1836154', '14019636', '23389795', '4414547', '3444507', '13777706', '14717500', '16172576']",1009,105.63291217701044,"[0, 0, 0, 0, 0, 0, 0, 10]","[500, 500, 251, 131, 74, 36, 17, 0]","[0.0, 1.6579986549913883e-05, 52.49138706899248, 79.34060782496817, 92.25872162095038, 100.37274230597541, 103.932286611991, 105.63287346699508]","[0, 0, 500, 751, 882, 956, 992, 1009]","[[], [], [], [], [], [], [], ['2739854', '39465575', '1836154', '14019636', '23389795', '4414547', '3444507', '13777706', '14717500', '16172576']]"
2,5,"['11349166', '13734012', '27063470', '43226130', '21550246', '1649738', '23124332', '18617259', '14823313', '29253460']",1011,116.65670771698933,"[0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 10]","[500, 500, 253, 125, 67, 31, 16, 12, 4, 3, 0]","[0.0, 1.512398011982441e-05, 51.95739573601168, 85.40991934901103, 100.00147244200343, 107.94546155398712, 111.8928268540185, 113.69702225498622, 115.26891189801972, 115.95108692499343, 116.65663673798554]","[0, 0, 500, 753, 878, 945, 976, 992, 1004, 1008, 1011]","[[], [], [], [], [], [], [], [], ['11349166', '13734012', '27063470', '43226130', '21550246', '23124332', '18617259', '14823313'], ['11349166', '13734012', '27063470', '43226130', '21550246', '23124332', '18617259', '14823313'], ['11349166', '13734012', '27063470', '43226130', '21550246', '1649738', '23124332', '18617259', '14823313', '29253460']]"
3,13,"['26611834', '49429882', '2425364', '1958440', '13770184', '35714909', '11360768', '33257464', '33740844', '1263446']",1031,133.71274731401354,"[0, 0, 3, 3, 3, 8, 10]","[500, 500, 497, 21, 9, 4, 0]","[0.0, 2.8763024602085352e-05, 68.7553239170229, 129.09557043999666, 131.69187681603944, 133.12575139803812, 133.71268465503817]","[0, 0, 500, 997, 1018, 1027, 1031]","[[], [], ['33740844', '1263446', '26611834'], ['33740844', '1263446', '26611834'], ['33740844', '1263446', '26611834'], ['26611834', '49429882', '2425364', '13770184', '35714909', '33257464', '33740844', '1263446'], ['26611834', '49429882', '2425364', '1958440', '13770184', '35714909', '11360768', '33257464', '33740844', '1263446']]"
4,36,"['16252863', '21636085', '27158570', '9813098', '3215494', '12130200', '3898784', '4442799', '18557974', '42441846']",626,71.5514818560332,"[0, 0, 0, 0, 10]","[500, 500, 82, 44, 0]","[0.0, 1.2714008335024118e-05, 55.097642448032275, 65.52377436298411, 71.55144050100353]","[0, 0, 500, 582, 626]","[[], [], [], [], ['16252863', '21636085', '27158570', '9813098', '3215494', '12130200', '3898784', '4442799', '18557974', '42441846']]"
5,42,"['9196472', '1522647', '12489688', '45218443', '27162821', '18174210', '195317463', '27889071', '13580614', '40913091']",940,113.62128201499581,"[0, 0, 0, 0, 0, 0, 0, 9, 10]","[500, 500, 240, 113, 49, 26, 11, 2, 0]","[0.0, 1.2381002306938171e-05, 61.35741881799186, 88.44758854794782, 102.00215622095857, 107.71235647296999, 111.4480863219942, 113.07553296396509, 113.62123657396296]","[0, 0, 500, 740, 853, 902, 928, 939, 940]","[[], [], [], [], [], [], [], ['9196472', '1522647', '12489688', '45218443', '18174210', '195317463', '27889071', '13580614', '40913091'], ['9196472', '1522647', '12489688', '45218443', '27162821', '18174210', '195317463', '27889071', '13580614', '40913091']]"
6,48,"['11349166', '8300657', '301866', '9977329', '1203035', '4883040', '20999249', '18617259', '5835149', '253672']",1006,114.49943892599549,"[0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 10]","[500, 500, 253, 126, 57, 36, 18, 11, 4, 2, 0]","[0.0, 2.0342995412647724e-05, 56.10197719698772, 82.81872777600074, 99.598710537015, 105.64627024898073, 109.43419537798036, 111.64855708798859, 113.2037254020106, 113.90353650902398, 114.49939229898155]","[0, 0, 500, 753, 879, 936, 972, 990, 1001, 1005, 1006]","[[], [], [], [], [], [], [], [], ['4883040', '20999249', '18617259', '8300657', '301866', '5835149', '9977329'], ['8300657', '301866', '9977329', '1203035', '4883040', '20999249', '18617259', '5835149', '253672'], ['11349166', '8300657', '301866', '9977329', '1203035', '4883040', '20999249', '18617259', '5835149', '253672']]"
7,49,"['1333643', '22362025', '5409325', '23913146', '3154880', '22623275', '7029990', '5702790', '5953485', '86602746']",1135,124.51554747100454,"[0, 0, 6, 6, 6, 6, 10]","[500, 500, 494, 91, 43, 7, 0]","[0.0, 1.276994589716196e-05, 55.73458715697052, 108.6104414369911, 118.59790677699493, 123.31243893795181, 124.51551575597841]","[0, 0, 500, 994, 1085, 1128, 1135]","[[], [], ['5409325', '1333643', '22362025', '23913146', '5953485', '86602746'], ['5409325', '1333643', '22362025', '23913146', '5953485', '86602746'], ['5409325', '1333643', '22362025', '23913146', '5953485', '86602746'], ['5409325', '1333643', '22362025', '23913146', '5953485', '86602746'], ['1333643', '22362025', '5409325', '23913146', '3154880', '22623275', '7029990', '5702790', '5953485', '86602746']]"
8,50,"['8354687', '13989491', '301838', '15405204', '17844478', '12580014', '3952288', '18488986', '39559521', '25738896']",1084,118.61100741499104,"[0, 0, 3, 3, 3, 8, 8, 9, 10]","[500, 500, 497, 40, 24, 19, 3, 2, 0]","[0.0, 1.807097578421235e-05, 55.43536446901271, 107.06735592399491, 112.44142644299427, 115.29025090998039, 117.50729240296641, 118.13847553398227, 118.61096172698308]","[0, 0, 500, 997, 1037, 1061, 1080, 1083, 1084]","[[], [], ['18488986', '12580014', '25738896'], ['18488986', '12580014', '25738896'], ['18488986', '12580014', '25738896'], ['301838', '15405204', '17844478', '12580014', '3952288', '18488986', '39559521', '25738896'], ['301838', '15405204', '17844478', '12580014', '3952288', '18488986', '39559521', '25738896'], ['8354687', '301838', '15405204', '17844478', '12580014', '3952288', '18488986', '39559521', '25738896'], ['8354687', '13989491', '301838', '15405204', '17844478', '12580014', '3952288', '18488986', '39559521', '25738896']]"
9,51,"['8963413', '19358586', '9394119', '45638119', '43385013', '7583725', '7821634', '20454006', '195680777', '13400643']",537,64.34429652499966,"[0, 0, 0, 5, 5, 10]","[500, 500, 18, 13, 6, 0]","[0.0, 1.4760007616132498e-05, 58.496343336999416, 60.99776971404208, 63.028767429990694, 64.34426523302682]","[0, 0, 500, 518, 531, 537]","[[], [], [], ['45638119', '43385013', '8963413', '7583725', '7821634'], ['45638119', '43385013', '8963413', '7583725', '7821634'], ['8963413', '19358586', '9394119', '45638119', '43385013', '7583725', '7821634', '20454006', '195680777', '13400643']]"
