q,qid,did,time
0,1,"['21456232', '17388232', '24177706', '719812', '15657779', '6190603', '7039855', '44801733', '12866641', '38143689']",554.0596108899917
1,3,"['14717500', '2739854', '4414547', '23389795', '4632921', '32181055', '13940200', '4378885', '13914198', '9650982']",393.02380728209386
2,5,"['18617259', '11349166', '21550246', '1583041', '23124332', '17333231', '38899659', '1292369', '695938', '12641252']",699.4619359220378
3,13,"['26611834', '35714909', '8529693', '17450673', '6323196', '11748341', '76463821', '23557241', '24594624', '56893404']",357.06077799294144
4,36,"['42441846', '18557974', '37424881', '33409100', '3215494', '16252863', '11705328', '21636085', '5152028', '12130200']",355.75318254192825
5,42,"['18174210', '45218443', '27162821', '25420421', '3952288', '29347970', '25985964', '40913091', '2842550', '20127522']",364.7522989599966
6,48,"['13734012', '11349166', '18617259', '27063470', '23203102', '695938', '253672', '7485455', '22309946', '2605032']",717.0940189029789
7,49,"['5953485', '5702790', '3154880', '7029990', '2619579', '23913146', '22362025', '1333643', '1354567', '31148090']",692.0027551749954
8,50,"['12580014', '25738896', '18488986', '301838', '39559521', '8354687', '15405204', '15707049', '13989491', '4561402']",366.54449244891293
9,51,"['45638119', '7583725', '7821634', '1171121', '24249915', '19358586', '16734530', '22482820', '12762485', '24349992']",355.60844607499894
10,53,"['45638119', '15113221', '16734530', '7583725', '19358586', '4889228', '21439640', '24349992', '12762485', '7821634']",353.89702290005516
11,54,"['49556906', '3973445', '24721866', '32408470', '23974474', '14874811', '9752604', '38533515', '1590744', '3504761']",352.031076858053
12,56,"['4709641', '11659421', '13814480', '18852643', '35777860', '51386222', '36637129', '13293033']",364.28992123296484
13,57,"['4709641', '11659421', '20937018', '18852643', '1122198', '30351165', '36637129', '970012', '23887844', '1727042']",363.793550470029
14,70,"['4414547', '5956380', '7225911', '11903247', '42489926', '28107602', '21307488', '36464673']",687.487429160974
15,72,"['6076903', '1031534', '14492964', '2682997', '35008773', '6625693', '26461066', '38380061', '1922901', '2147704']",351.42081417597365
16,75,"['4387784', '37768883', '13965483', '2837758', '36233757', '29214508', '25657127', '26488879', '22703082']",689.4670776259154
17,94,"['18025240', '1215116', '3929361', '4999387', '16787954', '30741007', '12991445', '32390525', '10883736', '3552753']",401.22189117991365
18,99,"['18810195', '8446259', '9875570', '18358026', '41314611', '23208167', '5760247', '39637840', '8856690', '41022628']",506.3216262890492
19,100,"['4381486', '14550841', '18374364', '30714190', '4421787', '13116880', '18909530', '92499', '11289247', '13980338']",364.22321507695597
20,113,"['6157837', '1759213', '25816994', '14584755', '43417006', '44030361', '14121786', '8318922', '3825750', '140098548']",359.9971798390616
21,115,"['33872649', '25677651', '3613041', '970012', '30122260', '11578459', '4942718', '25515907', '11117679', '7046487']",410.86660469695926
22,118,"['6372244', '4465735', '32454714', '52805891', '15578265', '31460499', '4695107', '21956124', '13714201', '52893592']",351.4554440609645
23,124,"['4883040', '7111021', '31363207', '13899137', '32012666', '1986482', '13071728', '44562058', '28806780', '31562330']",691.6363126389915
24,127,"['21598000', '35231675', '18126445', '7549811', '22029384', '34498093', '4926049', '10486817', '8093935', '3506723']",376.2045819100458
