q,qid,did,time
0,1,"['21456232', '15657779', '719812', '17388232', '7039855', '6190603', '44801733', '38143689', '24177706', '12866641']",558.1622290839441
1,3,"['14717500', '2739854', '23389795', '4632921', '4414547', '13914198', '13940200', '9650982', '4378885', '32181055']",393.7676521020475
2,5,"['18617259', '11349166', '21550246', '1583041', '23124332', '17333231', '695938', '1292369', '12641252', '38899659']",701.3922083359212
3,13,"['26611834', '8529693', '35714909', '6323196', '11748341', '23557241', '17450673', '24594624', '76463821', '56893404']",359.925463401014
4,36,"['42441846', '33409100', '12130200', '18557974', '3215494', '11705328', '21636085', '37424881', '5152028', '16252863']",358.48747789894696
5,42,"['18174210', '20127522', '40913091', '45218443', '3952288', '25985964', '25420421', '2842550', '27162821', '29347970']",365.21865148691
6,48,"['2605032', '13734012', '23203102', '27063470', '11349166', '18617259', '695938', '253672', '7485455', '22309946']",719.9210422170581
7,49,"['5953485', '7029990', '5702790', '23913146', '1333643', '22362025', '2619579', '3154880', '1354567', '31148090']",692.9149923529476
8,50,"['12580014', '18488986', '25738896', '39559521', '15405204', '8354687', '301838', '13989491', '4561402', '15707049']",367.15867010795046
9,51,"['45638119', '7583725', '7821634', '1171121', '24249915', '19358586', '12762485', '16734530', '22482820', '24349992']",357.42511042708065
10,53,"['45638119', '15113221', '7583725', '19358586', '21439640', '4889228', '7821634', '12762485', '16734530', '24349992']",356.2088209990179
11,54,"['49556906', '3973445', '24721866', '3504761', '32408470', '9752604', '23974474', '14874811', '1590744', '38533515']",353.7931926960591
12,56,"['4709641', '35777860', '11659421', '36637129', '18852643', '51386222', '13814480', '13293033']",366.0126135860337
13,57,"['4709641', '20937018', '11659421', '18852643', '30351165', '1122198', '36637129', '23887844', '1727042', '970012']",366.2035479119513
14,70,"['4414547', '5956380', '7225911', '36464673', '28107602', '42489926', '11903247', '21307488']",689.4555047969334
15,72,"['6076903', '1031534', '14492964', '35008773', '6625693', '26461066', '2682997', '38380061', '2147704', '1922901']",352.82997646392323
16,75,"['4387784', '36233757', '37768883', '13965483', '29214508', '2837758', '25657127', '26488879', '22703082']",691.5707301800139
17,94,"['1215116', '3929361', '18025240', '16787954', '30741007', '4999387', '3552753', '12991445', '10883736', '32390525']",403.427241686848
18,99,"['18810195', '8446259', '9875570', '23208167', '5760247', '18358026', '41022628', '41314611', '39637840', '8856690']",508.3835428130115
19,100,"['4381486', '14550841', '4421787', '30714190', '18374364', '13116880', '18909530', '92499', '11289247', '13980338']",366.61503846698906
20,113,"['6157837', '1759213', '25816994', '140098548', '44030361', '14121786', '43417006', '14584755', '8318922', '3825750']",361.4765993449837
21,115,"['33872649', '25677651', '25515907', '11578459', '30122260', '3613041', '970012', '7046487', '11117679', '4942718']",413.0239227860002
22,118,"['6372244', '4465735', '32454714', '52805891', '4695107', '31460499', '15578265', '21956124', '52893592', '13714201']",353.3140313018812
23,124,"['4883040', '7111021', '32012666', '31363207', '13899137', '1986482', '13071728', '44562058', '28806780', '31562330']",694.8356993800262
24,127,"['21598000', '35231675', '7549811', '18126445', '8093935', '22029384', '3506723', '4926049', '10486817', '34498093']",376.80933444807306
