q,qid,did,time
0,1,"['19651306', '14550841', '21456232', '3874000', '17338543', '17695748', '8185080', '19855358', '51952430', '121581019']",373.08021496198495
1,3,"['14717500', '23389795', '4378885', '13914198', '4632921', '19058822', '11532028', '15153602', '2739854', '4414547']",348.69757538499834
2,5,"['17333231', '18617259', '1583041', '24521894', '9272598', '86326468', '25738896', '28149602', '3883485', '19854744']",345.2236204400833
3,13,"['26611834', '33257464', '24594624', '6323196', '32776084', '7662395', '8529693', '11748341', '23557241', '17450673']",345.2842447679577
4,36,"['21636085', '5152028', '12130200', '18557974', '18256197', '16252863', '37424881', '42441846', '3215494', '11705328']",341.523039901047
5,42,"['39506601', '27889071', '14407673', '18174210', '45218443', '40913091', '32170702', '6315132', '27162821', '5107861']",344.537093817009
6,48,"['15879544', '18617259', '23531592', '1583041', '23203102', '27063470', '11349166', '24512064', '13734012', '3078080']",362.48221235192614
7,49,"['5702790', '18654430', '22871664', '22362025', '7029990', '5953485', '23913146', '5409325', '236204', '1333643']",341.203346130962
8,50,"['39559521', '2734421', '18488986', '15405204', '301838', '8354687', '25738896', '13989491', '12580014', '3952288']",356.14795615391637
9,51,"['19358586', '24249915', '38485364', '16734530', '1379127', '8963413', '7821634', '9600826', '7583725', '45638119']",364.12489828196703
10,53,"['7795952', '4889228', '7821634', '21439640', '24349992', '24249915', '19358586', '45638119', '7583725', '22482820']",342.1007290810521
11,54,"['49556906', '9752604', '3973445', '3419709', '24721866', '19313533', '23974474', '14874811', '3504761', '1590744']",341.3557735659852
12,56,"['18852643', '20937018', '4380451', '11659421', '30351165', '27588420', '4709641', '6054657', '1122198', '15945975']",344.77368387904426
13,57,"['19970015', '4709641', '35777860', '7426741', '6826100', '16375102', '16541762', '1605196', '11659421', '31882215']",345.12314972396416
14,70,"['42489926', '21557055', '7225911', '4414547', '27240699', '25901598', '5956380', '37204802', '4389394', '9483851']",407.911698255979
15,72,"['4920376', '9063688', '16546131', '1031534', '3981033', '24721866', '42080024', '14492964', '6076903', '15721252']",353.4061704269552
16,75,"['13965483', '38805486', '2837758', '25657127', '36233757', '26488879', '29214508', '14155726', '37768883', '4387784']",374.623405121034
17,94,"['3929361', '24082820', '3376731', '4999387', '5836', '1215116', '2831620', '29460384', '327319', '4465735']",344.93993233503716
18,99,"['22116439', '11615242', '6157371', '33912020', '41900731', '18810195', '14972169', '39389082', '25388309', '12265561']",358.8035862170509
19,100,"['30714190', '12871002', '18909530', '10015292', '14550841', '18374364', '4398832', '16108876', '4381486', '92499']",384.28075048497703
20,113,"['14121786', '4678846', '1759213', '14584755', '3825750', '2533768', '25816994', '140098548', '6157837', '26199970']",374.79061951900076
21,115,"['3692112', '15879544', '13070316', '36345578', '878526', '1234098', '1122279', '33872649', '3690068', '25677651']",393.8071225250169
22,118,"['15578265', '6372244', '26702468', '31460499', '4695107', '4465735', '32454714', '52805891', '3272084', '2604063']",377.925101601024
23,124,"['1986482', '13901073', '374902', '4883040', '7111021', '14319754', '31363207', '32012666', '13899137', '13071728']",375.97067949302436
24,127,"['21598000', '11674596', '30884033', '22029384', '293661', '35231675', '7549811', '1684489', '20368353', '18126445']",383.78496178502974
