q,qid,did,time
0,1,"['1065627', '4346436', '17388232', '23868856', '25435456', '18575183', '45199834', '306311', '2593298', '16057926']",1070.9552115980478
1,3,"['14717500', '23389795', '3672261', '4414547', '2107238', '4632921', '1388704', '17088791', '4378885', '32181055']",689.0412569750333
2,5,"['695938', '5835149', '42240424', '13030852', '23208167', '33339202', '520579', '34189936', '39481265', '5922085']",1040.0400285510113
3,13,"['8529693', '11748341', '17124832', '18537148', '12991445', '38735355', '4432763', '23369842', '24998764', '9588931']",644.318153424043
4,36,"['12130200', '18557974', '37424881', '4442799', '6525844', '43483151', '25028913', '4886637', '7011850', '15615957']",730.1637797989824
5,42,"['18174210', '9254550', '39903312', '40913091', '24088502', '28931537', '5107861', '27162821', '3215494', '5289038']",871.0866026839358
6,48,"['6250701', '24555878', '20459964', '3475317', '21186109', '3435889', '9291668', '39368721', '24241932', '24510595']",1011.2493287801044
7,49,"['4411760', '9091863', '9680193', '236204', '6264468', '18207615', '21373240', '20054396', '4162857', '14205246']",643.4442044140014
8,50,"['39559521', '13989491', '3952288', '15405204', '29785642', '17844478', '24249915', '3376731', '8702697', '952111']",799.0239527229569
9,51,"['43385013', '7583725', '19358586', '2931832', '24834968', '21439640', '22482820', '31311495', '12762485', '21307488']",623.7482684729621
10,53,"['45638119', '4889228', '7583725', '7795952', '19358586', '16734530', '22482820', '15600979', '24349992', '20333864']",687.2664723909402
11,54,"['49556906', '3973445', '32408470', '23974474', '3419709', '11535539', '9899292', '3684342', '20128547', '11884867']",644.7562487639952
12,56,"['4709641', '13814480', '22116439', '36637129', '1605196', '3583084', '9675944', '6544701', '8185080', '3773719']",718.0717155289894
13,57,"['4709641', '4459491', '11659421', '19970015', '13814480', '14434123', '36637129', '11674288', '6477740', '9675944']",705.2606916399964
14,70,"['7225911', '2582169', '28107602', '39637840', '42489926', '9483851', '6807122', '18489989', '994800', '17223891']",666.6042901350302
15,72,"['9185195', '6625693', '22500262', '40500438', '207972', '28712203', '25251625', '24554740', '8698857', '10491220']",1021.4495010880345
16,75,"['4387784', '13965483', '7465900', '41900731', '5966635', '799586', '12909503', '9680193', '24928817', '36089763']",893.8765224889503
17,94,"['18025240', '4418878', '1805641', '140098548', '23912923', '24634621', '9291668', '14566771', '4429118', '11420613']",747.5595470180269
18,99,"['38300781', '27615329', '20649327', '3155374', '11419230', '23208167', '14205246', '8087082', '31166180', '2151983']",915.8783592849503
19,100,"['6472746', '1944452', '25550665', '92499', '27910499', '12871002', '30658796', '21170174', '8148122', '13906892']",653.7701825909608
20,113,"['6157837', '25816994', '4678846', '3825750', '44030361', '14584755', '26025370', '24998764', '8318922', '45447613']",687.2859791019582
21,115,"['6421792', '14584755', '6250701', '8856690', '37207226', '32454714', '3462075', '5487448', '10703001', '695938']",1061.632909510954
22,118,"['6372244', '4465735', '20148808', '4695107', '3272084', '31460499', '46602807', '34603465', '11921405', '15578265']",601.9523043200315
23,124,"['7111021', '374902', '21878751', '31562330', '5137019', '20471181', '3493623', '22174015', '26731863', '17768946']",771.5669957360951
24,127,"['21598000', '7549811', '10189634', '20054396', '14205246', '16736883', '20368353', '16090672', '6472746', '17805221']",899.3598035679606
