qid,Recall@10,NDCG@10,time
1,0.6,0.5056427642465515,9661.991284611984
3,0.4,0.40348266660099286,6702.810148964985
5,0.6,0.7151857987862356,9343.901287521992
13,0.4,0.5388856921828065,6235.413758018985
36,0.6,0.715550648768261,6527.950784781948
42,0.6,0.6969383549984332,7430.666586808977
48,0.8,0.866947989864271,6491.8394640419865
49,0.5,0.5933607200949346,5686.545898472075
50,0.5,0.6177639991612475,5121.904611130012
51,0.4,0.4818998405251556,6935.972270577098
53,0.3,0.4537425745411855,7030.097509035026
54,0.7,0.7846170207230129,6333.932045656024
56,0.5,0.6168295842361274,7782.477808417985
57,0.4,0.47479014188018454,7915.620588095044
70,0.4,0.5352543167750639,6691.03297909
72,0.7,0.7849818707050383,9061.293745014002
75,0.7,0.7859162856301584,7653.131083713961
94,0.4,0.5271064966405455,6745.601056326064
99,0.2,0.30523488393970116,6307.202865853906
100,0.5,0.6274092458891772,7980.077449797071
