qid,Recall@10,NDCG@10,time
100,0.0,0.0,3514.916029385058
113,0.0,0.0,2605.612278896966
115,0.0,0.0,2143.634559029015
118,0.2,0.2489083270225946,2878.17852604494
124,0.0,0.0,2151.289937078953
127,0.0,0.0,2348.612246123957
75,0.0,0.0,2346.548785088933
94,0.0,0.0,2181.1640643120045
99,0.0,0.0,4487.134222885943
13,0.0,0.0,2172.742222856963
36,0.0,0.0,2248.068104180973
42,0.0,0.0,2586.4771588810254
48,0.0,0.0,1678.6896031200886
49,0.1,0.22009176629808017,1773.7661383710802
50,0.1,0.07336392209936005,2093.448679340072
51,0.0,0.0,2144.521340076928
53,0.1,0.09478836436955078,2301.5081610359484
54,0.0,0.0,2269.05411163799
56,0.1,0.09478836436955078,2065.646632404998
57,0.0,0.0,2887.8852302359883
70,0.2,0.15139734109601002,2648.413573757047
72,0.0,0.0,3918.513612532988
1,0.1,0.06362078819895171,3654.351350171026
3,0.0,0.0,2115.057639153092
