q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
11,54,"['14874811', '19313533', '3973445', '9752604', '1686997', '1590744', '32408470', '3504761', '24721866', '49556906']",2306,2705.5008662948385,"[0, 0, 10]","[5183, 5183, 0]","[0.0, 5.316105671226978e-05, 2705.50082182209]","[0, 0, 2306]","[[], [], ['14874811', '19313533', '3973445', '9752604', '1686997', '1590744', '32408470', '3504761', '24721866', '49556906']]"
12,56,"['36637129', '10273147', '42787108', '13293033', '11659421', '17150648', '18852643', '4709641', '19970015', '35777860']",2307,2706.925864142133,"[0, 0, 0, 10]","[5183, 5183, 16, 0]","[0.0, 5.946960300207138e-06, 2702.980222260114, 2706.9258387230802]","[0, 0, 2306, 2307]","[[], [], [], ['36637129', '10273147', '42787108', '13293033', '11659421', '17150648', '18852643', '4709641', '19970015', '35777860']]"
13,57,"['4632921', '2853685', '4505748', '20937018', '11659421', '18852643', '22116439', '4709641', '33986200', '21271817']",2324,2743.0674344007857,"[0, 0, 0, 10]","[5183, 5183, 51, 0]","[0.0, 5.519017577171326e-06, 2701.198405787116, 2743.0674045970663]","[0, 0, 2306, 2324]","[[], [], [], ['4632921', '2853685', '4505748', '20937018', '11659421', '18852643', '22116439', '4709641', '33986200', '21271817']]"
14,70,"['27949347', '4460880', '5254463', '21307488', '39637840', '7225911', '5956380', '37204802', '9169645', '4414547']",2307,2700.5512252238113,"[0, 0, 3, 10]","[5183, 5183, 10, 0]","[0.0, 5.942070856690407e-06, 2700.4725283079315, 2700.551189942984]","[0, 0, 2306, 2307]","[[], [], ['7225911', '5956380', '4414547'], ['27949347', '4460880', '5254463', '21307488', '39637840', '7225911', '5956380', '37204802', '9169645', '4414547']]"
15,72,"['14492964', '11844826', '10937190', '7225911', '6076903', '35008773', '1031534', '14296612', '6259170', '38380061']",3198,3794.6042454577982,"[0, 0, 9, 9, 10]","[5183, 5183, 1986, 34, 0]","[0.0, 6.697839125990868e-06, 2700.446355837863, 3752.6434032230172, 3794.6042053119745]","[0, 0, 2306, 3188, 3198]","[[], [], ['14492964', '11844826', '10937190', '7225911', '6076903', '35008773', '1031534', '6259170', '38380061'], ['14492964', '11844826', '10937190', '7225911', '6076903', '35008773', '1031534', '6259170', '38380061'], ['14492964', '11844826', '10937190', '7225911', '6076903', '35008773', '1031534', '14296612', '6259170', '38380061']]"
16,75,"['25657127', '37768883', '2837758', '29214508', '36233757', '38805486', '26488879', '22703082', '13965483', '4387784']",2307,2698.073773331009,"[0, 0, 8, 10]","[5183, 5183, 4, 0]","[0.0, 7.861992344260216e-06, 2697.0515863660257, 2698.0737402429804]","[0, 0, 2306, 2307]","[[], [], ['37768883', '2837758', '29214508', '36233757', '38805486', '26488879', '13965483', '4387784'], ['25657127', '37768883', '2837758', '29214508', '36233757', '38805486', '26488879', '22703082', '13965483', '4387784']]"
17,94,"['7370282', '44629665', '19565018', '22431418', '6503185', '22635278', '1215116', '20428155', '19419439', '10128893']",2607,3079.1390006169677,"[0, 0, 0, 0, 0, 10]","[5183, 5183, 593, 56, 25, 0]","[0.0, 6.671063601970673e-06, 2700.06551885698, 3009.467355875997, 3051.4442531999666, 3079.1389580881223]","[0, 0, 2306, 2572, 2598, 2607]","[[], [], [], [], [], ['7370282', '44629665', '19565018', '22431418', '6503185', '22635278', '1215116', '20428155', '19419439', '10128893']]"
18,99,"['9875570', '41314611', '27840664', '15778034', '30379039', '7878807', '20620012', '9732010', '17702490', '18810195']",2921,3487.088992553996,"[0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 1179, 191, 32, 12, 0]","[0.0, 7.411930710077286e-06, 2698.9418253619224, 3328.6834689839743, 3445.3877158691175, 3484.170478180982, 3487.088957838947]","[0, 0, 2306, 2828, 2910, 2920, 2921]","[[], [], [], [], [], [], ['9875570', '41314611', '27840664', '15778034', '30379039', '7878807', '20620012', '9732010', '17702490', '18810195']]"
19,100,"['14550841', '2701077', '13116880', '92499', '18374364', '18909530', '4381486', '10015292', '30714190', '12804937']",2325,2744.8859518789686,"[0, 0, 5, 9, 10]","[5183, 5183, 36, 11, 0]","[0.0, 1.0051997378468513e-05, 2699.8048240719363, 2742.1684285849333, 2744.885910955025]","[0, 0, 2306, 2324, 2325]","[[], [], ['92499', '30714190', '13116880', '18374364', '4381486'], ['2701077', '13116880', '92499', '18374364', '18909530', '4381486', '10015292', '30714190', '12804937'], ['14550841', '2701077', '13116880', '92499', '18374364', '18909530', '4381486', '10015292', '30714190', '12804937']]"
20,113,"['43417006', '44030361', '3825750', '8318922', '14121786', '14584755', '21767325', '1759213', '6157837', '25816994']",2316,2738.297447837889,"[0, 0, 0, 10]","[5183, 5183, 33, 0]","[0.0, 1.1075055226683617e-05, 2698.0440970561467, 2738.2974163859617]","[0, 0, 2306, 2316]","[[], [], [], ['43417006', '44030361', '3825750', '8318922', '14121786', '14584755', '21767325', '1759213', '6157837', '25816994']]"
21,115,"['12561083', '10982689', '33872649', '11880289', '26025370', '25677651', '32462603', '10365749', '45461275', '16787954']",2595,3084.192572679138,"[0, 0, 0, 2, 2, 2, 2, 10]","[5183, 5183, 374, 132, 95, 59, 13, 0]","[0.0, 6.139976903796196e-06, 2704.173141821986, 2895.4248887980357, 2974.6179464890156, 3038.5427475399338, 3080.8435340120923, 3084.1925351459067]","[0, 0, 2306, 2468, 2526, 2568, 2594, 2595]","[[], [], [], ['25677651', '33872649'], ['25677651', '33872649'], ['25677651', '33872649'], ['25677651', '33872649'], ['12561083', '10982689', '33872649', '11880289', '26025370', '25677651', '32462603', '10365749', '45461275', '16787954']]"
22,118,"['52893592', '15578265', '4465735', '34603465', '52805891', '41120293', '31460499', '6372244', '4695107', '32454714']",2306,2698.633426123997,"[0, 0, 10]","[5183, 5183, 0]","[0.0, 1.03760976344347e-05, 2698.63339346298]","[0, 0, 2306]","[[], [], ['52893592', '15578265', '4465735', '34603465', '52805891', '41120293', '31460499', '6372244', '4695107', '32454714']]"
23,124,"['31363207', '2274272', '13899137', '374902', '4883040', '1986482', '32012666', '44562058', '13901073', '7111021']",2307,2703.7334635308944,"[0, 0, 8, 10]","[5183, 5183, 12, 0]","[0.0, 8.2340557128191e-06, 2700.3758737561293, 2703.733423017198]","[0, 0, 2306, 2307]","[[], [], ['31363207', '13899137', '374902', '4883040', '1986482', '32012666', '13901073', '7111021'], ['31363207', '2274272', '13899137', '374902', '4883040', '1986482', '32012666', '44562058', '13901073', '7111021']]"
24,127,"['6163801', '3765739', '21943141', '20381484', '10247314', '35231675', '7549811', '21598000', '7878807', '17934082']",2373,2777.991699618986,"[0, 0, 7, 7, 10]","[5183, 5183, 155, 4, 0]","[0.0, 5.7229772210121155e-06, 2697.5675773569383, 2777.0123752399813, 2777.9916616149712]","[0, 0, 2306, 2372, 2373]","[[], [], ['35231675', '6163801', '20381484', '7549811', '21598000', '21943141', '17934082'], ['35231675', '6163801', '20381484', '7549811', '21598000', '21943141', '17934082'], ['6163801', '3765739', '21943141', '20381484', '10247314', '35231675', '7549811', '21598000', '7878807', '17934082']]"
