q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['59453688', '36233757', '997143', '121581019', '9730755', '21456232', '9507605', '16736883', '3847200', '25079962']",935,1113.6489686060231,"[0, 0, 0, 0, 3, 3, 3, 10]","[5183, 5183, 2243, 881, 365, 77, 14, 0]","[0.0, 5.074602086097002e-05, 653.4177683979506, 937.7818564859917, 1051.9954631109722, 1099.9935782549437, 1110.1097731069895, 1113.648927754024]","[0, 0, 548, 786, 882, 924, 934, 935]","[[], [], [], [], ['59453688', '121581019', '21456232'], ['59453688', '121581019', '21456232'], ['59453688', '121581019', '21456232'], ['59453688', '36233757', '997143', '121581019', '9730755', '21456232', '9507605', '16736883', '3847200', '25079962']]"
1,3,"['13914198', '4378885', '32181055', '23389795', '1388704', '1544804', '4632921', '2739854', '4414547', '14717500']",609,732.562737567001,"[0, 0, 0, 0, 5, 10]","[5183, 5183, 496, 31, 14, 0]","[0.0, 9.14291013032198e-06, 651.8278593959985, 718.7942862809869, 728.9140840689652, 732.5627003299305]","[0, 0, 548, 602, 608, 609]","[[], [], [], [], ['4414547', '23389795', '1388704', '14717500', '2739854'], ['13914198', '4378885', '32181055', '23389795', '1388704', '1544804', '4632921', '2739854', '4414547', '14717500']]"
2,5,"['18617259', '1583041', '17333231', '13734012', '34338075', '4416964', '46695481', '35186640', '15678772', '3898784']",917,1092.6721621679608,"[0, 0, 0, 0, 0, 10]","[5183, 5183, 2850, 598, 15, 0]","[0.0, 8.25605820864439e-06, 651.0522268230561, 1012.5170285720378, 1088.910017141956, 1092.6721238669707]","[0, 0, 548, 850, 916, 917]","[[], [], [], [], [], ['18617259', '1583041', '17333231', '13734012', '34338075', '4416964', '46695481', '35186640', '15678772', '3898784']]"
3,13,"['23557241', '27123743', '1958440', '17450673', '8529693', '26611834', '32776084', '11748341', '33740844', '70455704']",560,664.8476806889521,"[0, 0, 4, 10]","[5183, 5183, 86, 0]","[0.0, 1.1691008694469929e-05, 650.3883605439914, 664.847648281022]","[0, 0, 548, 560]","[[], [], ['32776084', '8529693', '26611834', '17450673'], ['23557241', '27123743', '1958440', '17450673', '8529693', '26611834', '32776084', '11748341', '33740844', '70455704']]"
4,36,"['37424881', '18557974', '16252863', '5152028', '11705328', '33409100', '42441846', '3215494', '12130200', '21636085']",549,654.3113833860261,"[0, 0, 0, 10]","[5183, 5183, 14, 0]","[0.0, 7.756054401397705e-06, 650.7822889790405, 654.3113489460666]","[0, 0, 548, 549]","[[], [], [], ['37424881', '18557974', '16252863', '5152028', '11705328', '33409100', '42441846', '3215494', '12130200', '21636085']]"
5,42,"['4449524', '18174210', '6315132', '8385277', '10128893', '40913091', '42373943', '45218443', '10530014', '5107861']",757,900.919404375949,"[0, 0, 0, 0, 0, 10]","[5183, 5183, 1468, 450, 18, 0]","[0.0, 1.0531977750360966e-05, 649.9427522250917, 839.1428732910426, 896.5418755670544, 900.9193577800179]","[0, 0, 548, 706, 756, 757]","[[], [], [], [], [], ['4449524', '18174210', '6315132', '8385277', '10128893', '40913091', '42373943', '45218443', '10530014', '5107861']]"
6,48,"['20610390', '18617259', '4828631', '16495649', '2052720', '3078080', '23203102', '29955650', '13734012', '26124606']",923,1098.7480126420269,"[0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 1788, 979, 470, 145, 49, 17, 0]","[0.0, 7.71600753068924e-06, 649.6936100820312, 876.8461724470835, 1000.5154489080887, 1064.8945826520212, 1084.4740404990735, 1094.6182197510498, 1098.7479466850637]","[0, 0, 548, 738, 844, 896, 914, 922, 923]","[[], [], [], [], [], [], [], [], ['20610390', '18617259', '4828631', '16495649', '2052720', '3078080', '23203102', '29955650', '13734012', '26124606']]"
7,49,"['1333643', '12582729', '7029990', '2619579', '15590539', '32324430', '5953485', '2000038', '22362025', '5702790']",549,653.1406132139964,"[0, 0, 3, 10]","[5183, 5183, 15, 0]","[0.0, 1.0523013770580292e-05, 649.3358671580208, 653.1405801830115]","[0, 0, 548, 549]","[[], [], ['22362025', '5702790', '5953485'], ['1333643', '12582729', '7029990', '2619579', '15590539', '32324430', '5953485', '2000038', '22362025', '5702790']]"
8,50,"['18488986', '12580014', '39559521', '15405204', '13989491', '8354687', '4561402', '10162553', '25738896', '3952288']",597,707.5113307109568,"[0, 0, 3, 3, 3, 10]","[5183, 5183, 342, 60, 10, 0]","[0.0, 7.078051567077637e-06, 649.423496318981, 697.3142083559651, 707.4257443930255, 707.5112955210498]","[0, 0, 548, 586, 596, 597]","[[], [], ['12580014', '18488986', '25738896'], ['12580014', '18488986', '25738896'], ['12580014', '18488986', '25738896'], ['18488986', '12580014', '39559521', '15405204', '13989491', '8354687', '4561402', '10162553', '25738896', '3952288']]"
9,51,"['45638119', '19358586', '7583725', '12762485', '31311495', '8963413', '34066665', '24249915', '7821634', '20183360']",549,653.2916599159362,"[0, 0, 0, 10]","[5183, 5183, 16, 0]","[0.0, 8.728005923330784e-06, 649.3512448919937, 653.2916253509466]","[0, 0, 548, 549]","[[], [], [], ['45638119', '19358586', '7583725', '12762485', '31311495', '8963413', '34066665', '24249915', '7821634', '20183360']]"
10,53,"['45638119', '19358586', '12762485', '7795952', '21439640', '4820792', '25973484', '4889228', '7583725', '15946643']",549,653.7479049150134,"[0, 0, 0, 10]","[5183, 5183, 13, 0]","[0.0, 7.550930604338646e-06, 650.2942651119083, 653.74786592694]","[0, 0, 548, 549]","[[], [], [], ['45638119', '19358586', '12762485', '7795952', '21439640', '4820792', '25973484', '4889228', '7583725', '15946643']]"
11,54,"['23974474', '7005276', '3419709', '24721866', '9899292', '3973445', '14874811', '32408470', '49556906', '38533515']",553,664.6876644390868,"[0, 0, 0, 0, 10]","[5183, 5183, 21, 16, 0]","[0.0, 8.485978469252586e-06, 650.4869979909854, 660.6997047420591, 664.6876310650259]","[0, 0, 548, 552, 553]","[[], [], [], [], ['23974474', '7005276', '3419709', '24721866', '9899292', '3973445', '14874811', '32408470', '49556906', '38533515']]"
12,56,"['1122198', '17702490', '13814480', '1605196', '30351165', '18852643', '11659421', '23887844', '4709641', '14434123']",557,661.4229130559834,"[0, 0, 0, 6, 10]","[5183, 5183, 58, 10, 0]","[0.0, 6.68293796479702e-06, 651.1424351310125, 661.3300134829478, 661.4228781469865]","[0, 0, 548, 556, 557]","[[], [], [], ['1122198', '30351165', '18852643', '11659421', '14434123', '4709641'], ['1122198', '17702490', '13814480', '1605196', '30351165', '18852643', '11659421', '23887844', '4709641', '14434123']]"
13,57,"['1122198', '13814480', '30351165', '14192687', '11659421', '18852643', '4709641', '37205759', '36637129', '33986200']",559,664.2686931510689,"[0, 0, 0, 0, 10]","[5183, 5183, 73, 14, 0]","[0.0, 7.689930498600006e-06, 650.480948864948, 660.6609650600003, 664.2686576870037]","[0, 0, 548, 558, 559]","[[], [], [], [], ['1122198', '13814480', '30351165', '14192687', '11659421', '18852643', '4709641', '37205759', '36637129', '33986200']]"
14,70,"['14367469', '7225911', '39637840', '37204802', '5956380', '2582169', '4414547', '26059876', '21307488', '9169645']",549,653.8203679759754,"[0, 0, 0, 10]","[5183, 5183, 13, 0]","[0.0, 8.061062544584274e-06, 650.4062461160356, 653.8203340410255]","[0, 0, 548, 549]","[[], [], [], ['14367469', '7225911', '39637840', '37204802', '5956380', '2582169', '4414547', '26059876', '21307488', '9169645']]"
15,72,"['24294572', '29073751', '23974474', '9185195', '1031534', '6625693', '4662264', '24721866', '19565018', '6076903']",873,1036.2776799390558,"[0, 0, 0, 0, 0, 4, 4, 10]","[5183, 5183, 2138, 679, 108, 41, 10, 0]","[0.0, 5.54998405277729e-06, 651.264233617927, 920.663709126995, 1006.485071017989, 1026.1143506809603, 1036.2003842699341, 1036.277647477924]","[0, 0, 548, 776, 850, 864, 872, 873]","[[], [], [], [], [], ['1031534', '6625693', '24721866', '6076903'], ['1031534', '6625693', '24721866', '6076903'], ['24294572', '29073751', '23974474', '9185195', '1031534', '6625693', '4662264', '24721866', '19565018', '6076903']]"
16,75,"['36233757', '20330519', '29214508', '26488879', '22703082', '2837758', '13965483', '4387784', '1616661', '38805486']",783,929.790147155989,"[0, 0, 0, 0, 0, 8, 10]","[5183, 5183, 1426, 686, 44, 16, 0]","[0.0, 1.1201947927474976e-05, 650.1196693379898, 830.1974831810221, 915.7047517269384, 925.8254550209967, 929.7900850629667]","[0, 0, 548, 700, 774, 782, 783]","[[], [], [], [], [], ['36233757', '20330519', '26488879', '22703082', '2837758', '4387784', '1616661', '38805486'], ['36233757', '20330519', '29214508', '26488879', '22703082', '2837758', '13965483', '4387784', '1616661', '38805486']]"
17,94,"['7370282', '5254741', '1215116', '42373943', '2565138', '10617916', '8756719', '27567994', '32012666', '17327939']",635,758.5217977650464,"[0, 0, 0, 0, 0, 10]","[5183, 5183, 714, 44, 11, 0]","[0.0, 9.277951903641224e-06, 650.2282772050239, 745.4446239910321, 755.7080440450227, 758.5217684200034]","[0, 0, 548, 626, 634, 635]","[[], [], [], [], [], ['7370282', '5254741', '1215116', '42373943', '2565138', '10617916', '8756719', '27567994', '32012666', '17327939']]"
18,99,"['18810195', '4423220', '24177706', '23208167', '23959496', '9614443', '37204802', '3446400', '30379039', '23269537']",801,953.9592141109752,"[0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 1679, 395, 161, 59, 14, 0]","[0.0, 8.382950909435749e-06, 650.4400278310059, 861.616053149919, 916.5778439239366, 940.2172368249157, 950.3727084499551, 953.9590685949661]","[0, 0, 548, 728, 772, 792, 800, 801]","[[], [], [], [], [], [], [], ['18810195', '4423220', '24177706', '23208167', '23959496', '9614443', '37204802', '3446400', '30379039', '23269537']]"
19,100,"['4381486', '13980338', '21793890', '14550841', '18374364', '25550665', '4398832', '10015292', '30714190', '16728949']",633,750.2641150169075,"[0, 0, 0, 3, 3, 3, 10]","[5183, 5183, 609, 76, 47, 12, 0]","[0.0, 1.0274001397192478e-05, 650.8913792190142, 727.1421609169338, 737.2567632399732, 747.3691163540352, 750.264070449979]","[0, 0, 548, 614, 624, 632, 633]","[[], [], [], ['4381486', '14550841', '30714190'], ['4381486', '14550841', '30714190'], ['4381486', '14550841', '30714190'], ['4381486', '13980338', '21793890', '14550841', '18374364', '25550665', '4398832', '10015292', '30714190', '16728949']]"
20,113,"['3825750', '44030361', '8318922', '25816994', '14121786', '43417006', '14584755', '27665523', '6157837', '1759213']",559,665.3499892229447,"[0, 0, 0, 0, 10]","[5183, 5183, 73, 17, 0]","[0.0, 1.0755960829555988e-05, 650.7978224949911, 661.208508754964, 665.3499410039512]","[0, 0, 548, 558, 559]","[[], [], [], [], ['3825750', '44030361', '8318922', '25816994', '14121786', '43417006', '14584755', '27665523', '6157837', '1759213']]"
21,115,"['33872649', '11837657', '3690068', '28712203', '195689757', '25315295', '19756935', '11441172', '25677651', '8063697']",881,1041.897022966994,"[0, 0, 0, 0, 0, 10]","[5183, 5183, 2273, 829, 13, 0]","[0.0, 8.036964572966099e-06, 650.1453869399847, 933.9647552500246, 1038.4605094779981, 1041.8969824790256]","[0, 0, 548, 790, 880, 881]","[[], [], [], [], [], ['33872649', '11837657', '3690068', '28712203', '195689757', '25315295', '19756935', '11441172', '25677651', '8063697']]"
