q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['26047921', '10991183', '39291138', '9122283', '21456232', '1922901', '14550841', '17388232', '4373445', '6219790']",2054,2453.2904450759524,"[0, 0, 0, 3, 3, 10]","[5183, 5183, 2745, 262, 49, 0]","[0.0, 4.171102773398161e-05, 1547.625415625982, 2356.532958525, 2435.6918638269417, 2453.2904127619695]","[0, 0, 1294, 1979, 2043, 2054]","[[], [], [], ['17388232', '21456232', '1922901'], ['17388232', '21456232', '1922901'], ['26047921', '10991183', '39291138', '9122283', '21456232', '1922901', '14550841', '17388232', '4373445', '6219790']]"
1,3,"['13914198', '18639989', '14717500', '9705208', '42377686', '2739854', '23389795', '6947286', '19736671', '4414547']",1356,1602.6423705649795,"[0, 0, 0, 0, 10]","[5183, 5183, 250, 11, 0]","[0.0, 6.7659420892596245e-06, 1525.3179766610265, 1599.858424718026, 1602.6423417709302]","[0, 0, 1294, 1355, 1356]","[[], [], [], [], ['13914198', '18639989', '14717500', '9705208', '42377686', '2739854', '23389795', '6947286', '19736671', '4414547']]"
2,5,"['19327364', '42240424', '13734012', '3078080', '21550246', '18617259', '11349166', '17333231', '23124332', '1583041']",1294,1530.6063129219692,"[0, 0, 10]","[5183, 5183, 0]","[0.0, 6.931019015610218e-06, 1530.6062671369873]","[0, 0, 1294]","[[], [], ['19327364', '42240424', '13734012', '3078080', '21550246', '18617259', '11349166', '17333231', '23124332', '1583041']]"
3,13,"['23557241', '11748341', '8529693', '17450673', '38028419', '7662395', '28633594', '6323196', '33257464', '26611834']",1300,1517.3332397659542,"[0, 0, 3, 10]","[5183, 5183, 29, 0]","[0.0, 7.105991244316101e-06, 1508.4668510099873, 1517.3331920240307]","[0, 0, 1294, 1300]","[[], [], ['33257464', '7662395', '26611834'], ['23557241', '11748341', '8529693', '17450673', '38028419', '7662395', '28633594', '6323196', '33257464', '26611834']]"
4,36,"['42441846', '12130200', '21636085', '3215494', '16252863', '11705328', '33409100', '18557974', '5152028', '37424881']",1295,1514.733158098068,"[0, 0, 0, 10]","[5183, 5183, 11, 0]","[0.0, 8.414965122938156e-06, 1511.7812523479806, 1514.733120696037]","[0, 0, 1294, 1295]","[[], [], [], ['42441846', '12130200', '21636085', '3215494', '16252863', '11705328', '33409100', '18557974', '5152028', '37424881']]"
5,42,"['18174210', '42373943', '27162821', '25830701', '6315132', '8083310', '40913091', '39506601', '45218443', '4449524']",1303,1528.8378330329433,"[0, 0, 0, 8, 10]","[5183, 5183, 40, 7, 0]","[0.0, 5.5480049923062325e-06, 1513.8785336310975, 1527.3157992550405, 1528.837801551097]","[0, 0, 1294, 1302, 1303]","[[], [], [], ['18174210', '25830701', '6315132', '8083310', '40913091', '39506601', '45218443', '4449524'], ['18174210', '42373943', '27162821', '25830701', '6315132', '8083310', '40913091', '39506601', '45218443', '4449524']]"
6,48,"['13734012', '5260382', '1642727', '3078080', '21550246', '18617259', '11349166', '1292369', '27063470', '23203102']",1564,1836.484758849023,"[0, 0, 8, 8, 8, 8, 10]","[5183, 5183, 914, 141, 40, 11, 0]","[0.0, 8.072005584836006e-06, 1509.2362334119389, 1778.3189559719758, 1820.0243826790247, 1833.4626851240173, 1836.4847145589301]","[0, 0, 1294, 1521, 1555, 1563, 1564]","[[], [], ['13734012', '3078080', '21550246', '18617259', '11349166', '1292369', '27063470', '23203102'], ['13734012', '3078080', '21550246', '18617259', '11349166', '1292369', '27063470', '23203102'], ['13734012', '3078080', '21550246', '18617259', '11349166', '1292369', '27063470', '23203102'], ['13734012', '3078080', '21550246', '18617259', '11349166', '1292369', '27063470', '23203102'], ['13734012', '5260382', '1642727', '3078080', '21550246', '18617259', '11349166', '1292369', '27063470', '23203102']]"
7,49,"['16346504', '2613813', '22362025', '2619579', '1333643', '5953485', '3154880', '5702790', '23913146', '5409325']",1295,1516.27310502599,"[0, 0, 7, 10]","[5183, 5183, 7, 0]","[0.0, 1.1647003702819347e-05, 1514.743117467966, 1516.2730747290188]","[0, 0, 1294, 1295]","[[], [], ['16346504', '1333643', '5953485', '3154880', '5702790', '22362025', '23913146'], ['16346504', '2613813', '22362025', '2619579', '1333643', '5953485', '3154880', '5702790', '23913146', '5409325']]"
8,50,"['18488986', '301838', '13989491', '2734421', '15405204', '32906513', '25738896', '1583134', '12580014', '39559521']",1345,1599.2426175649744,"[0, 0, 3, 9, 10]","[5183, 5183, 166, 50, 0]","[0.0, 6.54999166727066e-06, 1530.2790640660096, 1581.4670404240023, 1599.2425860939547]","[0, 0, 1294, 1334, 1345]","[[], [], ['18488986', '12580014', '25738896'], ['18488986', '13989491', '2734421', '15405204', '32906513', '25738896', '1583134', '12580014', '39559521'], ['18488986', '301838', '13989491', '2734421', '15405204', '32906513', '25738896', '1583134', '12580014', '39559521']]"
9,51,"['45143088', '11900630', '7821634', '15113221', '4702639', '45638119', '15832146', '19358586', '7583725', '24349992']",1305,1533.9104396089679,"[0, 0, 0, 8, 10]","[5183, 5183, 48, 10, 0]","[0.0, 1.0696006938815117e-05, 1520.3596037899842, 1533.8441585069522, 1533.9104060579557]","[0, 0, 1294, 1304, 1305]","[[], [], [], ['7821634', '15113221', '4702639', '45638119', '15832146', '19358586', '7583725', '24349992'], ['45143088', '11900630', '7821634', '15113221', '4702639', '45638119', '15832146', '19358586', '7583725', '24349992']]"
