q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['927561', '6219790', '121581019', '5116145', '21456232', '17388232', '23403754', '18678095', '4346436', '12588500']",650,783.2220043350244,"[0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 1975, 417, 64, 42, 17, 0]","[0.0, 4.486890975385904e-05, 520.7227624509251, 717.0381608169992, 761.746579553932, 772.2541010259883, 779.0452950689942, 783.2219706739997]","[0, 0, 434, 600, 637, 644, 649, 650]","[[], [], [], [], [], [], [], ['927561', '6219790', '121581019', '5116145', '21456232', '17388232', '23403754', '18678095', '4346436', '12588500']]"
1,3,"['4632921', '23389795', '2739854', '17088791', '14717500', '9196472', '4414547', '32181055', '3672261', '4378885']",456,545.6607086079894,"[0, 0, 0, 0, 8, 10]","[5183, 5183, 180, 30, 3, 0]","[0.0, 9.4299903139472e-06, 517.1141982409172, 538.1238486159127, 545.0032847839175, 545.6606714269146]","[0, 0, 434, 451, 455, 456]","[[], [], [], [], ['4632921', '23389795', '2739854', '17088791', '14717500', '9196472', '4414547', '3672261'], ['4632921', '23389795', '2739854', '17088791', '14717500', '9196472', '4414547', '32181055', '3672261', '4378885']]"
2,5,"['15879544', '3078080', '1583041', '18617259', '13734012', '11349166', '695938', '6415816', '17333231', '1292369']",589,703.2133969169809,"[0, 0, 7, 7, 10]","[5183, 5183, 1821, 11, 0]","[0.0, 1.1748983524739742e-05, 516.4528558580205, 699.7749817139702, 703.2133701160783]","[0, 0, 434, 588, 589]","[[], [], ['11349166', '15879544', '6415816', '695938', '1583041', '18617259', '13734012'], ['11349166', '15879544', '6415816', '695938', '1583041', '18617259', '13734012'], ['15879544', '3078080', '1583041', '18617259', '13734012', '11349166', '695938', '6415816', '17333231', '1292369']]"
3,13,"['8842332', '23557241', '11748341', '17450673', '49429882', '24269361', '16322674', '6323196', '8529693', '7662395']",438,520.4673660160042,"[0, 0, 0, 10]","[5183, 5183, 25, 0]","[0.0, 1.0553980246186256e-05, 512.8283361329231, 520.4673329129582]","[0, 0, 434, 438]","[[], [], [], ['8842332', '23557241', '11748341', '17450673', '49429882', '24269361', '16322674', '6323196', '8529693', '7662395']]"
4,36,"['18256197', '21636085', '42441846', '18557974', '11705328', '12130200', '33409100', '3215494', '16252863', '37424881']",435,520.3625516339671,"[0, 0, 0, 10]","[5183, 5183, 13, 0]","[0.0, 7.938011549413204e-06, 517.0630962490104, 520.3625241509872]","[0, 0, 434, 435]","[[], [], [], ['18256197', '21636085', '42441846', '18557974', '11705328', '12130200', '33409100', '3215494', '16252863', '37424881']]"
5,42,"['45218443', '10530014', '27889071', '40913091', '8385277', '8083310', '6315132', '18174210', '5836', '26474812']",574,687.0867133409483,"[0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 1105, 377, 72, 30, 20, 0]","[0.0, 9.92300920188427e-06, 512.5511496810941, 623.830067286035, 663.9381941400934, 675.339913085103, 682.3225716820452, 687.0866718450561]","[0, 0, 434, 528, 561, 569, 573, 574]","[[], [], [], [], [], [], [], ['45218443', '10530014', '27889071', '40913091', '8385277', '8083310', '6315132', '18174210', '5836', '26474812']]"
6,48,"['1215116', '15879544', '27063470', '18617259', '1583041', '13734012', '11349166', '9272598', '23203102', '12442311']",566,675.4886601970065,"[0, 0, 4, 4, 4, 6, 6, 10]","[5183, 5183, 1213, 173, 58, 34, 15, 0]","[0.0, 8.619972504675388e-06, 512.0807514949702, 635.8956915449817, 657.7454803370638, 664.7616512830136, 671.7279797890224, 675.4886059439741]","[0, 0, 434, 537, 553, 560, 565, 566]","[[], [], ['11349166', '18617259', '23203102', '27063470'], ['11349166', '18617259', '23203102', '27063470'], ['11349166', '18617259', '23203102', '27063470'], ['11349166', '23203102', '27063470', '18617259', '13734012', '12442311'], ['11349166', '23203102', '27063470', '18617259', '13734012', '12442311'], ['1215116', '15879544', '27063470', '18617259', '1583041', '13734012', '11349166', '9272598', '23203102', '12442311']]"
7,49,"['23913146', '21601459', '10024681', '7029990', '22362025', '5702790', '1333643', '12040627', '5953485', '5409325']",434,513.4354026049841,"[0, 0, 10]","[5183, 5183, 0]","[0.0, 1.3921060599386692e-05, 513.4353602810297]","[0, 0, 434]","[[], [], ['23913146', '21601459', '10024681', '7029990', '22362025', '5702790', '1333643', '12040627', '5953485', '5409325']]"
8,50,"['25738896', '3952288', '301838', '39559521', '15405204', '4561402', '13989491', '18488986', '12580014', '2734421']",455,540.0610305969603,"[0, 0, 2, 3, 9, 10]","[5183, 5183, 144, 49, 3, 0]","[0.0, 7.196911610662937e-06, 516.1078986949287, 532.5190094920108, 539.4638256779872, 540.060993299936]","[0, 0, 434, 448, 454, 455]","[[], [], ['18488986', '12580014'], ['25738896', '18488986', '12580014'], ['25738896', '3952288', '301838', '39559521', '15405204', '13989491', '18488986', '12580014', '2734421'], ['25738896', '3952288', '301838', '39559521', '15405204', '4561402', '13989491', '18488986', '12580014', '2734421']]"
9,51,"['23863551', '24349992', '19358586', '15113221', '13400643', '24249915', '8538916', '7583725', '45638119', '8963413']",439,523.7989950270858,"[0, 0, 0, 3, 10]","[5183, 5183, 31, 9, 0]","[0.0, 7.959897629916668e-06, 514.4186045789393, 521.4175331719453, 523.7989594979445]","[0, 0, 434, 438, 439]","[[], [], [], ['8963413', '7583725', '45638119'], ['23863551', '24349992', '19358586', '15113221', '13400643', '24249915', '8538916', '7583725', '45638119', '8963413']]"
10,53,"['31311495', '7795952', '7821634', '4889228', '1171121', '313403', '7583725', '21439640', '45638119', '4820792']",435,518.3087576830294,"[0, 0, 0, 10]","[5183, 5183, 17, 0]","[0.0, 8.75396654009819e-06, 514.151411655941, 518.3087180149741]","[0, 0, 434, 435]","[[], [], [], ['31311495', '7795952', '7821634', '4889228', '1171121', '313403', '7583725', '21439640', '45638119', '4820792']]"
11,54,"['9899292', '1590744', '49556906', '5108807', '3504761', '7005276', '3973445', '24721866', '14874811', '32408470']",435,519.1083233159734,"[0, 0, 0, 10]","[5183, 5183, 18, 0]","[0.0, 9.453040547668934e-06, 514.7548734169686, 519.1082865439821]","[0, 0, 434, 435]","[[], [], [], ['9899292', '1590744', '49556906', '5108807', '3504761', '7005276', '3973445', '24721866', '14874811', '32408470']]"
12,56,"['39545358', '22185730', '30351165', '13814480', '3113630', '4709641', '20937018', '27078065', '11659421', '13293033']",439,525.8596669789404,"[0, 0, 0, 4, 10]","[5183, 5183, 23, 9, 0]","[0.0, 7.278984412550926e-06, 516.7871700319229, 523.5784206229728, 525.8596266489476]","[0, 0, 434, 438, 439]","[[], [], [], ['4709641', '13814480', '11659421', '13293033'], ['39545358', '22185730', '30351165', '13814480', '3113630', '4709641', '20937018', '27078065', '11659421', '13293033']]"
13,57,"['19970015', '14434123', '30351165', '13814480', '37205759', '4709641', '18399038', '20937018', '36637129', '11659421']",442,527.6304388109129,"[0, 0, 0, 8, 10]","[5183, 5183, 61, 9, 0]","[0.0, 8.426024578511715e-06, 515.0341994540067, 525.6071431130404, 527.6303983379621]","[0, 0, 434, 441, 442]","[[], [], [], ['14434123', '30351165', '13814480', '37205759', '4709641', '20937018', '36637129', '11659421'], ['19970015', '14434123', '30351165', '13814480', '37205759', '4709641', '18399038', '20937018', '36637129', '11659421']]"
