q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['4346436', '25435456', '2593298', '16057926', '23868856', '18575183', '306311', '17388232', '1065627', '45199834']",91,1058.566422703996,"[0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2654, 1595, 689, 449, 115, 0]","[0.0, 3.968301462009549e-05, 472.3346002140024, 727.8732879130112, 888.3784309409966, 973.4530177880079, 1016.3871007259877, 1058.5663817019959]","[0, 0, 42, 64, 78, 85, 90, 91]","[[], [], [], [], [], [], [], ['4346436', '25435456', '2593298', '16057926', '23868856', '18575183', '306311', '17388232', '1065627', '45199834']]"
1,3,"['17088791', '4414547', '32181055', '4378885', '4632921', '23389795', '3672261', '1388704', '14717500', '2107238']",59,681.4681370779872,"[0, 0, 0, 8, 8, 10]","[5183, 5183, 875, 867, 114, 0]","[0.0, 1.021998468786478e-05, 468.6084324090043, 554.0640233279846, 639.4346946789883, 681.468104383006]","[0, 0, 42, 50, 58, 59]","[[], [], [], ['17088791', '4414547', '32181055', '4378885', '4632921', '23389795', '14717500', '2107238'], ['17088791', '4414547', '32181055', '4378885', '4632921', '23389795', '14717500', '2107238'], ['17088791', '4414547', '32181055', '4378885', '4632921', '23389795', '3672261', '1388704', '14717500', '2107238']]"
2,5,"['5922085', '23208167', '42240424', '695938', '34189936', '33339202', '520579', '5835149', '13030852', '39481265']",90,1035.5146401890088,"[0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2671, 1263, 642, 232, 177, 40, 0]","[0.0, 8.823000825941563e-06, 468.1871952860092, 723.207272004016, 851.1796212990012, 936.5115477450017, 979.0329646670143, 1021.4032587560068, 1035.5145933570166]","[0, 0, 42, 65, 76, 83, 86, 89, 90]","[[], [], [], [], [], [], [], [], ['5922085', '23208167', '42240424', '695938', '34189936', '33339202', '520579', '5835149', '13030852', '39481265']]"
3,13,"['11748341', '9588931', '17124832', '12991445', '24998764', '38735355', '18537148', '23369842', '8529693', '4432763']",54,637.8699645360175,"[0, 0, 0, 0, 10]","[5183, 5183, 1256, 103, 0]","[0.0, 1.0646996088325977e-05, 468.1901295540156, 595.8209408240218, 637.8699261319998]","[0, 0, 42, 53, 54]","[[], [], [], [], ['11748341', '9588931', '17124832', '12991445', '24998764', '38735355', '18537148', '23369842', '8529693', '4432763']]"
4,36,"['6525844', '4886637', '43483151', '37424881', '18557974', '7011850', '25028913', '4442799', '12130200', '15615957']",61,724.1573998779932,"[0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 1350, 247, 142, 114, 0]","[0.0, 6.418995326384902e-06, 468.95068266100134, 597.1512639259745, 639.7234438029991, 682.1424094789836, 724.1573645850003]","[0, 0, 42, 54, 57, 60, 61]","[[], [], [], [], [], [], ['6525844', '4886637', '43483151', '37424881', '18557974', '7011850', '25028913', '4442799', '12130200', '15615957']]"
5,42,"['40913091', '28931537', '39903312', '3215494', '18174210', '9254550', '24088502', '27162821', '5107861', '5289038']",76,864.3003941909992,"[0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2217, 789, 242, 131, 33, 0]","[0.0, 9.413983207195997e-06, 468.72769926598994, 681.3425910509832, 766.5133430830028, 809.0698769309965, 851.5483197860012, 864.3003563940001]","[0, 0, 42, 61, 69, 72, 75, 76]","[[], [], [], [], [], [], [], ['40913091', '28931537', '39903312', '3215494', '18174210', '9254550', '24088502', '27162821', '5107861', '5289038']]"
6,48,"['20459964', '21186109', '3475317', '39368721', '24241932', '24510595', '3435889', '9291668', '6250701', '24555878']",90,1005.8832792550093,"[0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2268, 1348, 764, 421, 156, 62, 0]","[0.0, 9.78400930762291e-06, 468.5170674149995, 681.4847044020134, 809.0146454249916, 894.1172828749986, 936.9157324040134, 979.3404950610129, 1005.8832340179943]","[0, 0, 42, 61, 73, 81, 86, 89, 90]","[[], [], [], [], [], [], [], [], ['20459964', '21186109', '3475317', '39368721', '24241932', '24510595', '3435889', '9291668', '6250701', '24555878']]"
7,49,"['9091863', '4411760', '6264468', '20054396', '236204', '9680193', '18207615', '14205246', '4162857', '21373240']",53,637.6168567529821,"[0, 0, 0, 0, 0, 10]","[5183, 5183, 662, 234, 117, 0]","[0.0, 8.68999632075429e-06, 468.3334902949864, 553.484481624997, 595.784332545998, 637.6168204979913]","[0, 0, 42, 49, 52, 53]","[[], [], [], [], [], ['9091863', '4411760', '6264468', '20054396', '236204', '9680193', '18207615', '14205246', '4162857', '21373240']]"
8,50,"['3376731', '13989491', '3952288', '29785642', '24249915', '8702697', '17844478', '39559521', '952111', '15405204']",68,792.6699663550244,"[0, 0, 0, 0, 0, 4, 4, 10]","[5183, 5183, 1363, 698, 194, 190, 63, 0]","[0.0, 8.657982107251883e-06, 468.5017773009895, 596.3175524429826, 681.1235354759847, 723.3792443620041, 765.6798906119948, 792.6699283740018]","[0, 0, 42, 54, 61, 64, 67, 68]","[[], [], [], [], [], ['3952288', '39559521', '13989491', '15405204'], ['3952288', '39559521', '13989491', '15405204'], ['3376731', '13989491', '3952288', '29785642', '24249915', '8702697', '17844478', '39559521', '952111', '15405204']]"
9,51,"['21439640', '22482820', '19358586', '7583725', '21307488', '2931832', '12762485', '43385013', '24834968', '31311495']",53,618.2009799670195,"[0, 0, 0, 0, 10]","[5183, 5183, 1072, 120, 0]","[0.0, 1.0627001756802201e-05, 468.524439633009, 576.2806409879995, 618.2009420590184]","[0, 0, 42, 52, 53]","[[], [], [], [], ['21439640', '22482820', '19358586', '7583725', '21307488', '2931832', '12762485', '43385013', '24834968', '31311495']]"
