q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['6863070', '751192', '121581019', '38037690', '20279166', '17388232', '327319', '4346436', '15657779', '16736872']",277,337.57017787099176,"[0, 0, 2, 10]","[5183, 260, 14, 0]","[0.0, 310.24348872099654, 333.9927322309959, 337.57001884799683]","[0, 260, 276, 277]","[[], [], ['121581019', '327319'], ['6863070', '751192', '121581019', '38037690', '20279166', '17388232', '327319', '4346436', '15657779', '16736872']]"
1,3,"['2739854', '4632921', '32181055', '23389795', '17088791', '4378885', '1544804', '4414547', '14717500', '3672261']",276,327.2049492169899,"[0, 0, 10]","[5183, 260, 0]","[0.0, 304.0430758159928, 327.20477454399224]","[0, 260, 276]","[[], [], ['2739854', '4632921', '32181055', '23389795', '17088791', '4378885', '1544804', '4414547', '14717500', '3672261']]"
2,5,"['13734012', '42240424', '21550246', '27063470', '15879544', '1583041', '18617259', '23124332', '11349166']",291,349.826054663994,"[0, 0, 9, 9]","[5183, 260, 14, 0]","[0.0, 304.0684210610052, 346.1776539590064, 349.8258498439973]","[0, 260, 290, 291]","[[], [], ['13734012', '42240424', '21550246', '27063470', '15879544', '1583041', '18617259', '23124332', '11349166'], ['13734012', '42240424', '21550246', '27063470', '15879544', '1583041', '18617259', '23124332', '11349166']]"
3,13,"['32776084', '7662395', '8529693', '6323196', '33257464', '33740844', '26611834', '23557241', '17450673', '41131087']",277,330.064308645,"[0, 0, 7, 10]","[5183, 260, 11, 0]","[0.0, 304.0960872239957, 327.1207262109965, 330.06407330300135]","[0, 260, 276, 277]","[[], [], ['6323196', '32776084', '8529693', '33257464', '26611834', '23557241', '41131087'], ['32776084', '7662395', '8529693', '6323196', '33257464', '33740844', '26611834', '23557241', '17450673', '41131087']]"
4,36,"['33409100', '21636085', '42441846', '37424881', '3215494', '11705328', '18557974', '12130200', '16252863', '5152028']",277,330.2009457039967,"[0, 0, 0, 10]","[5183, 260, 11, 0]","[0.0, 304.0821841040015, 327.2454219670035, 330.2006211789994]","[0, 260, 276, 277]","[[], [], [], ['33409100', '21636085', '42441846', '37424881', '3215494', '11705328', '18557974', '12130200', '16252863', '5152028']]"
5,42,"['9911547', '27889071', '5107861', '8925851', '27162821', '6315132', '18174210', '2460304', '45218443', '40913091']",279,334.2728818739997,"[0, 0, 0, 10]","[5183, 260, 24, 0]","[0.0, 303.9381976779987, 327.3284736509959, 334.2725092229957]","[0, 260, 276, 279]","[[], [], [], ['9911547', '27889071', '5107861', '8925851', '27162821', '6315132', '18174210', '2460304', '45218443', '40913091']]"
6,48,"['42291761', '13734012', '21550246', '27063470', '25069745', '18617259', '1583041', '23203102', '11349166', '7873737']",276,326.55735200599884,"[0, 0, 10]","[5183, 260, 0]","[0.0, 303.5224362559966, 326.5570394529932]","[0, 260, 276]","[[], [], ['42291761', '13734012', '21550246', '27063470', '25069745', '18617259', '1583041', '23203102', '11349166', '7873737']]"
7,49,"['7029990', '5953485', '3154880', '2613813', '18654430', '22362025', '22871664', '1333643', '5702790', '23913146']",277,330.2637519760028,"[0, 0, 0, 10]","[5183, 260, 12, 0]","[0.0, 303.50295803300105, 326.9751225569926, 330.26352783699986]","[0, 260, 276, 277]","[[], [], [], ['7029990', '5953485', '3154880', '2613813', '18654430', '22362025', '22871664', '1333643', '5702790', '23913146']]"
8,50,"['12580014', '13989491', '15405204', '29785642', '10162553', '18488986', '3952288', '15707049', '25738896', '301838']",276,326.6258532399952,"[0, 0, 10]","[5183, 260, 0]","[0.0, 303.5054284769867, 326.6255585619947]","[0, 260, 276]","[[], [], ['12580014', '13989491', '15405204', '29785642', '10162553', '18488986', '3952288', '15707049', '25738896', '301838']]"
9,51,"['7821634', '12762485', '45638119', '7583725', '15113221', '24249915', '27240667', '34066665', '8963413', '19358586']",277,329.9337465629942,"[0, 0, 0, 10]","[5183, 260, 13, 0]","[0.0, 303.5490434890089, 326.5938267700112, 329.9334496100055]","[0, 260, 276, 277]","[[], [], [], ['7821634', '12762485', '45638119', '7583725', '15113221', '24249915', '27240667', '34066665', '8963413', '19358586']]"
10,53,"['21902400', '4702639', '45638119', '7583725', '24249915', '4429932', '19358586', '24349992', '23863551', '7795952']",280,336.7664360199997,"[0, 0, 0, 10]","[5183, 260, 52, 0]","[0.0, 303.48951961701096, 327.9660923110059, 336.7660577080096]","[0, 260, 276, 280]","[[], [], [], ['21902400', '4702639', '45638119', '7583725', '24249915', '4429932', '19358586', '24349992', '23863551', '7795952']]"
11,54,"['49556906', '7005276', '3419709', '24721866', '3973445', '14874811', '1686997', '3504761', '9752604', '32408470']",276,326.4862776289956,"[0, 0, 10]","[5183, 260, 0]","[0.0, 303.37380578400916, 326.48600697200163]","[0, 260, 276]","[[], [], ['49556906', '7005276', '3419709', '24721866', '3973445', '14874811', '1686997', '3504761', '9752604', '32408470']]"
12,56,"['13814480', '4709641', '11659421', '23887844', '15590539', '4459491', '18852643', '22843616', '14192687', '30351165']",277,329.6356313830038,"[0, 0, 0, 10]","[5183, 260, 11, 0]","[0.0, 303.3248176729976, 326.34046155799297, 329.6353806549887]","[0, 260, 276, 277]","[[], [], [], ['13814480', '4709641', '11659421', '23887844', '15590539', '4459491', '18852643', '22843616', '14192687', '30351165']]"
