q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['927561', '9507605', '19855358', '7837879', '4346436', '21456232', '169264', '18678095', '6190603', '121581019']",460,548.0468772280146,"[0, 0, 0, 0, 0, 0, 5, 10]","[5183, 5183, 2016, 617, 209, 35, 11, 0]","[0.0, 3.900396404787898e-05, 347.75555221299874, 481.4448233579751, 525.1265486259945, 540.064706782985, 545.3865487820003, 548.0468315599719]","[0, 0, 290, 404, 441, 455, 459, 460]","[[], [], [], [], [], [], ['19855358', '21456232', '169264', '121581019', '6190603'], ['927561', '9507605', '19855358', '7837879', '4346436', '21456232', '169264', '18678095', '6190603', '121581019']]"
1,3,"['4414547', '4632921', '1388704', '15286783', '20280410', '14717500', '23389795', '13940200', '32181055', '2739854']",308,368.7907686299877,"[0, 0, 0, 0, 10]","[5183, 5183, 263, 17, 0]","[0.0, 1.0683026630431414e-05, 344.90233905700734, 364.6027189909946, 368.79073750798125]","[0, 0, 290, 307, 308]","[[], [], [], [], ['4414547', '4632921', '1388704', '15286783', '20280410', '14717500', '23389795', '13940200', '32181055', '2739854']]"
2,5,"['10326242', '15879544', '695938', '21550246', '23124332', '1292369', '18617259', '1583041', '17333231', '11349166']",585,695.4534604270011,"[0, 0, 0, 5, 5, 5, 5, 10]","[5183, 5183, 2621, 1736, 547, 210, 15, 0]","[0.0, 9.572017006576061e-06, 343.7408988070092, 520.6396628170041, 637.6874564720201, 676.7351634730003, 691.6940184420091, 695.4534253199818]","[0, 0, 290, 438, 537, 570, 584, 585]","[[], [], [], ['18617259', '1583041', '21550246', '23124332', '11349166'], ['18617259', '1583041', '21550246', '23124332', '11349166'], ['18617259', '1583041', '21550246', '23124332', '11349166'], ['18617259', '1583041', '21550246', '23124332', '11349166'], ['10326242', '15879544', '695938', '21550246', '23124332', '1292369', '18617259', '1583041', '17333231', '11349166']]"
3,13,"['27123743', '9513785', '7662395', '32776084', '23557241', '17450673', '33257464', '8529693', '24594624', '26611834']",290,343.4657434989931,"[0, 0, 10]","[5183, 5183, 0]","[0.0, 9.982031770050526e-06, 343.46571066998877]","[0, 0, 290]","[[], [], ['27123743', '9513785', '7662395', '32776084', '23557241', '17450673', '33257464', '8529693', '24594624', '26611834']]"
4,36,"['42441846', '21636085', '12130200', '11705328', '16252863', '5152028', '3215494', '12810152', '18557974', '37424881']",291,348.0017765960074,"[0, 0, 0, 10]","[5183, 5183, 16, 0]","[0.0, 6.399990525096655e-06, 344.0858589360141, 348.00174989696825]","[0, 0, 290, 291]","[[], [], [], ['42441846', '21636085', '12130200', '11705328', '16252863', '5152028', '3215494', '12810152', '18557974', '37424881']]"
5,42,"['30353437', '40913091', '21472388', '25420421', '27889071', '27162821', '26474812', '6315132', '5782614', '18174210']",365,433.3920633959933,"[0, 0, 0, 0, 0, 0, 9, 10]","[5183, 5183, 856, 248, 27, 24, 8, 0]","[0.0, 6.694986950606108e-06, 343.1720513069886, 400.9762885560049, 420.5959430470248, 425.98978292703396, 431.39822895702673, 433.3920312229893]","[0, 0, 290, 340, 356, 360, 364, 365]","[[], [], [], [], [], [], ['40913091', '21472388', '25420421', '27889071', '27162821', '26474812', '6315132', '5782614', '18174210'], ['30353437', '40913091', '21472388', '25420421', '27889071', '27162821', '26474812', '6315132', '5782614', '18174210']]"
6,48,"['8596837', '21719289', '9334631', '27063470', '18617259', '6767133', '4506414', '14584755', '11349166', '13734012']",396,470.8687825570232,"[0, 0, 0, 0, 10]","[5183, 5183, 1842, 12, 0]","[0.0, 1.0168005246669054e-05, 343.44401759200264, 467.66603381204186, 470.86874658300076]","[0, 0, 290, 395, 396]","[[], [], [], [], ['8596837', '21719289', '9334631', '27063470', '18617259', '6767133', '4506414', '14584755', '11349166', '13734012']]"
7,49,"['18654430', '9091863', '1333643', '2619579', '946756', '5702790', '22362025', '5953485', '7029990', '18467982']",291,345.19503033702495,"[0, 0, 7, 10]","[5183, 5183, 9, 0]","[0.0, 7.387017831206322e-06, 343.0036481730058, 345.195002619992]","[0, 0, 290, 291]","[[], [], ['18654430', '5702790', '22362025', '5953485', '7029990', '18467982', '946756'], ['18654430', '9091863', '1333643', '2619579', '946756', '5702790', '22362025', '5953485', '7029990', '18467982']]"
8,50,"['13989491', '3952288', '18488986', '12580014', '39559521', '15405204', '8354687', '25738896', '4561402', '10162553']",310,367.578172656009,"[0, 0, 4, 4, 4, 4, 10]","[5183, 5183, 139, 56, 25, 13, 0]","[0.0, 6.420013960450888e-06, 343.0332888289704, 353.1528121739975, 358.4859939329908, 363.8633905479801, 367.57813967199763]","[0, 0, 290, 300, 305, 309, 310]","[[], [], ['18488986', '12580014', '39559521', '25738896'], ['18488986', '12580014', '39559521', '25738896'], ['18488986', '12580014', '39559521', '25738896'], ['18488986', '12580014', '39559521', '25738896'], ['13989491', '3952288', '18488986', '12580014', '39559521', '15405204', '8354687', '25738896', '4561402', '10162553']]"
9,51,"['8963413', '24349992', '19358586', '7583725', '34066665', '16691520', '45638119', '16734530', '7821634', '29366489']",291,346.5149932130007,"[0, 0, 0, 10]","[5183, 5183, 16, 0]","[0.0, 1.0215037036687136e-05, 342.574351940013, 346.5149625419872]","[0, 0, 290, 291]","[[], [], [], ['8963413', '24349992', '19358586', '7583725', '34066665', '16691520', '45638119', '16734530', '7821634', '29366489']]"
