q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['1346695', '5431268', '22505190', '9306247', '1701063', '20491205', '1780819', '43700577', '33370', '33920995']",294,356.4638629090041,"[0, 0, 0, 0, 0, 0, 10]","[5183, 260, 101, 29, 22, 14, 0]","[0.0, 311.37420968792867, 331.73667008895427, 341.8097512759268, 347.15800624503754, 352.5800617990317, 356.4634767009411]","[0, 260, 277, 285, 289, 293, 294]","[[], [], [], [], [], [], ['1346695', '5431268', '22505190', '9306247', '1701063', '20491205', '1780819', '43700577', '33370', '33920995']]"
1,3,"['18882947', '30101891', '20052986', '27527854', '2638387', '46193478', '5835149', '8858602', '13791206', '997143']",278,326.339661543956,"[0, 0, 0, 10]","[5183, 260, 11, 0]","[0.0, 304.0884869910078, 323.72864020394627, 326.3394483010052]","[0, 260, 277, 278]","[[], [], [], ['18882947', '30101891', '20052986', '27527854', '2638387', '46193478', '5835149', '8858602', '13791206', '997143']]"
2,5,"['6277638', '6917133', '25832301', '27949347', '36838958', '1791714', '13070316', '23573229', '26474812', '3222187']",283,331.5374431449454,"[0, 0, 5, 7, 10]","[5183, 260, 39, 9, 0]","[0.0, 304.22955374605954, 323.8795861210674, 329.2430989490822, 331.5370078620035]","[0, 260, 277, 282, 283]","[[], [], ['13070316', '6917133', '26474812', '3222187', '27949347'], ['36838958', '1791714', '13070316', '6917133', '26474812', '3222187', '27949347'], ['6277638', '6917133', '25832301', '27949347', '36838958', '1791714', '13070316', '23573229', '26474812', '3222187']]"
3,13,"['25969485', '7552215', '380526', '12943966', '42855554', '26099680', '13931771', '24159217', '13613916', '10699587']",278,328.0586876780726,"[0, 0, 7, 10]","[5183, 260, 19, 0]","[0.0, 303.8434255589964, 323.52273832203355, 328.05841893702745]","[0, 260, 277, 278]","[[], [], ['25969485', '10699587', '7552215', '24159217', '42855554', '26099680', '13931771'], ['25969485', '7552215', '380526', '12943966', '42855554', '26099680', '13931771', '24159217', '13613916', '10699587']]"
4,36,"['12584053', '8759633', '35100235', '12737132', '3052213', '4462777', '3153673', '27150276', '24315156', '12009265']",278,326.75569134997204,"[0, 0, 0, 10]","[5183, 260, 13, 0]","[0.0, 303.6638186449418, 323.4286553940037, 326.7554518969264]","[0, 260, 277, 278]","[[], [], [], ['12584053', '8759633', '35100235', '12737132', '3052213', '4462777', '3153673', '27150276', '24315156', '12009265']]"
5,42,"['5406411', '10874408', '29125354', '8509018', '21465696', '7640792', '19140422', '34469966', '37722384', '1933281']",278,328.3082874729298,"[0, 0, 0, 10]","[5183, 260, 18, 0]","[0.0, 304.2883096219739, 323.98832390399184, 328.30796835094225]","[0, 260, 277, 278]","[[], [], [], ['5406411', '10874408', '29125354', '8509018', '21465696', '7640792', '19140422', '34469966', '37722384', '1933281']]"
6,48,"['3986403', '1871499', '17271462', '4455466', '25838286', '40666943', '32177659', '25069745', '4421578', '4320424']",292,342.8965367450146,"[0, 0, 0, 5, 5, 10]","[5183, 260, 129, 24, 16, 0]","[0.0, 303.8629780060146, 323.46634867799, 333.6279420579085, 338.9758992079878, 342.8960713619599]","[0, 260, 277, 287, 291, 292]","[[], [], [], ['4455466', '4421578', '25838286', '4320424', '32177659'], ['4455466', '4421578', '25838286', '4320424', '32177659'], ['3986403', '1871499', '17271462', '4455466', '25838286', '40666943', '32177659', '25069745', '4421578', '4320424']]"
7,49,"['36399109', '22901758', '21931005', '9185195', '25599283', '22159299', '2613411', '1897324', '10669582', '1631583']",278,327.0774249769747,"[0, 0, 0, 10]","[5183, 260, 13, 0]","[0.0, 304.10025128501, 323.6836749460781, 327.0771570580546]","[0, 260, 277, 278]","[[], [], [], ['36399109', '22901758', '21931005', '9185195', '25599283', '22159299', '2613411', '1897324', '10669582', '1631583']]"
8,50,"['22543403', '15155862', '20524091', '70490', '24998637', '18268012', '10012166', '1709625', '42267740', '4321295']",284,333.9535702060675,"[0, 0, 0, 0, 10]","[5183, 260, 67, 13, 0]","[0.0, 303.70014666300267, 323.3399942339165, 328.7885960380081, 333.95321743702516]","[0, 260, 277, 283, 284]","[[], [], [], [], ['22543403', '15155862', '20524091', '70490', '24998637', '18268012', '10012166', '1709625', '42267740', '4321295']]"
9,51,"['15868816', '31554917', '1383826', '19079491', '16364639', '10641715', '5586392', '4418070', '5106691', '12670680']",281,328.5345843429677,"[0, 0, 0, 10]","[5183, 260, 27, 0]","[0.0, 303.46431832399685, 323.1432773200795, 328.5341652020579]","[0, 260, 277, 281]","[[], [], [], ['15868816', '31554917', '1383826', '19079491', '16364639', '10641715', '5586392', '4418070', '5106691', '12670680']]"
10,53,"['23342686', '12804937', '17163294', '3553087', '11233339', '21271817', '8672737', '4816339', '327319', '43880096']",282,331.34646647504997,"[0, 0, 0, 2, 10]","[5183, 260, 31, 11, 0]","[0.0, 303.3957651639357, 323.0073825409636, 328.38061720202677, 331.34598225704394]","[0, 260, 277, 281, 282]","[[], [], [], ['11233339', '327319'], ['23342686', '12804937', '17163294', '3553087', '11233339', '21271817', '8672737', '4816339', '327319', '43880096']]"
11,54,"['12582729', '8721150', '6961811', '2638387', '121001457', '41298619', '16964262', '68317730', '22901758', '20302714']",281,328.5711081830086,"[0, 0, 5, 10]","[5183, 260, 28, 0]","[0.0, 303.5372909359867, 323.1554230150068, 328.5707187160151]","[0, 260, 277, 281]","[[], [], ['41298619', '68317730', '6961811', '121001457', '20302714'], ['12582729', '8721150', '6961811', '2638387', '121001457', '41298619', '16964262', '68317730', '22901758', '20302714']]"
12,56,"['45341480', '9513785', '4427392', '37762357', '17194716', '3566945', '20649735', '72933407', '1522336', '7912']",278,326.45581561594736,"[0, 0, 0, 10]","[5183, 260, 12, 0]","[0.0, 303.4768237869721, 323.0990035170689, 326.45550923398696]","[0, 260, 277, 278]","[[], [], [], ['45341480', '9513785', '4427392', '37762357', '17194716', '3566945', '20649735', '72933407', '1522336', '7912']]"
13,57,"['17101262', '5268462', '1285713', '6947286', '6264468', '1991105', '45457778', '8856690', '19052713', '33740844']",283,333.55446559598204,"[0, 0, 0, 0, 10]","[5183, 260, 54, 19, 0]","[0.0, 303.9628410140285, 323.65760814899113, 328.9990599839948, 333.55409587395843]","[0, 260, 277, 282, 283]","[[], [], [], [], ['17101262', '5268462', '1285713', '6947286', '6264468', '1991105', '45457778', '8856690', '19052713', '33740844']]"
14,70,"['8298120', '27772649', '6766459', '12040627', '32975424', '20524091', '15678772', '12438901', '22547508', '121001457']",278,326.8305998290889,"[0, 0, 0, 10]","[5183, 260, 12, 0]","[0.0, 304.25785478798207, 323.8618716149358, 326.83027537097223]","[0, 260, 277, 278]","[[], [], [], ['8298120', '27772649', '6766459', '12040627', '32975424', '20524091', '15678772', '12438901', '22547508', '121001457']]"
15,72,"['29334259', '10017612', '16572581', '30774694', '711256', '2867345', '5596332', '4899981', '6936141', '12411274']",283,332.8573787789792,"[0, 0, 0, 0, 10]","[5183, 260, 44, 16, 0]","[0.0, 303.8484152700985, 323.5263236310566, 328.90088908106554, 332.8569252890302]","[0, 260, 277, 282, 283]","[[], [], [], [], ['29334259', '10017612', '16572581', '30774694', '711256', '2867345', '5596332', '4899981', '6936141', '12411274']]"
16,75,"['34603465', '10145528', '33796570', '1889358', '21439640', '1507222', '32770503', '4319174', '37297740', '7198295']",278,324.73446540592704,"[0, 0, 8, 10]","[5183, 260, 6, 0]","[0.0, 303.6277173940325, 323.3061374720419, 324.7341596920742]","[0, 260, 277, 278]","[[], [], ['34603465', '10145528', '1889358', '21439640', '1507222', '4319174', '37297740', '7198295'], ['34603465', '10145528', '33796570', '1889358', '21439640', '1507222', '32770503', '4319174', '37297740', '7198295']]"
17,94,"['12800122', '11903247', '2831620', '18997216', '4399311', '37037012', '4455466', '5704562', '24989194', '29557235']",286,337.210405661026,"[0, 0, 0, 0, 10]","[5183, 260, 102, 12, 0]","[0.0, 303.7770552940201, 323.39770998002496, 333.72875485999975, 337.21004941896535]","[0, 260, 277, 285, 286]","[[], [], [], [], ['12800122', '11903247', '2831620', '18997216', '4399311', '37037012', '4455466', '5704562', '24989194', '29557235']]"
18,99,"['12824568', '6121555', '40500723', '51952430', '14079881', '22852120', '12074066', '26720366', '30543439', '32454714']",292,339.1048395469552,"[0, 0, 6, 6, 8, 10]","[5183, 260, 139, 27, 10, 0]","[0.0, 303.92272416700143, 323.5144272650359, 333.6900528790429, 339.0318575659767, 339.1043852630537]","[0, 260, 277, 287, 291, 292]","[[], [], ['12824568', '51952430', '22852120', '12074066', '26720366', '32454714'], ['12824568', '51952430', '22852120', '12074066', '26720366', '32454714'], ['12824568', '6121555', '51952430', '22852120', '12074066', '26720366', '30543439', '32454714'], ['12824568', '6121555', '40500723', '51952430', '14079881', '22852120', '12074066', '26720366', '30543439', '32454714']]"
19,100,"['13296399', '11674288', '5966635', '87430549', '4256553', '42441846', '6277638', '24276304', '12207340', '31962403']",287,336.375793895917,"[0, 0, 2, 2, 2, 10]","[5183, 260, 43, 26, 11, 0]","[0.0, 303.49106744793244, 323.06549918395467, 328.472369210911, 333.81192850193474, 336.37536244199146]","[0, 260, 277, 282, 286, 287]","[[], [], ['24276304', '42441846'], ['24276304', '42441846'], ['24276304', '42441846'], ['13296399', '11674288', '5966635', '87430549', '4256553', '42441846', '6277638', '24276304', '12207340', '31962403']]"
20,113,"['34227917', '31933981', '17374970', '9669099', '8025177', '12442311', '13763195', '17124832', '16280642', '87986426']",285,334.19344827800523,"[0, 0, 0, 0, 10]","[5183, 260, 36, 23, 0]","[0.0, 303.59193769597914, 323.33372317801695, 328.83758208702784, 334.1930113109993]","[0, 260, 277, 281, 285]","[[], [], [], [], ['34227917', '31933981', '17374970', '9669099', '8025177', '12442311', '13763195', '17124832', '16280642', '87986426']]"
21,115,"['928281', '20363389', '5293024', '1322614', '23244529', '16232581', '30208015', '9730755', '9420732', '9767444']",291,339.4728849560488,"[0, 0, 0, 0, 0, 9, 10]","[5183, 260, 52, 29, 21, 10, 0]","[0.0, 303.74540574406274, 323.38745331706014, 328.7453903120477, 334.1163119140547, 339.4161163860699, 339.47249440010637]","[0, 260, 277, 282, 286, 290, 291]","[[], [], [], [], [], ['928281', '5293024', '1322614', '23244529', '16232581', '30208015', '9730755', '9420732', '9767444'], ['928281', '20363389', '5293024', '1322614', '23244529', '16232581', '30208015', '9730755', '9420732', '9767444']]"
22,118,"['13956305', '23746332', '14535322', '680949', '27061085', '5402581', '752423', '36637129', '70439309', '7834603']",278,327.5482472690055,"[0, 0, 7, 10]","[5183, 260, 15, 0]","[0.0, 304.096318276017, 323.81791933695786, 327.5479309509974]","[0, 260, 277, 278]","[[], [], ['7834603', '13956305', '70439309', '680949', '752423', '27061085', '5402581'], ['13956305', '23746332', '14535322', '680949', '27061085', '5402581', '752423', '36637129', '70439309', '7834603']]"
23,124,"['4246523', '3095620', '11441172', '13910150', '5993745', '86160128', '21060008', '23601616', '33667484', '41928290']",282,332.7580263649579,"[0, 0, 0, 0, 10]","[5183, 260, 28, 14, 0]","[0.0, 303.9994684760459, 323.66625232296064, 329.169670837, 332.7576266580727]","[0, 260, 277, 281, 282]","[[], [], [], [], ['4246523', '3095620', '11441172', '13910150', '5993745', '86160128', '21060008', '23601616', '33667484', '41928290']]"
24,127,"['30981192', '43311750', '21692235', '44172171', '13398997', '25915873', '25602549', '19994006', '17236106', '14225271']",283,332.86412684607785,"[0, 0, 0, 0, 10]","[5183, 260, 47, 15, 0]","[0.0, 304.1183494750876, 323.7004480450414, 329.0759537720587, 332.8637152820593]","[0, 260, 277, 282, 283]","[[], [], [], [], ['30981192', '43311750', '21692235', '44172171', '13398997', '25915873', '25602549', '19994006', '17236106', '14225271']]"
