q,qid,did,time
0,1,"['11718220', '38830961', '13768432', '29851836', '4423220', '14848619', '3056682', '46602807', '13108582', '10555591']",850.6305084950291
1,3,"['169264', '29845974', '12489688', '23704559', '7734150', '13072112', '4547102', '9110810', '12871002', '94365950']",776.5482498650672
2,5,"['680949', '20148808', '7986878', '10984005', '10854174', '24512064', '30675656', '33733520', '2272614', '22674621']",806.5506700428668
3,13,"['6784372', '13036442', '33554389', '33397197', '46353045', '4037034', '12691537', '3099497', '46248894', '41811327']",803.4209867520258
4,36,"['30500829', '1127562', '40584205', '10279084', '40769868', '4740447', '95102458', '26016929', '3441524', '25052749']",786.1972005049465
5,42,"['6123924', '34582256', '15335331', '17967608', '23420807', '2130391', '20554003', '17327939', '41329906', '70633421']",815.3597811999498
6,48,"['21931005', '39545358', '11109043', '31514338', '5107861', '34369306', '14311986', '6455142', '8122346', '29015485']",815.7811289660167
7,49,"['154050141', '42520882', '5508750', '32985041', '45244537', '79336156', '11738716', '12892137', '32170702', '1203035']",804.9552242099307
8,50,"['1070920', '26199970', '5123516', '750781', '13771184', '19419439', '1127562', '4373445']",804.5073964960175
9,51,"['19571273', '20372201', '20602517', '19052713', '9973014', '20672596', '15946643', '22159299', '26068103', '104130']",818.2127526229015
10,53,"['22134353', '6061927', '32777637', '20931483', '5548081', '13953762', '42373943', '13936152', '41620295', '12440953']",814.2979152810294
11,54,"['4468861', '18042803', '2659805', '8856690', '32263707', '5406411', '32611468', '18678095', '34760396', '21719289']",813.9852268248796
12,56,"['25985964', '9822397', '13135544', '24557631', '10697096', '30101891', '7852582', '3285322', '17945638', '17591478']",800.9515956540126
13,57,"['23777820', '27260630', '24346598', '29634262', '24721347', '9875570', '44030361', '4500832', '6766459', '7560876']",794.2401318009943
14,70,"['21914176', '11862753', '13031967', '29504413', '33934971', '3419802', '23389795', '10450300', '36642096', '8551160']",806.9126389740268
15,72,"['26124606', '8122346', '22467585', '13445579', '4515975', '24552097', '28264919', '4678846', '27150276', '38844612']",813.2339876260376
16,75,"['8509018', '2547636', '11868606', '17416520', '6993046', '30580263', '30101891', '2474731', '52176296']",824.7648646559101
17,94,"['29557235', '24872571', '22980205', '31363207', '22522432', '71625969', '10576136', '42373087', '26104554', '29518440']",827.023361363099
18,99,"['32533299', '997143', '82971616', '32324430', '7915836', '19205437', '24163770', '31107919', '24249915', '15795880']",850.3216351250885
19,100,"['3835423', '5094468', '14405193', '21323587', '40666943', '21884059', '4465735', '15968271', '34436231', '28707489']",839.7733144980157
20,113,"['15830352', '14337960', '21746539', '45408403', '30353437', '41182002', '21003930', '8502193', '29495185', '8548635']",786.9615436848253
21,115,"['4423559', '36310858', '6386930', '20459964', '36003142', '10029891', '23783727', '7735859', '71628189', '86211914']",796.1399952459615
22,118,"['8925851', '11822354', '8038329', '22442133', '11117498', '26688294', '46135768', '23305547', '12411274', '19140422']",821.518384968047
23,124,"['427865', '1686881', '126549848', '42855554', '28206748', '8202880', '6123521', '23141360', '16461149', '27243019']",819.8568855519406
24,127,"['25938221', '40781557', '4462919', '8453819', '40935722', '28697248', '1354567', '46193388', '8185080', '19799455']",835.5639382370282
