q,qid,did,time
0,1,"['21456232', '19855358', '121581019', '8185080', '3874000', '17695748', '51952430', '17338543', '19651306', '14550841']",380.0600721899828
1,3,"['14717500', '23389795', '2739854', '19058822', '4378885', '4632921', '4414547', '11532028', '13914198', '15153602']",353.6627370870119
2,5,"['18617259', '1583041', '17333231', '3883485', '28149602', '9272598', '19854744', '25738896', '24521894', '86326468']",350.8133308069955
3,13,"['26611834', '8529693', '11748341', '6323196', '7662395', '33257464', '23557241', '32776084', '24594624', '17450673']",353.08639027805475
4,36,"['18557974', '42441846', '16252863', '3215494', '21636085', '5152028', '18256197', '37424881', '12130200', '11705328']",348.5781690229196
5,42,"['18174210', '14407673', '40913091', '27889071', '6315132', '45218443', '39506601', '27162821', '5107861', '32170702']",350.1734428329946
6,48,"['13734012', '11349166', '18617259', '27063470', '1583041', '23531592', '24512064', '23203102', '3078080', '15879544']",367.4033373230486
7,49,"['5953485', '7029990', '5702790', '23913146', '1333643', '22362025', '5409325', '18654430', '236204', '22871664']",348.29332394205267
8,50,"['12580014', '18488986', '25738896', '39559521', '13989491', '3952288', '2734421', '8354687', '301838', '15405204']",361.33336535208224
9,51,"['45638119', '7821634', '7583725', '24249915', '19358586', '8963413', '16734530', '1379127', '38485364', '9600826']",369.7763064629107
10,53,"['45638119', '4889228', '7795952', '7583725', '19358586', '21439640', '7821634', '24349992', '24249915', '22482820']",347.67948948891717
11,54,"['49556906', '3973445', '24721866', '3504761', '23974474', '3419709', '9752604', '14874811', '1590744', '19313533']",348.7390123430378
12,56,"['4709641', '20937018', '30351165', '11659421', '18852643', '1122198', '27588420', '15945975', '4380451', '6054657']",350.7677476300014
13,57,"['4709641', '11659421', '19970015', '35777860', '1605196', '6826100', '16375102', '16541762', '31882215', '7426741']",350.9497243580263
14,70,"['5956380', '4414547', '4389394', '37204802', '7225911', '27240699', '25901598', '42489926', '21557055', '9483851']",414.36777518707095
15,72,"['6076903', '1031534', '24721866', '14492964', '16546131', '15721252', '42080024', '3981033', '4920376', '9063688']",359.3616150129528
16,75,"['4387784', '37768883', '36233757', '13965483', '29214508', '2837758', '38805486', '25657127', '26488879', '14155726']",380.60219644592144
17,94,"['1215116', '29460384', '3376731', '24082820', '5836', '4999387', '327319', '3929361', '2831620', '4465735']",351.18367774003127
18,99,"['18810195', '14972169', '39389082', '12265561', '22116439', '41900731', '33912020', '25388309', '6157371', '11615242']",364.81189382605953
19,100,"['4381486', '14550841', '30714190', '18374364', '4398832', '18909530', '10015292', '12871002', '92499', '16108876']",389.5511241460481
20,113,"['6157837', '1759213', '25816994', '14584755', '140098548', '4678846', '14121786', '2533768', '26199970', '3825750']",381.9591854999744
21,115,"['33872649', '25677651', '3692112', '1122279', '15879544', '1234098', '36345578', '878526', '13070316', '3690068']",400.4675386989984
22,118,"['6372244', '4465735', '32454714', '52805891', '4695107', '2604063', '31460499', '15578265', '26702468', '3272084']",382.5410987150099
23,124,"['4883040', '7111021', '32012666', '31363207', '13899137', '14319754', '1986482', '13901073', '13071728', '374902']",384.7174675710121
24,127,"['21598000', '35231675', '7549811', '18126445', '30884033', '1684489', '20368353', '22029384', '11674596', '293661']",388.6115226350521
