q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['94109411', '31715818', '4346436', '28704738', '1156322', '169264', '121581019', '19855358', '21456232', '17388232']",412,502.027682027081,"[0, 0, 0, 3, 10]","[5183, 5183, 2018, 116, 0]","[0.0, 3.2057054340839386e-05, 351.06879396596923, 488.4627562779933, 502.0276449560188]","[0, 0, 290, 404, 412]","[[], [], [], ['121581019', '94109411', '21456232'], ['94109411', '31715818', '4346436', '28704738', '1156322', '169264', '121581019', '19855358', '21456232', '17388232']]"
1,3,"['3672261', '4414547', '23389795', '32181055', '2739854', '4378885', '14717500', '13914198', '4632921', '1388704']",313,378.53248891979456,"[0, 0, 0, 10]","[5183, 5183, 386, 0]","[0.0, 6.608199328184128e-06, 347.86518173106015, 378.53245595516637]","[0, 0, 290, 313]","[[], [], [], ['3672261', '4414547', '23389795', '32181055', '2739854', '4378885', '14717500', '13914198', '4632921', '1388704']]"
2,5,"['23124332', '695938', '21550246', '15879544', '11349166', '1583041', '32101982', '42240424', '17333231', '18617259']",582,692.143606630154,"[0, 0, 8, 10]","[5183, 5183, 37, 0]","[0.0, 7.609138265252113e-06, 683.3694338770583, 692.1435700750444]","[0, 0, 578, 582]","[[], [], ['23124332', '695938', '21550246', '11349166', '1583041', '32101982', '17333231', '18617259'], ['23124332', '695938', '21550246', '15879544', '11349166', '1583041', '32101982', '42240424', '17333231', '18617259']]"
3,13,"['11748341', '17450673', '8529693', '6323196', '6718824', '26611834', '9513785', '2605032', '32776084', '7662395']",291,350.09954723203555,"[0, 0, 1, 10]","[5183, 5183, 15, 0]","[0.0, 1.1332100257277489e-05, 346.3672753549181, 350.0995193270501]","[0, 0, 290, 291]","[[], [], ['26611834'], ['11748341', '17450673', '8529693', '6323196', '6718824', '26611834', '9513785', '2605032', '32776084', '7662395']]"
4,36,"['16252863', '20083834', '18557974', '37424881', '21636085', '5152028', '36654066', '11705328', '3215494', '42441846']",293,350.8756021820009,"[0, 0, 0, 10]","[5183, 5183, 21, 0]","[0.0, 9.159091860055923e-06, 347.3614209201187, 350.875573128229]","[0, 0, 290, 293]","[[], [], [], ['16252863', '20083834', '18557974', '37424881', '21636085', '5152028', '36654066', '11705328', '3215494', '42441846']]"
5,42,"['4410181', '8083310', '6315132', '18174210', '23746313', '8756719', '11289247', '40913091', '10015292', '16630060']",293,353.34744435106404,"[0, 0, 0, 10]","[5183, 5183, 24, 0]","[0.0, 6.4498744904994965e-06, 346.5245862840675, 353.34741255105473]","[0, 0, 290, 293]","[[], [], [], ['4410181', '8083310', '6315132', '18174210', '23746313', '8756719', '11289247', '40913091', '10015292', '16630060']]"
6,48,"['9211173', '23203102', '13734012', '30919024', '7224723', '11349166', '5835149', '27063470', '18617259', '70633421']",601,718.7405616978649,"[0, 0, 6, 7, 7, 10]","[5183, 5183, 283, 57, 18, 0]","[0.0, 7.546041160821915e-06, 682.4264003599528, 705.5229383369442, 714.3718207560014, 718.7405308110174]","[0, 0, 578, 595, 600, 601]","[[], [], ['5835149', '23203102', '11349166', '27063470', '18617259', '70633421'], ['5835149', '23203102', '13734012', '11349166', '27063470', '18617259', '70633421'], ['5835149', '23203102', '13734012', '11349166', '27063470', '18617259', '70633421'], ['9211173', '23203102', '13734012', '30919024', '7224723', '11349166', '5835149', '27063470', '18617259', '70633421']]"
7,49,"['7029990', '9091863', '14797520', '13931771', '3154880', '23913146', '5953485', '22362025', '5702790', '1333643']",579,686.5910848281346,"[0, 0, 9, 10]","[5183, 5183, 17, 0]","[0.0, 1.1679017916321754e-05, 682.4516630838625, 686.591060308041]","[0, 0, 578, 579]","[[], [], ['7029990', '9091863', '14797520', '13931771', '3154880', '23913146', '5953485', '22362025', '5702790'], ['7029990', '9091863', '14797520', '13931771', '3154880', '23913146', '5953485', '22362025', '5702790', '1333643']]"
8,50,"['10162553', '301838', '18488986', '8354687', '14315749', '4561402', '25738896', '39559521', '12580014', '29785642']",299,360.6559170379769,"[0, 0, 3, 3, 10]","[5183, 5183, 118, 10, 0]","[0.0, 7.067108526825905e-06, 346.93346737814136, 360.5894701729994, 360.65588160511106]","[0, 0, 290, 298, 299]","[[], [], ['18488986', '25738896', '12580014'], ['18488986', '25738896', '12580014'], ['10162553', '301838', '18488986', '8354687', '14315749', '4561402', '25738896', '39559521', '12580014', '29785642']]"
9,51,"['7821634', '19358586', '7583725', '15113221', '16691520', '13007205', '24349992', '8963413', '12762485', '45638119']",291,350.8315228349529,"[0, 0, 0, 10]","[5183, 5183, 18, 0]","[0.0, 7.602851837873459e-06, 346.4892834390048, 350.83149437396787]","[0, 0, 290, 291]","[[], [], [], ['7821634', '19358586', '7583725', '15113221', '16691520', '13007205', '24349992', '8963413', '12762485', '45638119']]"
