q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['25475802', '13814480', '22767022', '21456232', '14192687', '22843616', '20696397', '10628767', '17327939', '15176526']",627,753.1112013400998,"[0, 0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 3339, 1356, 643, 306, 208, 24, 0]","[0.0, 4.834681749343872e-05, 346.5210921438411, 568.5837180099916, 661.3054321110249, 707.3691784318071, 730.9408731588628, 749.0090002438519, 753.1111695729196]","[0, 0, 290, 477, 554, 591, 610, 623, 627]","[[], [], [], [], [], [], [], [], ['25475802', '13814480', '22767022', '21456232', '14192687', '22843616', '20696397', '10628767', '17327939', '15176526']]"
1,3,"['4414547', '23389795', '32181055', '19058822', '1388704', '3672261', '1544804', '4632921', '2739854', '14717500']",609,728.8764860269148,"[0, 0, 0, 0, 0, 1, 4, 10]","[5183, 5183, 3107, 1655, 769, 38, 16, 0]","[0.0, 6.668036803603172e-06, 339.96478898404166, 544.5890789101832, 655.8027025451884, 711.2913493029773, 724.7384311109781, 728.8764603121672]","[0, 0, 290, 464, 558, 602, 608, 609]","[[], [], [], [], [], ['2739854'], ['2739854', '23389795', '14717500', '4414547'], ['4414547', '23389795', '32181055', '19058822', '1388704', '3672261', '1544804', '4632921', '2739854', '14717500']]"
2,5,"['695938', '23124332', '18617259', '42240424', '17333231', '11349166', '21550246', '13734012', '17438862', '1583041']",566,675.8860244068783,"[0, 0, 0, 0, 0, 3, 8, 10]","[5183, 5183, 3234, 1030, 434, 105, 25, 0]","[0.0, 9.017065167427063e-06, 339.0388671909459, 552.7559357751161, 623.9054157519713, 655.8520005140454, 668.9207847521175, 675.8859963570721]","[0, 0, 290, 471, 530, 556, 563, 566]","[[], [], [], [], [], ['18617259', '1583041', '17333231'], ['695938', '23124332', '18617259', '42240424', '17333231', '21550246', '17438862', '1583041'], ['695938', '23124332', '18617259', '42240424', '17333231', '11349166', '21550246', '13734012', '17438862', '1583041']]"
3,13,"['27123743', '17450673', '11748341', '26611834', '7662395', '2425364', '8529693', '6323196', '23557241', '32776084']",630,749.5050934511237,"[0, 0, 0, 0, 0, 7, 10]","[5183, 5183, 3202, 1665, 1126, 21, 0]","[0.0, 1.0639894753694534e-05, 339.7442411428783, 553.1887173028663, 664.5858240770176, 743.075029929867, 749.5050730919465]","[0, 0, 290, 469, 563, 627, 630]","[[], [], [], [], [], ['17450673', '11748341', '26611834', '7662395', '23557241', '8529693', '32776084'], ['27123743', '17450673', '11748341', '26611834', '7662395', '2425364', '8529693', '6323196', '23557241', '32776084']]"
4,36,"['11705328', '33409100', '37424881', '12810152', '42441846', '21636085', '16252863', '18557974', '5152028', '3215494']",607,724.8577387540136,"[0, 0, 0, 0, 0, 0, 0, 1, 10]","[5183, 5183, 3192, 1242, 607, 325, 170, 14, 0]","[0.0, 6.930902600288391e-06, 339.73779851198196, 548.5376042709686, 632.5020819460042, 677.8385287739802, 705.0772807910107, 721.3522860989906, 724.8577107349411]","[0, 0, 290, 469, 540, 575, 595, 606, 607]","[[], [], [], [], [], [], [], ['42441846'], ['11705328', '33409100', '37424881', '12810152', '42441846', '21636085', '16252863', '18557974', '5152028', '3215494']]"
5,42,"['5503194', '45218443', '25420421', '22482024', '18174210', '10526279', '25830701', '17271462', '12240507', '40913091']",603,717.578185172053,"[0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 3101, 1387, 624, 387, 11, 0]","[0.0, 7.516937330365181e-06, 339.8437999179587, 544.1907406100072, 637.9933814669494, 683.9544251470361, 714.5561080910265, 717.5781645269599]","[0, 0, 290, 464, 543, 579, 602, 603]","[[], [], [], [], [], [], [], ['5503194', '45218443', '25420421', '22482024', '18174210', '10526279', '25830701', '17271462', '12240507', '40913091']]"
6,48,"['27063470', '6309659', '7224723', '18617259', '11349166', '3672261', '34338075', '5548081', '32159283', '23203102']",601,722.913019730011,"[0, 0, 0, 0, 2, 2, 2, 2, 10]","[5183, 5183, 2459, 1632, 826, 330, 139, 67, 0]","[0.0, 7.82497227191925e-06, 340.36367050302215, 502.6632804980036, 613.6325389021076, 673.7490390189923, 701.031784649007, 714.26784472703, 722.9129954411183]","[0, 0, 290, 428, 520, 567, 587, 596, 601]","[[], [], [], [], ['18617259', '27063470'], ['18617259', '27063470'], ['18617259', '27063470'], ['18617259', '27063470'], ['27063470', '6309659', '7224723', '18617259', '11349166', '3672261', '34338075', '5548081', '32159283', '23203102']]"
7,49,"['2619579', '18654430', '13290521', '23913146', '8006440', '15590539', '5953485', '5702790', '32324430', '12652963']",671,801.1311278450303,"[0, 0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2652, 2039, 1417, 622, 20, 0]","[0.0, 7.3069240897893906e-06, 339.8906461528968, 516.71416747896, 653.0899210900534, 750.3914668629877, 796.4263619158883, 801.1311071170494]","[0, 0, 290, 439, 554, 634, 670, 671]","[[], [], [], [], [], [], [], ['2619579', '18654430', '13290521', '23913146', '8006440', '15590539', '5953485', '5702790', '32324430', '12652963']]"
8,50,"['3952288', '4561402', '25738896', '22975806', '1996292', '17671145', '24205118', '17844478', '12580014', '18488986']",375,441.3242705829907,"[0, 0, 0, 0, 10]","[5183, 5183, 1450, 24, 0]","[0.0, 8.222181349992752e-06, 340.1011937020812, 437.3393939991947, 441.32424929202534]","[0, 0, 290, 372, 375]","[[], [], [], [], ['3952288', '4561402', '25738896', '22975806', '1996292', '17671145', '24205118', '17844478', '12580014', '18488986']]"
9,51,"['19358586', '7821634', '8963413', '1171121', '7583725', '15113221', '15600979', '45638119', '15721252', '24249915']",303,356.0532195318956,"[0, 0, 0, 9, 10]","[5183, 5183, 91, 4, 0]","[0.0, 6.427988409996033e-06, 339.3937675859779, 355.0958078429103, 356.0531996018253]","[0, 0, 290, 302, 303]","[[], [], [], ['19358586', '7821634', '8963413', '1171121', '7583725', '15113221', '45638119', '15721252', '24249915'], ['19358586', '7821634', '8963413', '1171121', '7583725', '15113221', '15600979', '45638119', '15721252', '24249915']]"
