q,qid,time,id_len,ids
0,1,27.73135118605569,50,"['43990286', '11172205', '6219790', '5567223', '17388232', '719812', '21456232', '15176526', '40145839', '59453688', '31715818', '15337254', '3874000', '25435456', '19855358', '1469751', '4435369', '12899612', '13779605', '16532419', '169264', '13923069', '42080024', '25052749', '7583104', '3353748', '33986200', '8290953', '17209919', '27127885', '28071965', '13481880', '39532074', '8182950', '38037690', '19138874', '18758057', '41982985', '13889430', '1834762', '16962732', '25191216', '40212412', '10982689', '7764903', '502797', '5764562', '34876410', '9507605', '13231899']"
1,3,21.482222600840032,50,"['14717500', '2739854', '4414547', '23389795', '2485101', '19497526', '13940200', '17088791', '4427060', '1649738', '13905670', '1388704', '10944947', '1544804', '2107238', '10145528', '2359152', '22067786', '4378885', '15286783', '41782935', '3672261', '15570962', '1067605', '32181055', '31347396', '857189', '25416944', '7020505', '83707680', '13914198', '15153602', '4632921', '45200347', '8690595', '43334921', '13519661', '12443371', '24725136', '9394119', '41599676', '6503534', '13949015', '13916484', '27408104', '13791788', '12428137', '32481310', '39571812', '24521894']"
2,5,22.11088304501027,50,"['21216726', '27063470', '11349166', '23203102', '23124332', '21550246', '1583041', '15879544', '13734012', '17333231', '1292369', '695938', '9272598', '18617259', '42240424', '3078080', '32671519', '38040186', '2496002', '25261168', '16201748', '1171121', '32922179', '32481310', '4828631', '45027320', '15048300', '80522346', '44624045', '5850219', '6947286', '739734', '17821387', '16737163', '13717103', '10698739', '8892905', '15347087', '23420615', '16732790', '28164534', '1084345', '21048969', '18340282', '3413083', '6421734', '841371', '19945096', '24825841', '24512064']"
3,13,14.626106008188799,50,"['35714909', '11748341', '8529693', '11360768', '26611834', '1958440', '17450673', '23557241', '27123743', '5487448', '6323196', '33740844', '2425364', '2958458', '39334724', '37118634', '16204011', '27099731', '7662395', '41131087', '4791384', '11441172', '4432763', '29387024', '1263446', '8842332', '25182647', '70455704', '103007', '28633594', '33257464', '30786800', '49429882', '1606628', '13179318', '36124058', '17415081', '8582337', '13770184', '581832', '13906581', '74137632', '20240998', '34544514', '22815457', '17626822', '356218', '6718824', '19799455', '18104691']"
4,36,25.40998806990683,50,"['42441846', '3215494', '21636085', '16252863', '12810152', '5152028', '18256197', '8595678', '12130200', '33409100', '37424881', '11705328', '18557974', '9813098', '10557471', '4442799', '25439264', '24049225', '36654066', '13801259', '20083834', '41646286', '15615957', '4550036', '19278208', '2829179', '72933407', '25300664', '34603465', '23017040', '4463811', '31070360', '36025357', '36124058', '13338820', '49429882', '30786800', '9291668', '70704988', '26230669', '44624045', '71341302', '12207167', '5687200', '8529693', '23245050', '76463821', '13036442', '31407112', '33740844']"
5,42,21.98638796294108,50,"['18174210', '40913091', '6315132', '39506601', '18447487', '45218443', '4449524', '27162821', '27889071', '42373943', '9285396', '26474812', '4421742', '39851630', '8083310', '12240507', '8925851', '22482024', '24042919', '1145473', '13509809', '13116880', '10526279', '25069745', '14021596', '3899896', '5836', '9254550', '18374364', '30152134', '10128893', '3001685', '25830701', '2452989', '10015292', '23727313', '11951999', '3321943', '7850867', '25068298', '6415816', '32481310', '4442799', '16745747', '4421787', '30714190', '11289247', '8385277', '25001628', '19822046']"
6,48,26.471838851924986,50,"['18617259', '27063470', '23203102', '13734012', '21550246', '3078080', '695938', '7447120', '45820464', '21644993', '24088502', '22194407', '3413083', '5850219', '12779444', '27466734', '12794099', '841371', '30492966', '24943534', '11349166', '17821387', '24512064', '28738741', '92308', '44562058', '5114282', '27243019', '21700295', '26016929', '29955650', '3776162', '21216726', '8670178', '7485455', '23531592', '5835149', '24596228', '3698758', '14319754', '46353045', '5548081', '5398179', '8398627', '1153655', '5372432', '45457778', '581832', '13933299', '24942840']"
7,49,21.78350673103705,50,"['5953485', '5702790', '23913146', '1333643', '22362025', '2613813', '1354567', '22623275', '950306', '18654430', '2619579', '8006440', '12652963', '15590539', '5409325', '12582729', '6913227', '32324430', '86602746', '9159495', '7029990', '6264468', '22871664', '9091863', '21909315', '6820680', '5271210', '23727313', '14362780', '12337611', '13290521', '13763195', '1617327', '153744', '16364639', '12440953', '2251426', '12787125', '12871002', '6766459', '5867846', '14581009', '4467129', '5838067', '8247469', '31148090', '435529', '29107180', '9433958', '3321943']"
8,50,21.721996288048103,50,"['12580014', '25738896', '18488986', '39559521', '13989491', '301838', '2734421', '3952288', '32906513', '20155713', '15405204', '8354687', '4561402', '15707049', '10162553', '29785642', '1583134', '17844478', '7975937', '1791714', '19701340', '11968641', '2547636', '1346695', '8994465', '1900152', '36950726', '19736671', '4418878', '42279414', '12489130', '25853741', '10165723', '8963413', '4387484', '2061878', '20279166', '25328476', '4362729', '15907458', '3849194', '31933981', '31902335', '7046487', '32742683', '6407356', '79696454', '1574014', '13916484', '24828165']"
9,51,31.94634654209949,50,"['45638119', '7583725', '8963413', '7821634', '19673227', '21033230', '20127522', '25732836', '1171121', '24834968', '34066665', '16734530', '4429932', '9600826', '4702639', '16691520', '24249915', '22401720', '15946643', '15113221', '2931832', '22482820', '19358586', '4418878', '24341590', '20183360', '16086778', '20839751', '25973484', '43385013', '12762485', '1866911', '22975806', '4889228', '825728', '18953920', '8891333', '20333864', '313403', '5500086', '32001951', '31311495', '4455466', '27123743', '3285322', '20454006', '22712546', '2014909', '5579368', '11484808']"
