q,qid,did,time
0,1,"['21456232', '19855358', '6219790', '9272598', '59453688', '82665667', '121581019', '196664003', '169264', '14972169']",350.8500823630602
1,3,"['14717500', '23389795', '2739854', '4414547', '13905670', '32181055', '4632921', '45200347', '13791788', '3210545']",337.6098043380771
2,5,"['13734012', '18617259', '11349166', '17333231', '27063470', '27889071', '23124332', '21550246', '20220731', '19854744']",338.58640537405154
3,13,"['8529693', '7662395', '2958458', '33740844', '49429882', '2425364', '41131087', '32776084', '35714909', '11360768']",338.29092115088133
4,36,"['42441846', '18557974', '37424881', '11705328', '12130200', '33409100', '9813098', '21636085', '16252863', '5152028']",339.66766609903425
5,42,"['18174210', '27889071', '40913091', '27162821', '45218443', '6315132', '39506601', '6171953', '1122279', '5782614']",337.0911172821652
6,48,"['18617259', '19052713', '11349166', '23203102', '27063470', '13734012', '1583041', '21550246', '24512064', '21274919']",337.8510474569048
7,49,"['5953485', '7029990', '5702790', '23913146', '5409325', '22362025', '22623275', '3154880', '1333643', '15590539']",336.9308088240796
8,50,"['12580014', '18488986', '25738896', '39559521', '15707049', '13989491', '15405204', '4561402', '8354687', '3952288']",337.81914821395185
9,51,"['45638119', '43385013', '7821634', '7583725', '8963413', '15721252', '19358586', '24249915', '9558539', '38485364']",337.56826990889385
10,53,"['45638119', '43385013', '7583725', '7795952', '19358586', '15721252', '15113221', '16734530', '17648235', '4889228']",338.96655875397846
11,54,"['49556906', '3973445', '32408470', '24721866', '3504761', '23974474', '3419709', '3761017', '1590744', '38533515']",338.5257790518808
12,56,"['4709641', '4459491', '11659421', '35777860', '6722522', '13814480', '19970015', '21601459', '22843616', '13293033']",336.8874704898335
13,57,"['4709641', '4459491', '11659421', '30351165', '18852643', '51386222', '6722522', '14192687', '13814480', '19970015']",341.61714167991886
14,70,"['5956380', '4414547', '5254463', '5468807', '28107602', '4389394', '2582169', '42489926', '11903247', '10247314']",337.676957280084
15,72,"['6076903', '1031534', '38380061', '778436', '1346695', '35008773', '1744752', '2119889', '118568', '10937190']",337.71739216905553
16,75,"['4387784', '38805486', '36233757', '29214508', '13965483', '37768883', '2837758', '20330519', '25657127', '17464771']",338.0539171140408
17,94,"['1215116', '18025240', '26045237', '26118532', '17327939', '18592108', '3896759', '18841257', '15997009', '19052713']",336.3552014330635
18,99,"['18810195', '8446259', '38300781', '9875570', '25515662', '12265561', '20054396', '12691537', '23698769', '8771704']",337.40551723504905
19,100,"['4381486', '18374364', '14550841', '2701077', '13116880', '25516011', '4421787', '18909530', '92499', '30714190']",336.78398936404847
20,113,"['6157837', '25816994', '1759213', '4678846', '27665523', '14584755', '43417006', '44030361', '3825750', '14121786']",338.31684167700587
21,115,"['33872649', '109946221', '58050905', '3716075', '34103335', '36345578', '28821565', '25677651', '3986403', '3692112']",337.4798511349363
22,118,"['6372244', '4465735', '32454714', '52805891', '31460499', '20148808', '41120293', '42693833', '41165286', '42800527']",337.29426112410147
23,124,"['4883040', '7111021', '21479231', '31363207', '32012666', '13899137', '1986482', '13071728', '14319754', '13914633']",337.9883367049624
24,127,"['21598000', '35231675', '7549811', '18126445', '7878807', '21943141', '16090672', '13921783', '30884033', '30208015']",338.3883589699399
