q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['42035464', '19855358', '21456232', '13777706', '121581019', '94109411', '1156322', '34386619', '25052749', '4346436']",547,667.535873367,"[0, 0, 0, 0, 0, 10]","[5183, 3888, 976, 192, 12, 0]","[0.0, 313.48300854699846, 575.0450726630006, 645.8091593289973, 664.241136839999, 667.5336958189982]","[0, 260, 478, 534, 546, 547]","[[], [], [], [], [], ['42035464', '19855358', '21456232', '13777706', '121581019', '94109411', '1156322', '34386619', '25052749', '4346436']]"
1,3,"['4414547', '1388704', '13914198', '11899391', '2739854', '23389795', '14717500', '19058822', '25571386', '20280410']",498,590.3987455040005,"[0, 0, 0, 9, 10]","[5183, 3888, 308, 10, 0]","[0.0, 303.9444374199993, 565.7096500419975, 590.3459670439988, 590.3963533360002]","[0, 260, 478, 497, 498]","[[], [], [], ['4414547', '1388704', '13914198', '2739854', '23389795', '14717500', '19058822', '25571386', '20280410'], ['4414547', '1388704', '13914198', '11899391', '2739854', '23389795', '14717500', '19058822', '25571386', '20280410']]"
2,5,"['1292369', '21550246', '13734012', '11349166', '17333231', '18617259', '7116734', '8385277', '1583041', '695938']",695,819.2954663659984,"[0, 0, 7, 10]","[5183, 3888, 8, 0]","[0.0, 303.83233683300205, 817.281183457002, 819.2944338820016]","[0, 260, 694, 695]","[[], [], ['18617259', '7116734', '8385277', '21550246', '1583041', '11349166', '695938'], ['1292369', '21550246', '13734012', '11349166', '17333231', '18617259', '7116734', '8385277', '1583041', '695938']]"
3,13,"['7662395', '26611834', '56893404', '23557241', '17450673', '9513785', '8529693', '6323196', '11748341', '33257464']",479,567.9024023640013,"[0, 0, 1, 10]","[5183, 3888, 14, 0]","[0.0, 303.78166148700257, 564.3676465839999, 567.9014163520005]","[0, 260, 478, 479]","[[], [], ['26611834'], ['7662395', '26611834', '56893404', '23557241', '17450673', '9513785', '8529693', '6323196', '11748341', '33257464']]"
4,36,"['12130200', '5152028', '33409100', '11705328', '3215494', '21636085', '16252863', '42441846', '18557974', '37424881']",479,568.4308270549991,"[0, 0, 0, 10]","[5183, 3888, 15, 0]","[0.0, 303.6951239859991, 564.713963096001, 568.4298542610013]","[0, 260, 478, 479]","[[], [], [], ['12130200', '5152028', '33409100', '11705328', '3215494', '21636085', '16252863', '42441846', '18557974', '37424881']]"
5,42,"['43711341', '44387884', '18174210', '27889071', '45218443', '10530014', '8317408', '40913091', '2291922', '6315132']",483,577.221102517,"[0, 0, 0, 0, 10]","[5183, 3888, 40, 18, 0]","[0.0, 303.5769820589994, 564.1133559310001, 572.9056309959997, 577.2178915029981]","[0, 260, 478, 482, 483]","[[], [], [], [], ['43711341', '44387884', '18174210', '27889071', '45218443', '10530014', '8317408', '40913091', '2291922', '6315132']]"
6,48,"['23388442', '1831916', '43417006', '19185192', '13734012', '11349166', '18617259', '23203102', '27063470', '28738741']",718,851.135103067998,"[0, 0, 6, 6, 6, 6, 10]","[5183, 3888, 215, 83, 34, 10, 0]","[0.0, 303.5260801780023, 815.1893306070015, 833.4802203370018, 842.3365936400005, 851.0868906380019, 851.1321426989998]","[0, 260, 694, 708, 714, 717, 718]","[[], [], ['18617259', '28738741', '23203102', '27063470', '13734012', '11349166'], ['18617259', '28738741', '23203102', '27063470', '13734012', '11349166'], ['18617259', '28738741', '23203102', '27063470', '13734012', '11349166'], ['18617259', '28738741', '23203102', '27063470', '13734012', '11349166'], ['23388442', '1831916', '43417006', '19185192', '13734012', '11349166', '18617259', '23203102', '27063470', '28738741']]"
7,49,"['1333643', '5702790', '22362025', '1354567', '23913146', '4452659', '5953485', '5409325', '7029990', '3154880']",478,563.8748315539997,"[0, 0, 10]","[5183, 3888, 0]","[0.0, 303.4900454279996, 563.873260827997]","[0, 260, 478]","[[], [], ['1333643', '5702790', '22362025', '1354567', '23913146', '4452659', '5953485', '5409325', '7029990', '3154880']]"
8,50,"['25738896', '32906513', '12580014', '13989491', '301838', '2734421', '18488986', '15405204', '39559521', '3952288']",487,578.7102895159987,"[0, 0, 4, 8, 10]","[5183, 3888, 116, 4, 0]","[0.0, 303.4105234859999, 564.2683065139972, 577.8574469509986, 578.707517715]","[0, 260, 478, 486, 487]","[[], [], ['25738896', '18488986', '12580014', '15405204'], ['25738896', '12580014', '13989491', '301838', '18488986', '15405204', '39559521', '3952288'], ['25738896', '32906513', '12580014', '13989491', '301838', '2734421', '18488986', '15405204', '39559521', '3952288']]"
9,51,"['7583725', '24249915', '12762485', '8963413', '7821634', '34066665', '21033230', '1171121', '19358586', '45638119']",479,568.492426118999,"[0, 0, 0, 10]","[5183, 3888, 17, 0]","[0.0, 303.599818658, 564.3641917610003, 568.4912591519969]","[0, 260, 478, 479]","[[], [], [], ['7583725', '24249915', '12762485', '8963413', '7821634', '34066665', '21033230', '1171121', '19358586', '45638119']]"
10,53,"['4889228', '7583725', '24249915', '7821634', '24349992', '16734530', '19358586', '25973484', '21439640', '45638119']",478,564.2804035789995,"[0, 0, 10]","[5183, 3888, 0]","[0.0, 303.6150424160005, 564.2794948239971]","[0, 260, 478]","[[], [], ['4889228', '7583725', '24249915', '7821634', '24349992', '16734530', '19358586', '25973484', '21439640', '45638119']]"
11,54,"['14874811', '3419709', '49556906', '9899292', '3973445', '3504761', '9752604', '5108807', '7005276', '24721866']",478,565.2703334949983,"[0, 0, 10]","[5183, 3888, 0]","[0.0, 303.70258116200057, 565.2694008990002]","[0, 260, 478]","[[], [], ['14874811', '3419709', '49556906', '9899292', '3973445', '3504761', '9752604', '5108807', '7005276', '24721866']]"
12,56,"['4709641', '33986200', '22116439', '18852643', '35777860', '30351165', '22185730', '37722384', '11659421', '20937018']",482,578.4158406310016,"[0, 0, 0, 10]","[5183, 3888, 31, 0]","[0.0, 303.6629889830001, 566.0484060749986, 578.4125543109985]","[0, 260, 478, 482]","[[], [], [], ['4709641', '33986200', '22116439', '18852643', '35777860', '30351165', '22185730', '37722384', '11659421', '20937018']]"
13,57,"['4709641', '33986200', '18852643', '13814480', '41644178', '9194077', '1122198', '37722384', '11659421', '20937018']",483,575.9624402019981,"[0, 0, 0, 10]","[5183, 3888, 21, 0]","[0.0, 303.8398739330005, 565.337046435001, 575.9593899179999]","[0, 260, 478, 483]","[[], [], [], ['4709641', '33986200', '18852643', '13814480', '41644178', '9194077', '1122198', '37722384', '11659421', '20937018']]"
