q,qid,did,time
0,1,"['21456232', '19855358', '31715818', '32532238', '6219790', '4346436', '4423559', '4340509', '6190603', '6176498']",527.909333507996
1,3,"['2739854', '4414547', '23389795', '2810997', '1388704', '2107238', '2095573', '4632921', '5172048', '5222182']",518.9361836530734
2,5,"['13734012', '18617259', '27063470', '11349166', '21550246', '23124332', '7447120', '15879544', '17333231', '42240424']",518.863032897003
3,13,"['33740844', '8529693', '2958458', '2425364', '17450673', '7662395', '30786800', '23557241', '32776084', '9513785']",512.4724954519188
4,36,"['42441846', '33409100', '3215494', '4442799', '37424881', '9813098', '8595678', '16252863', '41646286', '36654066']",520.6005072720582
5,42,"['18174210', '45218443', '40913091', '27889071', '27393799', '27162821', '26474812', '8925851', '28910120', '27150276']",521.2019286509603
6,48,"['18617259', '11349166', '27063470', '13734012', '13771184', '17333231', '23203102', '18574146', '21550246', '23124332']",518.2349799729418
7,49,"['5953485', '7029990', '5702790', '2619579', '3154880', '5409325', '2613813', '18654430', '1333643', '23913146']",517.0419721630169
8,50,"['12580014', '25738896', '18488986', '4561402', '39559521', '3952288', '301838', '8354687', '10162553', '9211173']",516.4680781089701
9,51,"['45638119', '43385013', '7821634', '7583725', '15721252', '7795952', '9558539', '20183360', '15113221', '19358586']",520.3380509329727
10,53,"['45638119', '43385013', '7583725', '7795952', '9558539', '4889228', '7736860', '4429932', '7681810', '4820792']",515.9873007010901
11,54,"['49556906', '3973445', '24721866', '3761017', '3504761', '3553087', '32408470', '3419709', '23974474', '26025820']",525.2363769210642
12,56,"['4709641', '11659421', '4459491', '20937018', '30351165', '33986200', '13293033', '13380011', '44408494', '51386222']",519.8178324470064
13,57,"['4709641', '4459491', '11659421', '10641715', '13293033', '36637129', '35777860', '13814480', '14434123', '18852643']",525.5358597079758
14,70,"['5956380', '4414547', '37204802', '36464673', '28107602', '35684881', '4389394', '42489926', '11903247', '21557055']",525.9547728070756
15,72,"['6076903', '1031534', '6796297', '7005276', '38380061', '5573975', '18231257', '6625693', '14419116', '14492964']",520.326896123006
16,75,"['4387784', '13965483', '36233757', '2837758', '37768883', '29214508', '25657127', '38805486', '26488879', '26461066']",521.7572057138896
17,94,"['1215116', '3929361', '13966946', '14021596', '14121786', '21700295', '1379127', '15215393', '25298276', '293661']",514.8894048749935
18,99,"['18810195', '8446259', '9875570', '25515662', '26283293', '38300781', '42865134', '20620012', '9889151', '9881829']",512.1029052210506
19,100,"['4381486', '14550841', '2701077', '30714190', '18909530', '18374364', '32170702', '54561384', '10015292', '21793890']",511.0610040129395
20,113,"['6157837', '1759213', '25816994', '4678846', '14584755', '43417006', '27665523', '3825750', '40790033', '44030361']",512.9468077600468
21,115,"['33872649', '4942718', '23286603', '25677651', '25238950', '12880573', '20287253', '42267740', '40343416', '36003142']",514.8062536020298
22,118,"['6372244', '4465735', '32454714', '31460499', '2604063', '1103795', '20148808', '12658073', '10993232', '26702468']",514.4158281750279
23,124,"['4883040', '7111021', '32012666', '31363207', '21479231', '1986482', '374902', '341324', '39984099', '35087728']",518.424605233944
24,127,"['21598000', '35231675', '7549811', '18126445', '2727303', '293661', '20054396', '36111909', '42035464', '7878807']",517.5423961479682
