q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['33986200', '31715818', '3619372', '21456232', '10786948', '15176526', '17388232', '19855358', '43990286', '29638116']",18,24.288329419039655,"[0, 0, 0, 0, 0, 10]","[100, 100, 73, 62, 14, 0]","[0.0, 1.1397001799196005e-05, 10.334841470001265, 15.209613723971415, 20.088235850969795, 24.28829372196924]","[0, 0, 7, 12, 17, 18]","[[], [], [], [], [], ['33986200', '31715818', '3619372', '21456232', '10786948', '15176526', '17388232', '19855358', '43990286', '29638116']]"
1,3,"['17088791', '14717500', '1388704', '23389795', '24144677', '4632921', '2739854', '20280410', '13905670', '4414547']",11,18.26146350899944,"[0, 0, 0, 0, 10]","[100, 100, 39, 15, 0]","[0.0, 1.6811012756079435e-05, 9.577343155979179, 14.461613715975545, 18.261414140986744]","[0, 0, 7, 10, 11]","[[], [], [], [], ['17088791', '14717500', '1388704', '23389795', '24144677', '4632921', '2739854', '20280410', '13905670', '4414547']]"
2,5,"['23203102', '27889071', '27063470', '23124332', '21550246', '18617259', '1292369', '9171913', '1583041', '13734012']",16,23.329270613961853,"[0, 0, 0, 0, 0, 10]","[100, 100, 74, 33, 11, 0]","[0.0, 1.3757031410932541e-05, 9.945246640010737, 14.882520681014284, 19.980146160989534, 23.329227515030652]","[0, 0, 7, 12, 15, 16]","[[], [], [], [], [], ['23203102', '27889071', '27063470', '23124332', '21550246', '18617259', '1292369', '9171913', '1583041', '13734012']]"
3,13,"['23557241', '26611834', '5487448', '16322674', '41131087', '11748341', '27123743', '8529693', '1958440', '17450673']",18,29.085220317996573,"[0, 0, 5, 5, 5, 10]","[100, 100, 95, 41, 19, 0]","[0.0, 1.3868964742869139e-05, 9.732919653004501, 19.6744321329752, 24.552587140991818, 29.08517676300835]","[0, 0, 7, 13, 17, 18]","[[], [], ['23557241', '26611834', '16322674', '11748341', '17450673'], ['23557241', '26611834', '16322674', '11748341', '17450673'], ['23557241', '26611834', '16322674', '11748341', '17450673'], ['23557241', '26611834', '5487448', '16322674', '41131087', '11748341', '27123743', '8529693', '1958440', '17450673']]"
4,36,"['11705328', '18557974', '8595678', '42441846', '16252863', '37424881', '12810152', '21636085', '5152028', '3215494']",8,13.943353559996467,"[0, 0, 0, 10]","[100, 100, 18, 0]","[0.0, 1.4632998500019312e-05, 9.605690687021706, 13.943312205024995]","[0, 0, 7, 8]","[[], [], [], ['11705328', '18557974', '8595678', '42441846', '16252863', '37424881', '12810152', '21636085', '5152028', '3215494']]"
5,42,"['3391547', '27889071', '40913091', '18174210', '25420421', '4449524', '9254550', '6315132', '8083310', '27162821']",12,17.83210959698772,"[0, 0, 0, 0, 10]","[100, 100, 42, 13, 0]","[0.0, 1.5219964552670717e-05, 9.598691190010868, 14.474115841963794, 17.832065205962863]","[0, 0, 7, 11, 12]","[[], [], [], [], ['3391547', '27889071', '40913091', '18174210', '25420421', '4449524', '9254550', '6315132', '8083310', '27162821']]"
6,48,"['29955650', '23203102', '5850219', '11349166', '7485455', '27063470', '3078080', '24512064', '18617259', '3698758']",22,33.09394664299907,"[0, 0, 0, 4, 4, 7, 7, 10]","[100, 100, 58, 54, 29, 26, 16, 0]","[0.0, 1.022400101646781e-05, 9.579335689952131, 14.506032623990905, 19.3994246419752, 24.271694883995224, 29.151787947979756, 33.093903591972776]","[0, 0, 7, 11, 15, 18, 21, 22]","[[], [], [], ['27063470', '18617259', '23203102', '11349166'], ['27063470', '18617259', '23203102', '11349166'], ['18617259', '23203102', '11349166', '7485455', '27063470', '3078080', '3698758'], ['18617259', '23203102', '11349166', '7485455', '27063470', '3078080', '3698758'], ['29955650', '23203102', '5850219', '11349166', '7485455', '27063470', '3078080', '24512064', '18617259', '3698758']]"
7,49,"['1333643', '15590539', '8006440', '5702790', '22362025', '5953485', '3154880', '23913146', '7029990', '2619579']",14,21.14597357204184,"[0, 0, 4, 4, 10]","[100, 100, 96, 9, 0]","[0.0, 1.9257015082985163e-05, 9.54787688399665, 19.109994990983978, 21.14592104201438]","[0, 0, 7, 13, 14]","[[], [], ['5702790', '23913146', '22362025', '5953485'], ['5702790', '23913146', '22362025', '5953485'], ['1333643', '15590539', '8006440', '5702790', '22362025', '5953485', '3154880', '23913146', '7029990', '2619579']]"
8,50,"['25738896', '1583134', '18488986', '29785642', '4561402', '15707049', '39559521', '3952288', '12580014', '13989491']",18,26.84813465096522,"[0, 0, 3, 3, 3, 10]","[100, 100, 97, 28, 11, 0]","[0.0, 1.1587981134653091e-05, 9.628316022979561, 19.383364200999495, 24.22927300701849, 26.848092873988207]","[0, 0, 7, 14, 17, 18]","[[], [], ['18488986', '12580014', '25738896'], ['18488986', '12580014', '25738896'], ['18488986', '12580014', '25738896'], ['25738896', '1583134', '18488986', '29785642', '4561402', '15707049', '39559521', '3952288', '12580014', '13989491']]"
9,51,"['8963413', '27240667', '24249915', '16691520', '7821634', '24834968', '24349992', '7583725', '45638119', '29366489']",10,14.988470830954611,"[0, 0, 0, 10]","[100, 100, 23, 0]","[0.0, 1.5022989828139544e-05, 10.153459373977967, 14.988427493954077]","[0, 0, 7, 10]","[[], [], [], ['8963413', '27240667', '24249915', '16691520', '7821634', '24834968', '24349992', '7583725', '45638119', '29366489']]"
10,53,"['8963413', '7821634', '24349992', '17648235', '2130391', '21439640', '19358586', '13007205', '7583725', '45638119']",8,13.739537468994968,"[0, 0, 0, 10]","[100, 100, 17, 0]","[0.0, 1.554097980260849e-05, 9.588323672011029, 13.739490063977428]","[0, 0, 7, 8]","[[], [], [], ['8963413', '7821634', '24349992', '17648235', '2130391', '21439640', '19358586', '13007205', '7583725', '45638119']]"
11,54,"['24721866', '9752604', '3419709', '9899292', '49556906', '1590744', '38533515', '23974474', '3973445', '32408470']",8,14.16207450197544,"[0, 0, 0, 10]","[100, 100, 19, 0]","[0.0, 1.115602208301425e-05, 9.618785694008693, 14.162038698035758]","[0, 0, 7, 8]","[[], [], [], ['24721866', '9752604', '3419709', '9899292', '49556906', '1590744', '38533515', '23974474', '3973445', '32408470']]"
12,56,"['13814480', '4407385', '4709641', '18852643', '26336593', '14434123', '19970015', '22116439', '36637129', '13293033']",14,23.840876727947034,"[0, 0, 0, 0, 0, 10]","[100, 100, 37, 26, 19, 0]","[0.0, 8.85402550920844e-06, 9.538140009040944, 14.394031113013625, 19.286793804029003, 23.840839131036773]","[0, 0, 7, 10, 13, 14]","[[], [], [], [], [], ['13814480', '4407385', '4709641', '18852643', '26336593', '14434123', '19970015', '22116439', '36637129', '13293033']]"
13,57,"['30351165', '24530130', '4709641', '18852643', '37205759', '15347087', '4459491', '22889972', '22116439', '20937018']",16,23.524526789027732,"[0, 0, 0, 0, 0, 10]","[100, 100, 59, 29, 17, 0]","[0.0, 1.2715987395495176e-05, 9.573152513999958, 14.472065735026263, 19.39078276301734, 23.524473586003296]","[0, 0, 7, 12, 15, 16]","[[], [], [], [], [], ['30351165', '24530130', '4709641', '18852643', '37205759', '15347087', '4459491', '22889972', '22116439', '20937018']]"
14,70,"['4414547', '28107602', '4389394', '11903247', '25901598', '27240699', '7225911', '5956380', '42489926', '21307488']",8,13.514065895986278,"[0, 0, 0, 10]","[100, 100, 16, 0]","[0.0, 1.7385988030582666e-05, 9.559265981020872, 13.514019030029885]","[0, 0, 7, 8]","[[], [], [], ['4414547', '28107602', '4389394', '11903247', '25901598', '27240699', '7225911', '5956380', '42489926', '21307488']]"
15,72,"['3825472', '13936152', '14492964', '38380061', '1031534', '15491404', '34735369', '6076903', '35008773', '39763465']",11,17.314743908995297,"[0, 0, 0, 0, 10]","[100, 100, 35, 12, 0]","[0.0, 9.257986675947905e-06, 9.589785171032418, 14.451609336014371, 17.314695323992055]","[0, 0, 7, 10, 11]","[[], [], [], [], ['3825472', '13936152', '14492964', '38380061', '1031534', '15491404', '34735369', '6076903', '35008773', '39763465']]"
16,75,"['26488879', '1546650', '29214508', '2837758', '36233757', '4387784', '38805486', '13965483', '37768883', '25657127']",15,20.548714711971115,"[0, 0, 0, 9, 9, 10]","[100, 100, 41, 32, 5, 0]","[0.0, 3.0333991162478924e-05, 9.55136116599897, 14.390046111017, 19.231288418988697, 20.54866403801134]","[0, 0, 7, 11, 14, 15]","[[], [], [], ['26488879', '29214508', '2837758', '36233757', '4387784', '38805486', '13965483', '37768883', '25657127'], ['26488879', '29214508', '2837758', '36233757', '4387784', '38805486', '13965483', '37768883', '25657127'], ['26488879', '1546650', '29214508', '2837758', '36233757', '4387784', '38805486', '13965483', '37768883', '25657127']]"
17,94,"['3929361', '10617916', '13966946', '37205685', '17433284', '18074797', '12409683', '7655029', '1215116', '17925632']",11,18.721370435028803,"[0, 0, 0, 5, 10]","[100, 100, 23, 18, 0]","[0.0, 1.4960009139031172e-05, 9.578335970989428, 14.414659083995502, 18.721319803968072]","[0, 0, 7, 10, 11]","[[], [], [], ['3929361', '7655029', '13966946', '12409683', '1215116'], ['3929361', '10617916', '13966946', '37205685', '17433284', '18074797', '12409683', '7655029', '1215116', '17925632']]"
18,99,"['8093935', '3727986', '12462961', '18810195', '21598000', '778436', '28195565', '38300781', '12428814', '86231298']",14,19.318133012973703,"[0, 0, 0, 0, 10]","[100, 100, 55, 26, 0]","[0.0, 1.1331983841955662e-05, 9.565574736974668, 14.451616169943009, 19.31809222494485]","[0, 0, 7, 11, 14]","[[], [], [], [], ['8093935', '3727986', '12462961', '18810195', '21598000', '778436', '28195565', '38300781', '12428814', '86231298']]"
