q,qid,did,time
0,1,"['12866641', '44801733', '719812', '38143689', '6190603', '7039855', '15657779', '21456232', '17388232', '24177706']",551.1869685309939
1,3,"['13940200', '9650982', '32181055', '4632921', '4414547', '23389795', '13914198', '14717500', '2739854', '4378885']",389.10273370903445
2,5,"['1583041', '695938', '23124332', '21550246', '17333231', '12641252', '38899659', '1292369', '18617259', '11349166']",696.4620029240614
3,13,"['23557241', '35714909', '6323196', '76463821', '56893404', '24594624', '11748341', '17450673', '8529693', '26611834']",352.1864617940737
4,36,"['33409100', '21636085', '18557974', '5152028', '16252863', '3215494', '11705328', '37424881', '12130200', '42441846']",352.0844037600327
5,42,"['40913091', '45218443', '25420421', '2842550', '20127522', '3952288', '25985964', '27162821', '18174210', '29347970']",359.7660882399651
6,48,"['22309946', '2605032', '23203102', '11349166', '18617259', '253672', '7485455', '27063470', '695938', '13734012']",713.472115723067
7,49,"['5953485', '23913146', '1354567', '31148090', '2619579', '5702790', '1333643', '22362025', '3154880', '7029990']",687.7169215090107
8,50,"['8354687', '25738896', '15405204', '15707049', '4561402', '18488986', '12580014', '39559521', '13989491', '301838']",362.62877751595806
9,51,"['7583725', '22482820', '16734530', '7821634', '24349992', '45638119', '12762485', '19358586', '24249915', '1171121']",350.9721141560003
10,53,"['21439640', '4889228', '24349992', '7583725', '16734530', '12762485', '7821634', '45638119', '15113221', '19358586']",348.97825067397207
11,54,"['38533515', '49556906', '14874811', '9752604', '3973445', '3504761', '23974474', '24721866', '1590744', '32408470']",347.55876112601254
12,56,"['4709641', '11659421', '36637129', '51386222', '35777860', '13814480', '13293033', '18852643']",363.5193071629619
13,57,"['18852643', '11659421', '1727042', '20937018', '1122198', '23887844', '30351165', '36637129', '4709641', '970012']",359.438631852041
14,70,"['5956380', '42489926', '21307488', '28107602', '11903247', '7225911', '36464673', '4414547']",686.949027315015
15,72,"['1922901', '6625693', '6076903', '1031534', '2682997', '35008773', '26461066', '38380061', '14492964', '2147704']",347.4164570769062
16,75,"['4387784', '13965483', '2837758', '36233757', '37768883', '29214508', '25657127', '26488879', '22703082']",688.6623636600561
17,94,"['1215116', '30741007', '4999387', '10883736', '3552753', '3929361', '32390525', '12991445', '18025240', '16787954']",396.7834242648678
18,99,"['23208167', '41314611', '18810195', '9875570', '18358026', '8856690', '5760247', '41022628', '39637840', '8446259']",502.41601536900276
19,100,"['13116880', '13980338', '18909530', '4421787', '4381486', '14550841', '30714190', '18374364', '92499', '11289247']",360.8113504619105
20,113,"['3825750', '6157837', '1759213', '14121786', '140098548', '25816994', '14584755', '44030361', '8318922', '43417006']",355.1265464749886
21,115,"['25515907', '7046487', '3613041', '33872649', '970012', '11578459', '30122260', '11117679', '4942718', '25677651']",406.6882704399759
22,118,"['4465735', '52805891', '15578265', '31460499', '6372244', '52893592', '32454714', '21956124', '4695107', '13714201']",348.2110792399617
23,124,"['44562058', '13071728', '32012666', '13899137', '7111021', '4883040', '28806780', '31562330', '1986482', '31363207']",686.6877315120073
24,127,"['18126445', '21598000', '35231675', '34498093', '3506723', '8093935', '7549811', '22029384', '10486817', '4926049']",371.9068936710246
