algo,P,k,T_est
quickselect,1,1,110.7972
quickselect,1,100,150.4934
quickselect,1,200,167.8572
quickselect,1,300,180.5542
quickselect,1,400,186.6794
quickselect,1,500,189.2582
quickselect,1,600,186.1272
quickselect,1,700,180.2886
quickselect,1,800,168.0892
quickselect,1,900,149.249
quickselect,1,1000,111.3502
quickselect,2,1,88.3968
quickselect,2,100,107.6674
quickselect,2,200,117.4672
quickselect,2,300,123.4612
quickselect,2,400,126.986
quickselect,2,500,128.6038
quickselect,2,600,127.435
quickselect,2,700,123.8446
quickselect,2,800,117.8558
quickselect,2,900,107.9286
quickselect,2,1000,88.1502
quickselect,3,1,81.9928
quickselect,3,100,95.9594
quickselect,3,200,102.841
quickselect,3,300,106.9738
quickselect,3,400,109.3396
quickselect,3,500,109.8988
quickselect,3,600,109.3176
quickselect,3,700,106.7426
quickselect,3,800,102.3218
quickselect,3,900,96.237
quickselect,3,1000,82.0848
quickselect,4,1,81.53
quickselect,4,100,92.9232
quickselect,4,200,97.9614
quickselect,4,300,101.286
quickselect,4,400,102.2036
quickselect,4,500,102.9602
quickselect,4,600,102.6804
quickselect,4,700,100.9532
quickselect,4,800,98.2328
quickselect,4,900,93.2264
quickselect,4,1000,81.5576
quickselect,5,1,83.2714
quickselect,5,100,92.9882
quickselect,5,200,97.4472
quickselect,5,300,99.764
quickselect,5,400,100.2932
quickselect,5,500,100.6944
quickselect,5,600,100.5188
quickselect,5,700,99.0596
quickselect,5,800,97.1738
quickselect,5,900,93.041
quickselect,5,1000,83.025
quickselect,6,1,85.2288
quickselect,6,100,94.108
quickselect,6,200,97.8784
quickselect,6,300,99.5868
quickselect,6,400,100.461
quickselect,6,500,100.5988
quickselect,6,600,100.6032
quickselect,6,700,100.0028
quickselect,6,800,98.1184
quickselect,6,900,94.2304
quickselect,6,1000,85.2916
quickselect,7,1,90.2828
quickselect,7,100,98.5882
quickselect,7,200,101.9202
quickselect,7,300,103.3912
quickselect,7,400,103.8872
quickselect,7,500,103.2954
quickselect,7,600,103.527
quickselect,7,700,102.948
quickselect,7,800,101.9722
quickselect,7,900,98.301
quickselect,7,1000,90.3328
quickselect,8,1,95.4474
quickselect,8,100,103.5438
quickselect,8,200,106.5584
quickselect,8,300,107.6804
quickselect,8,400,107.5002
quickselect,8,500,108.1588
quickselect,8,600,107.7774
quickselect,8,700,107.2868
quickselect,8,800,106.3404
quickselect,8,900,103.5092
quickselect,8,1000,95.5392
quickselect,9,1,102.9318
quickselect,9,100,111.0126
quickselect,9,200,113.1608
quickselect,9,300,113.805
quickselect,9,400,114.5662
quickselect,9,500,114.535
quickselect,9,600,114.664
quickselect,9,700,114.1382
quickselect,9,800,113.4822
quickselect,9,900,110.635
quickselect,9,1000,102.8948
quickselect,10,1,110.485
quickselect,10,100,118.1964
quickselect,10,200,120.7236
quickselect,10,300,121.5062
quickselect,10,400,121.4316
quickselect,10,500,121.8848
quickselect,10,600,121.8342
quickselect,10,700,121.7198
quickselect,10,800,120.8154
quickselect,10,900,118.6644
quickselect,10,1000,110.5874
quickselect,11,1,121.373
quickselect,11,100,129.165
quickselect,11,200,131.5232
quickselect,11,300,132.026
quickselect,11,400,132.2484
quickselect,11,500,132.176
quickselect,11,600,132.0834
quickselect,11,700,132.3888
quickselect,11,800,131.7986
quickselect,11,900,129.1874
quickselect,11,1000,121.2904
quickselect,12,1,135.3102
quickselect,12,100,143.547
quickselect,12,200,145.8014
quickselect,12,300,146.2964
quickselect,12,400,146.3532
quickselect,12,500,146.3184
quickselect,12,600,146.4378
quickselect,12,700,146.3386
quickselect,12,800,145.631
quickselect,12,900,143.9624
quickselect,12,1000,135.2242
quickselect,13,1,152.3124
quickselect,13,100,161.1008
quickselect,13,200,163.0234
quickselect,13,300,163.3602
quickselect,13,400,163.6948
quickselect,13,500,163.9524
quickselect,13,600,163.9176
quickselect,13,700,163.4594
quickselect,13,800,163.0726
quickselect,13,900,161.0168
quickselect,13,1000,152.3466
quickselect,14,1,177.0362
quickselect,14,100,186.1166
quickselect,14,200,188.1976
quickselect,14,300,188.5016
quickselect,14,400,188.7848
quickselect,14,500,188.9856
quickselect,14,600,188.511
quickselect,14,700,188.6922
quickselect,14,800,188.3124
quickselect,14,900,186.3134
quickselect,14,1000,176.7824
quickselect,15,1,209.4632
quickselect,15,100,220.1222
quickselect,15,200,222.2948
quickselect,15,300,222.5782
quickselect,15,400,222.0848
quickselect,15,500,222.5462
quickselect,15,600,222.9278
quickselect,15,700,222.501
quickselect,15,800,222.236
quickselect,15,900,220.184
quickselect,15,1000,209.6838
quickselect,16,1,259.7052
quickselect,16,100,272.6108
quickselect,16,200,274.1504
quickselect,16,300,274.283
quickselect,16,400,274.1706
quickselect,16,500,274.3246
quickselect,16,600,274.5682
quickselect,16,700,274.7898
quickselect,16,800,274.155
quickselect,16,900,272.7398
quickselect,16,1000,259.5356
quickselect,17,1,343.8666
quickselect,17,100,358.9782
quickselect,17,200,361.9882
quickselect,17,300,362.0396
quickselect,17,400,362.4984
quickselect,17,500,362.4952
quickselect,17,600,362.9586
quickselect,17,700,362.78
quickselect,17,800,361.3772
quickselect,17,900,359.411
quickselect,17,1000,344.1136
quickselect,18,1,511.532
quickselect,18,100,533.3626
quickselect,18,200,537.1838
quickselect,18,300,537.5562
quickselect,18,400,536.5296
quickselect,18,500,536.9568
quickselect,18,600,536.9364
quickselect,18,700,537.0716
quickselect,18,800,536.7328
quickselect,18,900,534.4362
quickselect,18,1000,511.7204
quickselect,19,1,1017.1136
quickselect,19,100,1057.0686
quickselect,19,200,1063.5294
quickselect,19,300,1063.427
quickselect,19,400,1062.9782
quickselect,19,500,1062.1412
quickselect,19,600,1063.0614
quickselect,19,700,1062.8378
quickselect,19,800,1063.014
quickselect,19,900,1057.3802
quickselect,19,1000,1016.5604
